created_at,full_text,lang,user_name
Thu May 16 21:13:56 +0000 2019,"Barbara Hulit talked about delivering unique value to our customers through our innovation hub and incubator, “The Fort.”  The Fort is increasing our capacity for innovation. Pictured here are members of one of our Growth Accelerator teams.  #ForYouForUsForGrowth https://t.co/eCPcFoRIFY",en,Fortive Corporation
Thu May 16 19:07:41 +0000 2019,Did you know that 20% of the vehicle market is projected to be electric by the year 2040? @gilbarcoinc https://t.co/7XoD0DfQfn,en,Fortive Corporation
Thu May 16 18:41:23 +0000 2019,Pat Byrne shared with our investors that the Tektronix team has achieved their success by focusing on customers and applying our FBS growth tools. https://t.co/mBt0qnCq96,en,Fortive Corporation
Thu May 16 18:26:22 +0000 2019,Fortive SVP Wes Pringle boiled it down: our asset manager customers want to run their assets as reliably and safely as possible.,en,Fortive Corporation
Thu May 16 17:50:13 +0000 2019,Jim kicked the day off by highlighting our team’s ability to drive accelerated breakthrough innovation for our customers' growth through strategic mergers and acquisitions and our passion for the Fortive Business System. #ForYouForUsForGrowth,en,Fortive Corporation
Thu May 16 17:41:09 +0000 2019,"Welcome to the 2019 Fortive Investor Day! #ForYouForUsForGrowth 
https://t.co/IDfp6nHcqP https://t.co/UhQYwAxoQ0",en,Fortive Corporation
Mon Apr 15 23:25:00 +0000 2019,"Thank you to our brave employees who responded when disaster struck last year during Hurricane Florence. It’s because of individuals like those from SPT, @gilbarcoinc, @Gems_Sensors, and all around Fortive that make the Fortive family that much stronger.
https://t.co/IRQIJKIB3l",en,Fortive Corporation
Mon Apr 01 20:52:35 +0000 2019,We are excited to welcome Advanced Sterilization Products (ASP) to the Fortive family as our newest Operating Company. #ForYouForUsForGrowth https://t.co/kxJ4udb16B https://t.co/89kMuSWm6p,en,Fortive Corporation
Thu Mar 28 16:24:55 +0000 2019,"We are proud and honored to be named one of Human Rights Campaign (HRC) Foundation's Best Places to Work for lesbian, gay, bisexual, transgender, and queer (LGBTQ) equality in 2019. #ForYouForUsForGrowth #FortiveTogether To learn more, visit https://t.co/eT12fZNAEW https://t.co/x85bITsqWb",en,Fortive Corporation
Mon Mar 25 15:38:30 +0000 2019,"Sometimes a job isn't just a job. It's a place to find support and family. And for Nic and Linda, Nic's job at @Invetech means Linda can continue to watch her kids grow up. #ForYouForUsForGrowth #FortiveTogether To watch the full video, visit https://t.co/9BXT3Ibmtc https://t.co/mlmDmrXLcR",en,Fortive Corporation
Wed Mar 20 16:07:58 +0000 2019,Wishing everyone around the world a very colorful and happy Holi! Our Fortive and Gilbarco Veeder-Root India teams celebrated by showering each other in bright colors and bonding over delicious gujiya and thandai. How are you celebrating? #FortiveTogether https://t.co/XpSyEAE5cA,en,Fortive Corporation
Mon Mar 18 19:11:12 +0000 2019,We acquired @GordianCompany because we felt their position in the market was unparalleled. Congratulations to @GordianCompany and our Business Development team for earning the 2018 M&amp;A Mid-Market Deal of the Year. https://t.co/IgGKxWea4G #ForYouForUsForGrowth,en,Fortive Corporation
Mon Mar 18 17:05:55 +0000 2019,"Every year, up to 20 deserving students are selected to receive a renewable scholarship from Fortive. Today, we are highlighting one inspiring student: Alessio Calise. #ForYouForUsForGrowth If you are a Fortive employee and want to learn more, visit https://t.co/E69r93TOpR https://t.co/DbnnpYEb9o",en,Fortive Corporation
Wed Mar 06 17:19:48 +0000 2019,"""To me, #BalanceforBetter means we are working towards an inclusive world where everyone is welcomed and valued for exactly who they are."" - Bao Xiong. 

As we charge closer to #InternationalWomensDay, we ask the question: ""What does #BalanceforBetter mean to you?"" https://t.co/ilJ8IQIc4L",en,Fortive Corporation
Mon Mar 04 18:52:26 +0000 2019,"We are more together. We all have a role in building a community where everyone belongs. Where you can speak your mind, be yourself, and feel supported. It's how we achieve more together – for each other, for our customers, and for the world. https://t.co/Eo9bHZ7xY1 https://t.co/44EnD6U8RT",en,Fortive Corporation
Thu Feb 28 22:49:06 +0000 2019,"Tomorrow, for the third year in a row, the tough @AccruentLLC Minneapolis, MN team will participate in the #PolarPlunge for the Special Olympics Minnesota. Head over to Accruent's page to cheer them on! #FortiveCares #AccruentCares #FortiveTogether https://t.co/WTdhsdPKfB",en,Fortive Corporation
Mon Feb 25 20:20:42 +0000 2019,"Who we are at Fortive boils down to 8 words: Essential technology for the people who accelerate progress. We are proud to do what we do for our customers, together.  #FortiveTogether #ForYouForUsForGrowth To watch the full video, visit https://t.co/R9OLPBpDQX https://t.co/fQFZLuvlAn",en,Fortive Corporation
Fri Feb 22 19:19:04 +0000 2019,And that's a wrap! Thank you to all of our leaders that traveled from near and far to participate in #FLC19. #ForYouForUsForGrowth https://t.co/TXuvdAQAsz,en,Fortive Corporation
Fri Feb 22 17:02:29 +0000 2019,"""Business, ethics, and CSR are converging, and the Fortive way of doing business - with integrity - is a global advantage,"" said Pete Underwood today at #FLC19. ""I’m proud to say that in 2019 we will be pursuing energy reduction goals that our entire organization can get behind."" https://t.co/8cRISubUtY",en,Fortive Corporation
Fri Feb 22 15:18:39 +0000 2019,"Kate Mitchell, Stacey Walker, and Barbara Hulit gathered us at #FLC19 to celebrate Women at Fortive and our commitment to each other. We’re starting with Micro-sponsorship - pledging to support other women with actions like advocating and acknowledging strengths in the moment. https://t.co/9ifSfwcdEV",en,Fortive Corporation
Thu Feb 21 18:34:22 +0000 2019,"“Innovating for impact is all about learning how to take on risk so that we can make decisions faster,” says Barbara Hulit SVP for the Fortive Business System and High Growth Markets. “That’s really adaptability. That’s where we’re going to find breakthrough innovation.” #FLC19 https://t.co/1nOBFMdPp8",en,Fortive Corporation
Thu Feb 21 18:08:39 +0000 2019,"“I’m proud of the team,” says Andrew Robinson, President, @VeederRoot. “By gaining deep customer insights, rapid prototyping, and experimentation, the team created something that really mattered. Our customers and service contractors were signing up in droves.” #FLC19 https://t.co/y9yfibl3xN",en,Fortive Corporation
Thu Feb 21 16:33:15 +0000 2019,"Eric Ries spoke today about accelerating innovation at Fortive. He asked us an interesting question: “If you develop a Standard of Work (SOW) for innovation, you can bring potentially innovative projects into the light.” Does innovation have an SOW? What do you think? #FLC19 https://t.co/MeRbOxdqJZ",en,Fortive Corporation
Thu Feb 21 00:26:08 +0000 2019,"As we work to make Fortive a more agile organization, we are working to make our minds and bodies more agile too. Health and happiness are business priorities. #FLC19 #FortiveCares #PowerYoga taught by our very own Lucy Sackett https://t.co/3cm1OsbC4c",en,Fortive Corporation
Wed Feb 20 21:00:23 +0000 2019,"Today we had the pleasure of listening to @angeladuckw talk about Grit. Part of Kaizen is having grit. And by having a growth mindset and staying optimistic about our challenges, we are on a gritty path to greatness in 2019. Are you gritty? Find out! https://t.co/7d8DdtyGUZ https://t.co/Tt8XI8AzSW",en,Fortive Corporation
