created_at,full_text,lang,user_name
Thu Dec 19 19:00:07 +0000 2019,"You better watch out – for holiday travelers on the roadways. Thanks for helping keep our roads safe! 
#transportation #roadsafetyweek 

https://t.co/CxgKQyHrXT https://t.co/L4nlPXTcu8",en,Gallagher
Thu Dec 19 18:00:03 +0000 2019,"Healthcare Practice Area Director Larry Hansard recently spoke with @CaptiveInternational about the benefits captive insurance companies can bring to telemedicine providers to help reduce exposures. Read more: 

https://t.co/DUMpajDdA9 https://t.co/w2nFrAy3A4",en,Gallagher
Wed Dec 18 19:00:38 +0000 2019,The right data and insights help you find the right benefits balance. Complete the survey and plan for success with unparalleled benchmarking data. https://t.co/rnxhhW7Y1v https://t.co/mqaYDjFSGl,en,Gallagher
Wed Dec 18 18:00:13 +0000 2019,Minimize turnover and unlock cost efficiencies. Get best-in-class insights on how to secure the right talent: https://t.co/wSrohdyJgm https://t.co/p4sduIHyJe,en,Gallagher
Tue Dec 17 20:36:02 +0000 2019,"Gallagher expands in Canada with the acquisition of SBW Employee Benefits. 

Read the full press release below. 

https://t.co/xqxTQsvPHq https://t.co/erRd9x5XMB",en,Gallagher
Mon Dec 16 23:00:13 +0000 2019,"Check out the December edition of Compliance Continuity for the 2019 year in review, including monitoring the future of the Patient Protection and Affordable Care Act (ACA) and more.  https://t.co/bEk4ORlT6z https://t.co/uCR2ySLjWJ",en,Gallagher
Mon Dec 16 20:00:28 +0000 2019,"Together, Gallagher and @Chubb are offering an exclusive #cyber program designed for the art world. Learn more about our exclusive program. https://t.co/ZWChZ1GWKW https://t.co/X3UrzEobCs",en,Gallagher
Mon Dec 16 17:17:30 +0000 2019,@MichealBoskovic Our Gallagher Ethics and Compliance Hotline is available 24/7. The hotline is managed by an outside company and info will be relayed to the appropriate Company Resources for further investigation. https://t.co/u728BGynLa,en,Gallagher
Mon Dec 16 14:39:03 +0000 2019,"Gallagher announces new multi-year partnership with @Padres becoming the official insurance brokerage, benefits and risk management services partner of
the #Padres &amp; co-presenting sponsor of the #PadresGiving Holiday Tour: https://t.co/MDDaEF5In9 https://t.co/Jn504Ks7WH",en,Gallagher
Thu Dec 12 19:00:24 +0000 2019,Understanding reporting requirements during a federal government shutdown is one of several perplexing challenges employers faced in 2019. Uncover ten stumbling blocks to compliance when you read this months issue of Compliance Continuity.  https://t.co/P8kGV9ijhG https://t.co/c3MLafCb6I,en,Gallagher
Thu Dec 12 18:00:48 +0000 2019,Keeping track of all of the compliance requirements that face employers sponsoring health and welfare plans is always a challenge. Check out our latest issue of Directions for important reminders. https://t.co/MjGIMBK90w https://t.co/2SxujncqpQ,en,Gallagher
Thu Dec 12 18:00:47 +0000 2019,Gallagher's Fine Arts team has joined forces with @Chubb to help art dealers and galleries secure the right #cyber coverage. Learn more about our new program. https://t.co/8ZupmJs5lH https://t.co/yqlxjFlLYw,en,Gallagher
Wed Dec 11 20:14:03 +0000 2019,"Take part in our research to see how employers are addressing workforce challenges, and how you can take action to build a better workplace. https://t.co/OizVgHArHL https://t.co/MCSe2rN1Yr",en,Gallagher
Wed Dec 11 20:00:21 +0000 2019,"IBIS Academy, Gallagher's global benefits, HR, &amp; mobility conference, comes to Geneva, Switzerland on May 11-15, 2020.  Gain exclusive insights from global industry experts and thought leaders. Learn more at https://t.co/gF9gJs6n71 or register today https://t.co/4d05Kn48ws https://t.co/DlztLC58Ag",en,Gallagher
Wed Dec 11 18:00:36 +0000 2019,"How do Canadian employers plan to increase salary structures for 2020, and how can you compete? Preview our latest report: https://t.co/cyit1FmQ84 https://t.co/29XvayQcA2",en,Gallagher
Tue Dec 10 20:00:09 +0000 2019,Looking for talent to drive growth? So are your competitors. Find out what it takes to attract and retain talent today. Preview our report: https://t.co/2mzv6pyPgv https://t.co/nXVvf2vY4q,en,Gallagher
Tue Dec 10 18:00:26 +0000 2019,"Confidently face your future with new ideas to contain costs, address workforce needs and achieve better organizational wellbeing. https://t.co/VkFIW9DQNJ https://t.co/VkoAjHJ1pN",en,Gallagher
Mon Dec 09 18:00:19 +0000 2019,"IRS releases indexed dollar values for 2020, and additional resources covered in our latest issue of Directions. https://t.co/RbAuR6gNL8 https://t.co/xaaoxFsjMx",en,Gallagher
Mon Dec 09 14:56:06 +0000 2019,Fantastic to see @GallagherUK with our partner @Premrugby support #RainbowLaces this past week - the campaign to support #LGBT #inclusion and help make sport everyone’s game. https://t.co/Eiq4xFyipC,en,Gallagher
Fri Dec 06 18:00:10 +0000 2019,"Gallagher provides comprehensive insurance solutions so you can build your collection with confidence. #ArtBasel2019 #ArtBaselMiamiBeach 
https://t.co/34RfFtQ7Nf",en,Gallagher
Fri Dec 06 16:00:22 +0000 2019,The Department of Labor has announced a proposed rule to allow online retirement plan disclosures to reduce printing and mail expenses. Read the latest issue of Directions for details. https://t.co/9gObj8lkvU https://t.co/XxxEEIkZHk,en,Gallagher
Thu Dec 05 23:00:07 +0000 2019,"Best-in-class employers for healthcare cost control are less likely to increase employees' expenses, which helps boost physical and financial wellbeing. https://t.co/0GPT2ALqaI https://t.co/0SAI6K82ms",en,Gallagher
Thu Dec 05 19:02:03 +0000 2019,"Gallagher Canada is pleased to announce the appointment of our new CEO, Dave Partington. https://t.co/N6hl93PB0k #GallagherCanada https://t.co/VPhiWLrqsp",en,Gallagher
Thu Dec 05 18:00:57 +0000 2019,How do you attract the talent you need at the right cost structure? A new report helps you compare benefit offerings to employers across Canada. Get a preview: https://t.co/4vNTIo4Lvl https://t.co/e1Qb1eIa6W,en,Gallagher
