created_at,full_text,lang,user_name
Thu Dec 19 20:00:21 +0000 2019,"How should the future of #AI shape your strategy today? Find out during our free #webinar, available here on-demand:  https://t.co/pHuP5owUCa #GartnerSYM #CIO #IT https://t.co/thHuvaQ5Y1",en,Gartner
Thu Dec 19 18:00:26 +0000 2019,Looking to improve the effectiveness of your smaller #sales team? Gartner expert Dave Egloff shares 5 tips. Read more: https://t.co/1xRwtHNvQr #GartnerSales #CSO #Sales https://t.co/sPUPLxNo00,en,Gartner
Thu Dec 19 15:00:28 +0000 2019,RT @GradToGartner: Gartner's #Services Rotational Program offers our associates the opportunity to learn from our business #leaders and gai…,en,Gartner
Wed Dec 18 19:30:00 +0000 2019,What are HR leaders' top 5️⃣ priorities for the year ahead? Learn more via @Gartner_HR below ⬇ #GartnerHR https://t.co/FXoHg7DCcr,en,Gartner
Wed Dec 18 18:32:34 +0000 2019,RT @Gartner_Comms: Getting stakeholders to change their behavior can be a slow business. Download our guide to learn how to overcome those…,en,Gartner
Wed Dec 18 17:14:32 +0000 2019,RT @Gartner_SC: Gartner analyst @BeanBoston shares a framework that new CSCOs can use to accelerate their transition and define their role.…,en,Gartner
Wed Dec 18 15:30:16 +0000 2019,"Unified measurement, #marketingmix modeling — and more. Gartner expert Lizzy Foo Kune shares 5 alternative and complementary approaches to attribution. Read more: https://t.co/Vlnx26u4xk  #GartnerMKTG #CMO #Blog https://t.co/ewhed83igb",en,Gartner
Wed Dec 18 13:30:06 +0000 2019,"Join us for a free #webinar, ""4 Imperatives to Win With Industry Line of Business Buyers,"" today at 10am ET. Register here: https://t.co/f2ffesVFnv #GartnerSYM #CIO #IT https://t.co/3OBJqZH9Ep",en,Gartner
Tue Dec 17 20:57:43 +0000 2019,"RT @Gartner_Finance: Many leaders think zero-based budgeting takes a lot longer than the alternatives. However, our research shows it adds…",en,Gartner
Tue Dec 17 18:57:54 +0000 2019,RT @Gartner_MKTG: Gartner analyst Kate Muhl discusses #algorithm hacking and other consumer trends that will impact #marketing leaders in 2…,en,Gartner
