created_at,full_text,lang,user_name
Thu Dec 19 20:34:14 +0000 2019,@pwilldotorg We’ll share your idea request with the team. Thanks!,en,General Mills
Thu Dec 19 15:54:12 +0000 2019,@NBlohm We'll pass the idea on to our Helper team!,en,General Mills
Thu Dec 19 01:25:38 +0000 2019,@alisaamiller We love it! Thanks for sharing!,en,General Mills
Wed Dec 18 21:31:55 +0000 2019,@JayDotRain We're happy to hear you're enjoying them!,en,General Mills
Wed Dec 18 19:47:58 +0000 2019,@TeeeeJay_ So pleased to know how much you love this cereal! We hope you enjoy every spoonful.,en,General Mills
Wed Dec 18 17:44:41 +0000 2019,"@amyr13 Hi Amy! We will let our team know about your suggestion. At the moment, we have got Kraft Lucky Charms Marshmallows. You should try it!🌈🦄",en,General Mills
Wed Dec 18 17:32:08 +0000 2019,@Hunter_Downs Regrettably we're unable to honor your request as the promotion ended last Spring. Keep your eye out this Spring in case we bring it back! Thanks for asking!,en,General Mills
Wed Dec 18 14:58:39 +0000 2019,"@swagpodcast Hi! We're so sorry to hear that! We will let our team know about that incident as it shouldn't have this smell. Additionally, we’d be happy to send you replacement vouchers so you can give this product a try again. Can you send us a DM as we would like to get more details? Thanks",en,General Mills
Wed Dec 18 13:28:19 +0000 2019,Here are our fiscal 2020 second-quarter earnings results https://t.co/T1zPFJUjLT https://t.co/DwllXzbzGE,en,General Mills
Wed Dec 18 12:08:13 +0000 2019,"Live webcast of our fiscal 2020 second-quarter earnings results, coming up at 8:30 a.m. Eastern https://t.co/IUg7b5JwQs https://t.co/1HsAJxH8z7",en,General Mills
Tue Dec 17 19:22:57 +0000 2019,"@Barb4Ward @cheerios Great job on finding one of the false facts - as mentioned on the box in your photo, there's three that aren't correct - can you find the others? (Answers are listed on the right edge).",en,General Mills
Tue Dec 17 18:32:12 +0000 2019,"RT @3BLNews: From the Food Bank of Iowa to Northwest Arkansas Food Bank, a total of $125,000 was provided across the country to help those…",en,General Mills
Tue Dec 17 17:24:49 +0000 2019,"@ShaleeseMarie We would need the following information:
- UPC/ bar code of the product
- Best by date and batch number
- Your name and mailing address
- Was the packaging intact?
- Name of the store and its location",en,General Mills
Tue Dec 17 17:23:42 +0000 2019,"@ShaleeseMarie Hi Shaleese! Thanks for your tweet! We are so sorry to hear that! We will let our team know about that incident. Additionally, we’d be happy to send you replacement vouchers so you can give this cereal a try again. Can you send us a DM as we would like to get more details? Thanks",en,General Mills
Tue Dec 17 14:02:32 +0000 2019,@1flyovercounty @tracylynn0220 Very sorry to hear you feel this way 😰. I'd like to get additional details and we'd be happy to make it up to you! Can you DM us for additional info? Thanks! https://t.co/dgvezxByqn,en,General Mills
Tue Dec 17 13:57:34 +0000 2019,"@beatehermann2 Hello - We are General Mills USA, the Häagen-Dazs team in Germany may be able to help you further. Please feel welcome to contact them via: https://t.co/qIYVKF3UlC. Thank you!",en,General Mills
Mon Dec 16 21:18:31 +0000 2019,"@Hoboner Aww, shucks, Betty, thanks!",en,General Mills
Mon Dec 16 19:54:40 +0000 2019,"@RH0112358 We're so sorry to see this! Could you please send us a DM with the UPC (barcode), full best-by date from the package, store you purchased this from, as well as your full name and mailing address? We'd like to look into this further with our team and make it up to you. Thanks!",en,General Mills
Mon Dec 16 19:48:59 +0000 2019,"Our December #podcast episode is live. This month's lead story includes an interview with @toysrgus, who has traveled around the world to collect Star Wars-themed cereal boxes. Tune in here: https://t.co/9UZJzBaFbw #StarWars https://t.co/x14EPsDmC1",en,General Mills
Mon Dec 16 19:33:05 +0000 2019,"@webmonkees We are sorry for your disappointment, but yes, this contest is over.",en,General Mills
Fri Dec 13 19:34:34 +0000 2019,@WTVAAMANDA Sorry for the error! Feel free to send us a DM so we can collect some details and make it up to you. Thanks!,en,General Mills
Fri Dec 13 17:04:12 +0000 2019,@nramirez2007 Sorry for the printing error! Our team is aware of the issue. Thanks!,en,General Mills
Thu Dec 12 17:24:06 +0000 2019,@addictcab We'll be sure to let our team know you're missing it!,en,General Mills
