created_at,full_text,lang,user_name
Mon Dec 16 19:48:07 +0000 2019,"@AngMac18 @AngMac18
Thank you for reaching out. So that we can assist you further, can you please share your contact details via a direct message?
Thank you,
Global Payments Social Media Team",en,Global Payments Inc.
Thu Dec 12 18:07:58 +0000 2019,We love seeing our customers grow! We were there to see Five Guys open their first UK store and we're delighted to see that they have launched their 100th store in the UK last week. A huge congratulations to the whole crew at St Paul's branch in London. #CustomerSuccess #Growth https://t.co/a6VP6tzh6A,en,Global Payments Inc.
Fri Dec 06 16:34:23 +0000 2019,"@boaticus Hi Ken,
We'd like to look into this for you. Can you please send us a private direct message with your contact details so that we may assist you further?
Thank you,
Global Payments Social Media Team",en,Global Payments Inc.
Fri Dec 06 16:25:57 +0000 2019,"David Axelrod, Director at Broker Experts was looking for a payment provider with a range of scalable, industry-tailored solutions.
#GlobalPayments https://t.co/2NhrFyGLlP",en,Global Payments Inc.
Thu Dec 05 19:49:22 +0000 2019,"Here's a look at our new UK office in Syston, Leicester. The open-plan office was designed as a bright and vibrant space. We love the living moss wall and collaborative spaces.
#GlobalPayments #Leicester #newoffice #collaboration https://t.co/yqPO1OzuOF",en,Global Payments Inc.
Wed Dec 04 15:15:39 +0000 2019,"Make sure your business is getting the most out of the retail rush. Check out our Holiday Payments Checklist for tips on boosting your sales and keeping your customers jolly. https://t.co/bVFHfNmvY5
#payments #holidayseason #retail https://t.co/310sG16OZ8",en,Global Payments Inc.
Mon Dec 02 20:01:34 +0000 2019,"Today is a big day for our #ecommerce customers running a #CyberMonday promotion, and we've got your back. All season long, we're here to help you sell more with our ecommerce solutions: https://t.co/5D2qGurGFo https://t.co/UJWMPyy8NC",en,Global Payments Inc.
Thu Nov 28 16:52:31 +0000 2019,"@danmotherway Hi Dan. Thanks for reaching out. To help us look into this further, can you please send us a direct message with your contact details?
Thanks,
Global Payments Social Media Team",en,Global Payments Inc.
Thu Nov 28 14:28:01 +0000 2019,"Wishing a #HappyThanksgiving to our customers, partners and team members in the United States. https://t.co/UrEKGYUsCP",en,Global Payments Inc.
Wed Nov 27 20:42:34 +0000 2019,"As a member of the Fast Company Impact Council, @FrankTYoung, President of Vertical Market Software Solutions, discusses what ""impact"" means to him in the latest issue of @FastCompany. Read it here: https://t.co/O9fdNqwKiY",en,Global Payments Inc.
Tue Nov 26 17:12:05 +0000 2019,"#SmallBusinessSaturday is just a few days away! At Global Payments, we're proud to serve our #smallbusiness customers. #ShopSmall 
https://t.co/zkcvNa07Ut https://t.co/l8qm1nNlmF",en,Global Payments Inc.
Fri Nov 22 18:52:28 +0000 2019,Congratulations to our CIO Guido Sacchi for receiving the @ATPConnect Leadership Award last night! The award recognized his outstanding impact through technology and business leadership. https://t.co/CQtsUwbD6w,en,Global Payments Inc.
Fri Nov 22 18:49:31 +0000 2019,RT @ATPConnect: Congrats Guido Sacchi of @GlobalPayInc on winning our Leadership Award! Well deserved! https://t.co/U88G5rbFbX,en,Global Payments Inc.
Fri Nov 22 14:46:24 +0000 2019,"Brush up on security tips to protect your business this #holiday season. Stacy Hughes, SVP of External Compliance and IT Risk, shares advice on how you can take action. Read more: https://t.co/5zyrlhMqpK
#securityprotectiontips https://t.co/n1OmTTb7p4",en,Global Payments Inc.
Wed Nov 20 15:17:13 +0000 2019,"Congratulations to our CIO Guido Sacchi for being named a finalist in the leadership category for the 2019 @ATPConnect Atlanta Technology Professionals Awards. The award recognizes achievements in the areas of innovation, organizational leadership, and industry impact. https://t.co/li43ciQdJq",en,Global Payments Inc.
Wed Nov 13 21:56:03 +0000 2019,"Our President &amp; COO Cameron Bready and SEVP &amp; CFO Paul Todd presented today at Citi's 2019 Financial Technology Conference in New York. They spoke about our pure play payments technology focus and opportunities enabled by our merger with TSYS. 
Listen: https://t.co/h0zrYUM0Eo https://t.co/AjpxUAkPPu",en,Global Payments Inc.
Wed Nov 06 16:58:37 +0000 2019,"The National Retail Federation @NRFnews predicts online and non-store sales could reach up to $166.9 billion this year. Is your #online checkout ready? https://t.co/p7d5P18Csc
#payments https://t.co/TXR9UA6zxt",en,Global Payments Inc.
Tue Nov 05 16:01:09 +0000 2019,"Global Payments Vice President of Product Management Marc Castrechini outlines the questions small retailers need to ask when assessing their fraud prevention capabilities in @MyTotalRetail.  
Read it here: https://t.co/q4q1hC8DKv https://t.co/qPCF3F7xhH",en,Global Payments Inc.
Fri Nov 01 18:21:08 +0000 2019,"Watch our CEO Jeff Sloan share his perspective on Global Payments' growth and the strength of the global consumer on CNBC's Squawk Alley:
https://t.co/rdMcglTF2x https://t.co/8UJyezlu8N",en,Global Payments Inc.
Fri Nov 01 16:00:04 +0000 2019,CEO Jeff Sloan discussed our strong Q3 performance with @BloombergRadio this morning. Listen here: https://t.co/wbYrdfZsrm https://t.co/JyAaNQOiE1,en,Global Payments Inc.
Thu Oct 31 18:44:12 +0000 2019,"RT @YahooFinance: Highlight: ""The consumer across all businesses were wide, but especially here in the United States, it's especially healt…",en,Global Payments Inc.
Thu Oct 31 12:20:34 +0000 2019,Read our latest news: https://t.co/HAYpPQQiU5 https://t.co/ljo5RbNKPJ,en,Global Payments Inc.
Thu Oct 31 11:19:48 +0000 2019,$GPN Reports 3Q19 Earnings. #GPNearnings https://t.co/prY0Zxle9p,en,Global Payments Inc.
Thu Oct 31 11:18:32 +0000 2019,"For a reconciliation of non-GAAP metrics to closest GAAP measure &amp; disclosures regarding forward-looking statements:
#GPNearnings
https://t.co/PE17vfoJVG",en,Global Payments Inc.
Thu Oct 31 11:10:16 +0000 2019,"Cameron Bready, President and COO, Global Payments ($GPN) #GPNearnings https://t.co/X3JeLcBs7T",en,Global Payments Inc.
Thu Oct 31 11:06:50 +0000 2019,"Jeff Sloan, CEO, Global Payments ($GPN) #GPNearnings https://t.co/0TCbXy8M1w",en,Global Payments Inc.
Thu Oct 31 11:02:20 +0000 2019,$GPN Reports Results for Third Quarter 2019 and Increases 2019 Outlook #GPNearnings https://t.co/PE17vfoJVG https://t.co/ZKzJdr4Xzy,en,Global Payments Inc.
Tue Oct 29 15:48:54 +0000 2019,"How do you go beyond regulatory compliance to secure data? See the 4 security questions to ask your payments provider in our latest blog post: 
https://t.co/hSBCoBQAYz https://t.co/Tso5uIuFjs",en,Global Payments Inc.
Tue Oct 29 12:25:46 +0000 2019,Read our latest news: https://t.co/ODh3TmUarl https://t.co/akAy6dlhEn,en,Global Payments Inc.
Fri Oct 25 13:50:19 +0000 2019,"We're proud to sponsor the upcoming @WNETonline Leadership Summit in Atlanta, Georgia and look forward to seeing you there! 
#Payments #Diversity #Inclusion https://t.co/E6a3cykcVu",en,Global Payments Inc.
Thu Oct 24 20:02:36 +0000 2019,"This year, 40 riders from Global Payments raised over $27K supporting Spin for Kids to provide medically-supportive camp experiences for children. https://t.co/XC5IDC8iYc",en,Global Payments Inc.
Thu Oct 24 13:30:53 +0000 2019,We're proud to be included in @Bloomberg's list of Top 50 Companies to Watch in 2020: https://t.co/8T7R8DG6on,en,Global Payments Inc.
Mon Oct 21 14:00:45 +0000 2019,"Our colleagues Stacy Hughes and Walid Barakat are in Dublin, Ireland this week to share payment security best practices. Join them at the @PCISSC Europe meeting on Tuesday and Wednesday to hear about the future of securing #payment data. https://t.co/UF89KHnQrR",en,Global Payments Inc.
Mon Oct 21 13:43:24 +0000 2019,"@ellejanecarter @ellejanecarter, we would like to look into this for you. Can you please send us a DM with your contact details so we can assist with this? Thank you, Global Payments Social Media Team",en,Global Payments Inc.
Fri Oct 18 20:47:29 +0000 2019,"We had a great time participating in the Atlanta Pride Parade! Enjoy our photos from the event. 
#diversity #inclusion #pride https://t.co/QPLDVeRrt4",en,Global Payments Inc.
