created_at,full_text,lang,user_name
Thu Dec 19 21:16:34 +0000 2019,RT @Rangers: #TogetherWe said #FarewellGLP. https://t.co/i5pKAGeS9K,en,Globe Life
Thu Dec 19 19:25:26 +0000 2019,"RT @FCDallas: Been here since day one. Year 25 starts now. #DTID 

Full 2020 FC Dallas Schedule: 
https://t.co/8mIObAwlat https://t.co/q1oD…",en,Globe Life
Thu Dec 19 16:01:49 +0000 2019,Why give them a gift they will barely use? 🧥🤷 Consider a gift that will fit their life perfectly.  🎁👌 https://t.co/lrHOuj43qv #NationalUglySweaterDay https://t.co/fU6aniEn14,en,Globe Life
Thu Dec 19 14:37:26 +0000 2019,"RT @CityOfArlington: #ArlingtonTX City Council approves $810 million development project, which will add 888-room @Loews_Hotels Hotel, New…",en,Globe Life
Thu Dec 19 14:35:19 +0000 2019,"RT @Rangers: To our 1,600 @GlobeLifeField construction workers &amp; millions of fans... https://t.co/f6VAX4MPsy",en,Globe Life
Thu Dec 19 14:35:14 +0000 2019,RT @GlobeLifeField: Spreading Holiday cheer to the men and women working to build the future home of the @Rangers. https://t.co/3KOtnw44eG,en,Globe Life
Thu Dec 19 00:00:03 +0000 2019,"💁🎅🎁 On a strict #budget this holiday season? Check out these tips on how your #gifts can still SLEIGH: https://t.co/mNC6kUEg6G

 #GlobeLife #LifeInsurance #Insurance #Shopping #Christmas #Holidays #Presents https://t.co/461HJOueII",en,Globe Life
Wed Dec 18 21:30:06 +0000 2019,Tis the season for some quality time and employee appreciation at Globe Life. Our employees enjoyed a holiday luncheon last Friday to get in the holiday spirit. https://t.co/VUPvjnnrjJ 🎄🎁 https://t.co/y6c9D3vA1n,en,Globe Life
Wed Dec 18 18:22:09 +0000 2019,RT @Rangers: @GlobeLifeField confirmed https://t.co/YX6g7bwSbP,en,Globe Life
Wed Dec 18 18:22:00 +0000 2019,RT @GlobeLifeField: Today we announced that Globe Life Field is 89% complete. https://t.co/mex2JNEVeG,en,Globe Life
Tue Dec 17 17:44:54 +0000 2019,RT @Rangers: Let the #OpeningDay countdown begin! 🎁 https://t.co/hp34yzbhyZ,en,Globe Life
Tue Dec 17 15:02:06 +0000 2019,"RT @dallascowboys: Here are the 5️⃣ biggest plays that you can’t forget about in #LARvsDAL according to @nickeatman

Don’t Forget These 5 p…",en,Globe Life
Mon Dec 16 15:36:40 +0000 2019,RT @ATTStadium: Give the gift of @dallascowboys with a #DallasCowboysUnited membership for $20 presented by @GlobeLife! Members get a DCU f…,en,Globe Life
Mon Dec 16 01:05:33 +0000 2019,"RT @dallascowboys: The #DallasCowboys dominate in victory over Rams. 

Full #LARvsDAL Game Recap ⬇️",en,Globe Life
Sun Dec 15 01:04:31 +0000 2019,"RT @dallascowboys: This holiday season, give the gift of a Dallas Cowboys United presented by @GlobeLife membership. Members receive exclus…",en,Globe Life
Fri Dec 13 21:21:44 +0000 2019,"RT @Rangers: Give toys, get autographs! 🎁 https://t.co/U6U3BABIs8",en,Globe Life
Fri Dec 13 21:14:18 +0000 2019,"RT @dallascowboys: This holiday season, give the gift of a Dallas Cowboys United presented by @GlobeLife membership. Members receive exclus…",en,Globe Life
Fri Dec 13 18:09:43 +0000 2019,RT @Rangers: 🔴 us on Fridays next year 🔴 https://t.co/DAVxPsJYcA,en,Globe Life
Fri Dec 13 16:02:20 +0000 2019,"It’s the most wonderful time of the year – to give!  🎁 Learn how you can help give a charity the gift of life insurance and Make Tomorrow Better at https://t.co/magVHKxz6Y 

#GlobeLife #MakeTomorrowBetter #LifeHappens #LifeInsurance #Insurance #Christmas #Gift #Holidays https://t.co/G1jcAdF01n",en,Globe Life
