created_at,full_text,lang,user_name
Thu Dec 19 21:00:26 +0000 2019,LISTEN: What’s ahead for Europe’s economy in 2020? Jari Stehn of $GS Research explains: https://t.co/x6XB01bYAp #GSEurope https://t.co/NQVEESH38A,en,Goldman Sachs
Thu Dec 19 20:22:23 +0000 2019,"Head of GS’ Sustainable Finance Group, John Goldstein (@ImpactInvestor), on @CNBC on how inclusive growth and climate transition are two core themes shaping the markets. https://t.co/eNEdf6JrVe #GSsustainability",en,Goldman Sachs
Thu Dec 19 18:06:13 +0000 2019,"RT @GS10KSmallBiz: It’s the most wonderful time of the year at GS – the annual 10,000 Small Businesses Holiday Market. Thank you to the 55…",en,Goldman Sachs
Thu Dec 19 16:00:35 +0000 2019,“How you treat people every single moment defines who you are as a human being.” @KINDSnacks founder @DanielLubetzky on his business ethos: https://t.co/G7RlcpOqof #TalksAtGS https://t.co/XFU9K3Si90,en,Goldman Sachs
Thu Dec 19 14:00:03 +0000 2019,Celebrating 20 years of the Goldman Sachs Foundation and the global impact of entrepreneurship programs like @GS10KWomen with a #TBT to one of the first graduations in Nigeria: https://t.co/BFaYfaptPS #GS150Years https://t.co/Jhq6l6Gzl8,en,Goldman Sachs
Thu Dec 19 07:19:06 +0000 2019,日本でのプラスチックのリサイクル率は86%に達していますが、そのうち58%が焼却による熱回収でCO2排出量には大きな影響を与えています。環境に負担となるプラスチックの将来についてゴールドマン・サックスが解説します。https://t.co/ut0yS6rkRt https://t.co/9Q4T0fADKI,ja,Goldman Sachs
Thu Dec 19 02:39:59 +0000 2019,RT @BloombergLive: More from #TheYearAhead Tokyo! @business' @ErikSchatzker sat down with @GoldmanSachs Japan's Vice Chair @KathyMatsui to…,en,Goldman Sachs
Wed Dec 18 23:24:32 +0000 2019,Well that was fast! Time-lapse of today’s #SnowSquall as seen from our NYC headquarters. https://t.co/qI3RDWpuag,en,Goldman Sachs
Wed Dec 18 21:00:17 +0000 2019,VIDEO: $GS Research forecasts steady U.S. GDP growth of 2.3% with an expected détente in China trade tensions and a pause in Fed activity. See what else to expect in the upcoming year: https://t.co/ElRvgRdcBR https://t.co/K8mW9ADBAs,en,Goldman Sachs
Wed Dec 18 16:00:48 +0000 2019,"""Payment is our way to build a strong consumer mode here."" @Paytm Founder and CEO Vijay Shekhar Sharma on the idea for the mobile payments company during a #TalksAtGS at #GSInnovators with GS' Dan Dees: https://t.co/KCsagOkOLe https://t.co/yZRR7MnKN1",en,Goldman Sachs
Wed Dec 18 14:33:25 +0000 2019,"What does it take to scale a startup? Seven experienced #entrepreneurs shared their best tips on fundraising, hiring and growth with #LaunchWithGS at our Private Innovative Company Conference. Watch the highlights here: https://t.co/xvuP3TvFEB #GSPICC https://t.co/xolqerRLLx",en,Goldman Sachs
Wed Dec 18 09:40:20 +0000 2019,"Zusammen mit Ministerpräsident Volker #Bouffier und Dr. Theodor Weimer, sowie weiteren Gästen, feierten Richard Gnodde und Wolfgang Fink gestern die offizielle Eröffnung unserer neuen $GS Büroräume in Frankfurt. @RegHessen @deutscheboerse #GSEurope https://t.co/3Fe5jf5ZhG",de,Goldman Sachs
Wed Dec 18 00:30:00 +0000 2019,"Our commitment to sustainability extends to how we operate our own business, so we are proud to partner with the @ClimateGroup in accelerating the clean energy transition through #RE100, #EV100, and #EP100. https://t.co/hsiK9sy3hf #GSsustainability",en,Goldman Sachs
Tue Dec 17 23:00:50 +0000 2019,"15-20% of all consumer goods are sold via the internet today, increasing the global need for more packaging. $GS explains how the paper and packaging industry is adapting to the growing need for quick and convenient delivery: https://t.co/ePniel7Cne https://t.co/ETTSn4ginS",en,Goldman Sachs
Tue Dec 17 20:00:19 +0000 2019,Former UN Ambassador @NikkiHaley discusses her book “With All Due Respect” and the importance of bringing more women and diverse candidates into the political sphere: https://t.co/92uBZ4NkCw #TalksAtGS https://t.co/hBKHZLF376,en,Goldman Sachs
Tue Dec 17 17:00:25 +0000 2019,LISTEN: Amelia Garnett gives her take on markets from the $GS trading floor: https://t.co/v7roGdCusv https://t.co/bF6VHPsfas,en,Goldman Sachs
Tue Dec 17 15:30:03 +0000 2019,"Closing the #gendergap in Australia’s employment rates could boost GDP by up to 8%, according to $GS Research: https://t.co/0O7Kr1mSvC https://t.co/VZP61QKn4h",en,Goldman Sachs
Tue Dec 17 14:00:01 +0000 2019,RT @Reuters: Goldman Sachs pledges $750 billion to environmental causes by 2030 https://t.co/ZLA1uEUfPz https://t.co/kt1ws7vL31,en,Goldman Sachs
Tue Dec 17 05:41:36 +0000 2019,RT @Reuters_co_jp: ゴールドマン、化石燃料の融資抑制　環境・格差対策に7500億ドル https://t.co/1CJEL0sQ4X,ja,Goldman Sachs
Tue Dec 17 00:00:01 +0000 2019,"Delighted to be recognised by @ifrtweets as Best Global M&amp;A House, along with regional recognitions across our business. https://t.co/NXMLWTCSw4 #IFRAwards",en,Goldman Sachs
Mon Dec 16 23:25:28 +0000 2019,RT @CNBC: Goldman Sachs to spend $750 billion on climate transition projects and curb fossil fuel lending https://t.co/v8z2WDjZqC,en,Goldman Sachs
Mon Dec 16 22:11:04 +0000 2019,"Congratulations to Joe Burrow, 2019 @HeismanTrophy winner (left), pictured here with GS' Jim McNamara (zero Heismans) during Joe’s time at our office. @Joe_Burrow10 is always welcome back, but we think he may have some other plans post-graduation… https://t.co/svJRtqB253",en,Goldman Sachs
Mon Dec 16 21:00:44 +0000 2019,"""What are the skills that are going to be most in demand in 2030?"" @pearson Chief Executive @johnfallon on connecting learning to the future of employability: https://t.co/j8vpCQRqOs #TalksAtGS https://t.co/qov6ykYnwc",en,Goldman Sachs
