created_at,full_text,lang,user_name
Thu Dec 19 13:30:40 +0000 2019,"Upcoming graduates – home for the holidays? Use the break to kick off your job search! #NewportNewsShipbuilding is hiring Dec. 2019 &amp; May 2020 grads for entry-level engineering. Check the ""Students &amp; New Grads"" portal at https://t.co/R2HCb1xgot for open positions #buildyourcareer https://t.co/QPs05QPndy",en,Huntington Ingalls Industries
Wed Dec 18 19:57:11 +0000 2019,"Aidis Zunde, Technical Solutions Dir of National Security Solutions recently discussed how industry is raising the bar for expectations in adaptive training with @ModMilTraining.  Watch here:  https://t.co/QZ5yhz1sTZ.",en,Huntington Ingalls Industries
Wed Dec 18 19:48:22 +0000 2019,"RT @ModMilTraining: What do industry leaders from @AirBus, @CollinsAero, @VTMak, @VocavioMetrics, @HIIndustries have to say about how #mili…",en,Huntington Ingalls Industries
Wed Dec 18 18:14:18 +0000 2019,"RT @Daily_Press: Peninsula region Habitat for Humanity dedicates its 200th home, just blocks from its first house
https://t.co/IY7Okkv8YK",en,Huntington Ingalls Industries
Wed Dec 18 15:09:22 +0000 2019,"Welcome home, McCallum family! Newport News Shipbuilding is proud to have partnered with Habitat for Humanity Peninsula and Greater Williamsburg to build the 17th home for the local community. Read the press release: https://t.co/dHg45Fpggu https://t.co/NajLjxB9Ox",en,Huntington Ingalls Industries
Wed Dec 18 14:42:48 +0000 2019,"RT @ClearedJobsNet: Join Hll-MDIS as a Budget Analyst, developing, analyzing, &amp; executing budget requirements, as well as estimating future…",en,Huntington Ingalls Industries
Wed Dec 18 14:01:01 +0000 2019,RT @JanesINTEL: Huntington Ingalls Industries launches aircraft carrier John F. Kennedy https://t.co/2KT1BLTsKJ @HIIndustries https://t.co/…,en,Huntington Ingalls Industries
Wed Dec 18 13:51:25 +0000 2019,RT @ACIBC: Thank you to @RepElaineLuria for taking the time to visit @FairbanksMorse and learn more about their contributions to the U.S. N…,en,Huntington Ingalls Industries
Wed Dec 18 13:41:19 +0000 2019,RT @FIRSTChesapeake: Funding for a limited number of FIRST Robotics Competition teams in the Hampton Roads area of VA will again be availab…,en,Huntington Ingalls Industries
Tue Dec 17 19:15:47 +0000 2019,RT @ToddCorillo: Check it out! That's CVN-79 the John F. Kennedy on the move in the James River! @HIIndustries says the @aircraftcarrier la…,en,Huntington Ingalls Industries
Tue Dec 17 18:15:41 +0000 2019,"#TSDisHiring a qualified Radar Systems Controller with recent experience operating the SPY-1 #radar to join our Dahlgren, VA program site. 

To learn more about the position or to apply, visit: https://t.co/r0DBi8WU8Q. https://t.co/5xYpyFpxss",en,Huntington Ingalls Industries
Tue Dec 17 17:45:29 +0000 2019,RT @ClearedJobsNet: Featured employer HII-MDIS provides mission-critical and practical solutions to a wide variety of government and commer…,en,Huntington Ingalls Industries
Tue Dec 17 15:55:49 +0000 2019,RT @NavyLeagueUS: In a ceremony celebrating the @USNavy’s newest nuclear-powered aircraft carrier and the American hero for whom the ship i…,en,Huntington Ingalls Industries
Tue Dec 17 13:45:17 +0000 2019,RT @DeptofDefense: Enjoy the view from an MH-60S Sea Hawk helicopter as it prepares to land on the flight deck of @USNavy aircraft carrier…,en,Huntington Ingalls Industries
Tue Dec 17 13:44:08 +0000 2019,RT @insidedefense: .@HIIndustries CEO says he supports #CMMC approach. https://t.co/jTlEjBLemi,en,Huntington Ingalls Industries
Mon Dec 16 20:01:09 +0000 2019,"RT @washingtonexec: .@HIIndustries has appointed Bharat Amin as executive vice president and chief information officer, a new role for the…",en,Huntington Ingalls Industries
Mon Dec 16 20:00:55 +0000 2019,"RT @USNavy: From maintenance to launch, #NavalAviation is a total team effort. #MondayMotivation

@flynavy aircraft conduct flight operatio…",en,Huntington Ingalls Industries
Fri Dec 13 16:14:13 +0000 2019,It’s been another amazing year for HII...But I want this year-end message to focus less on what we did and more on how we did it …With a focus on execution … transformation … collaboration … and engagement. https://t.co/n3nEaPVzCF https://t.co/CeYD7tME98,en,Huntington Ingalls Industries
Fri Dec 13 16:00:55 +0000 2019,RT @USNavy: #USNavy photos of the day: The #USNavy #aircraftcarriers #USSJohnCStennis and #USSHarrySTruman conduct flight operations and #U…,en,Huntington Ingalls Industries
Fri Dec 13 16:00:44 +0000 2019,RT @aircraftcarrier: .@Warship_78 has made great progress over the past few months – completing both the post-shakedown availability (PSA)…,en,Huntington Ingalls Industries
Fri Dec 13 15:59:36 +0000 2019,RT @OliviaCoronato: Thank you @HIIndustries for sponsoring our grant Leveraging Learning with iPads @KempsvilleMS. We have had an amazing y…,en,Huntington Ingalls Industries
Fri Dec 13 15:27:46 +0000 2019,"RT @MarkWarner: Nearly 5,000 shipbuilders have worked hard to build the USS John F. Kennedy right here in Virginia. What an honor to join i…",en,Huntington Ingalls Industries
Fri Dec 13 15:00:55 +0000 2019,"#TSDisHiring in multiple locations!  Click the links to learn more &amp; apply.

Sr Intel Community BD Manager - Fairfax, VA: https://t.co/y9QKbRMIu4

Information System Security Officer - Huntsville, AL: https://t.co/5CjOso1UW7  

CAF PM - Andrews AFB, MD: https://t.co/pOCl9MRV3R https://t.co/wrt8tV3OQ5",en,Huntington Ingalls Industries
Thu Dec 12 18:14:55 +0000 2019,"#CDCA summit2019 Visit us in booth #513 to learn about our #c4isr, #cyber and #unmanned capabilities. @CharlestonDCA https://t.co/2dOAU8BTKR",en,Huntington Ingalls Industries
Thu Dec 12 16:03:40 +0000 2019,RT @TamiErwinVZ: Our network supports transformation change across a variety of industries. So proud that Newport News Shipbuilding (@HIInd…,en,Huntington Ingalls Industries
Thu Dec 12 13:39:59 +0000 2019,RT @VerizonNews: Verizon lights up first 5G shipyard with Newport News Shipbuilding https://t.co/TcQZWeA9mR,en,Huntington Ingalls Industries
Thu Dec 12 13:39:10 +0000 2019,"Bharat Amin, @aminbb, has been named executive vice president and chief information officer for HII.  https://t.co/o5KnvZjb73 https://t.co/vzdEMbXKsM",en,Huntington Ingalls Industries
Thu Dec 12 13:26:49 +0000 2019,"RT @GovConWire: New post: @aminbb Promoted to @HIIndustries EVP, CIO; Mike Petters Quoted
https://t.co/NAoAuEMql1",en,Huntington Ingalls Industries
Wed Dec 11 21:52:08 +0000 2019,RT @CityofNN: Join Habitat for Humanity and Newport News Shipbuilding to celebrate Habitat's 200th home next Tuesday! Learn more in today's…,en,Huntington Ingalls Industries
Wed Dec 11 20:54:52 +0000 2019,"Mitch Waldman is HII’s executive vice president of government and customer relations. Hear how his team interacts with elected officials, customers and influencers to support the business in the latest HII Talking Points #podcast. https://t.co/cornV3us9X https://t.co/kaqILr3UpN",en,Huntington Ingalls Industries
Wed Dec 11 19:18:06 +0000 2019,Attending @CharlestonDCA? Stop by our booth #513 to learn about our #autonomous systems and SLAM (Simultaneous Location And Measurement) robotics. #cdcasummit2019 https://t.co/2NpS0Td205,en,Huntington Ingalls Industries
Wed Dec 11 17:04:21 +0000 2019,RT @USNavy: Meet you at high noon. The aircraft carrier USS Nimitz (CVN 68) is currently underway conducting routine operations in the Paci…,en,Huntington Ingalls Industries
Tue Dec 10 16:21:55 +0000 2019,"RT @virginianpilot: The aircraft carrier John F. Kennedy was christened at Newport News Shipbuilding Saturday. 

Some images from the event…",en,Huntington Ingalls Industries
Tue Dec 10 15:57:31 +0000 2019,"RT @SECNAV: #ICYMI: The @USNavy christened the future USS John F. Kennedy #CVN79.

""... it is right that we christen, for the second time i…",en,Huntington Ingalls Industries
Tue Dec 10 15:31:08 +0000 2019,"RT @aircraftcarrier: On Saturday, over 20,000 people attended the christening of John F. Kennedy (CVN 79). The celebration had many speaker…",en,Huntington Ingalls Industries
Tue Dec 10 13:45:46 +0000 2019,"RT @NDUFoundation: CVN 79, the USS John F. Kennedy was christened this past weekend. @NDUFoundation board member Vice Admiral Mark Fox of @…",en,Huntington Ingalls Industries
Mon Dec 09 19:41:00 +0000 2019,RT @stennis74: Happy Birthday to @stennis74! Setting the Standard for 24 years!   @USNavy @aircraftcarrier #LookAhead #SetTheStandard https…,en,Huntington Ingalls Industries
Mon Dec 09 14:28:45 +0000 2019,RT @RobWittman: Today is the christening of aircraft carrier John F. Kennedy (CVN 79). Aircraft carriers are vital to the safety of our nat…,en,Huntington Ingalls Industries
Mon Dec 09 14:28:31 +0000 2019,RT @BobbyScott: Very honored to give remarks during the John F. Kennedy (CVN-79) Christening Ceremony at NN Shipbuilding. Pictured w/ @John…,en,Huntington Ingalls Industries
Mon Dec 09 14:28:24 +0000 2019,"RT @WardLeonard5: Ward Leonard provides more than 100 controller products on US aircraft carriers, including light dimmers that set the int…",en,Huntington Ingalls Industries
Sat Dec 07 21:21:34 +0000 2019,Newport News Shipbuilding christened the @USNavy's newest nuclear-powered aircraft carrier John F. Kennedy (#CVN79) today. Read more in the press release: https://t.co/1CCJTrpiKr https://t.co/7jyvBeRMIu,en,Huntington Ingalls Industries
Sat Dec 07 20:16:11 +0000 2019,"RT @TedKennedyJR: Joined my cousin, Caroline, at the christening of the U.S. Navy's newest aircraft carrier, U.S.S. John F. Kennedy, in hon…",en,Huntington Ingalls Industries
Sat Dec 07 20:15:57 +0000 2019,"RT @TedKennedyJR: Proud day for the Kennedy Family and the U.S. Navy at Newport News Shipbuilding, for the christening of the most technolo…",en,Huntington Ingalls Industries
Sat Dec 07 20:09:54 +0000 2019,"RT @19Nette93: Ship's sponsor, Ambassador Caroline B. Kennedy, Christening CVN-79 USS John F. Kennedy.
#CVN79
#JFKWolverines 
#SPSK12Proud…",en,Huntington Ingalls Industries
Sat Dec 07 20:09:37 +0000 2019,RT @MarkWarner: America is home to the greatest shipbuilders and sailors in the world. It was an honor to celebrate them at the christening…,en,Huntington Ingalls Industries
Sat Dec 07 19:05:25 +0000 2019,RT @visualDP: The christening of the aircraft carrier John F. Kennedy at Newport News Shipbuilding https://t.co/dOhe3OubPE https://t.co/sHV…,en,Huntington Ingalls Industries
Sat Dec 07 16:55:05 +0000 2019,Join us for live and replay coverage of the John F. Kennedy (#CVN79) Christening Ceremony at Newport News Shipbuilding: https://t.co/uWUXOvcuJD,en,Huntington Ingalls Industries
Sat Dec 07 16:53:21 +0000 2019,RT @TRTSakeena: John F. Kennedy Christening Ceremony!!! #CVN79 https://t.co/HuaRiRsiai,en,Huntington Ingalls Industries
Sat Dec 07 15:36:13 +0000 2019,RT @F3JLove: Christening of the U.S.S. John F. Kennedy #cvn79 @F3Greensboro https://t.co/b8RzasCvaU,en,Huntington Ingalls Industries
Sat Dec 07 14:57:23 +0000 2019,"RT @GWPositiveVibes: The Christening of the CVN 79
John F. Kennedy Aircraft Carrier
December 7, 2019
Newport News, VA
#CVN79
#MilitaryFamil…",en,Huntington Ingalls Industries
Sat Dec 07 14:34:27 +0000 2019,RT @DougCarter62: #CVN79 JFK https://t.co/E6IGoNdMdj,und,Huntington Ingalls Industries
Sat Dec 07 14:20:46 +0000 2019,RT @McDucky333: It's A Great Day For A Christening #cvn79 https://t.co/jamIcbR8M1,en,Huntington Ingalls Industries
Sat Dec 07 14:20:44 +0000 2019,"RT @jfkwolverines: Wolverines are ready! 
#jfkwolverines 
#CVN79 https://t.co/WV0xYn6E3J",en,Huntington Ingalls Industries
Sat Dec 07 14:20:35 +0000 2019,"RT @ScienceySarah: At the christening of the new JFK Aircraft Carrier #CVN79 today, witnessing some of the amazing work by Newport News Shi…",en,Huntington Ingalls Industries
Sat Dec 07 14:20:27 +0000 2019,RT @l_wall8: The future USS John F. Kennedy #CVN79 christening event is underway. Thousands of shipbuilders and #USNavy personnel flood New…,en,Huntington Ingalls Industries
Sat Dec 07 13:58:54 +0000 2019,RT @SufVAschools: John F. Kennedy students ready for the christening of the U.S.S. John F. Kennedy aircraft carrier. Go wolverines! #Buildi…,en,Huntington Ingalls Industries
Fri Dec 06 22:27:39 +0000 2019,Newport News Shipbuilding is ready to christen aircraft carrier John F. Kennedy (#CVN79). Join us tomorrow for live and replay coverage of the event on this page and at https://t.co/6aiTSnEgGN starting around 11 a.m. https://t.co/j7leAmX7Vv,en,Huntington Ingalls Industries
Fri Dec 06 20:14:53 +0000 2019,"RT @nnschools: The @education_nn was awarded a $300,000 One Community Transformation Grant from Newport News Shipbuilding (@HIIndustries) t…",en,Huntington Ingalls Industries
Fri Dec 06 20:14:42 +0000 2019,RT @NnsoJ: A big day tomorrow for our neighbors on the James River  as @HIIndustries Newport News Shipbuilding christens the future #USSJoh…,en,Huntington Ingalls Industries
Fri Dec 06 17:31:09 +0000 2019,RT @aircraftcarrier: Click the link below to read about @Gipper_76’s bilateral exercises with the Japan Maritime Self-Defense Force in earl…,en,Huntington Ingalls Industries
Fri Dec 06 17:30:47 +0000 2019,"RT @StephenMoret: Packed house (approaching 1,000) at the @VAChamber's 10th Annual Virginia Economic Summit at the @RichmondCenter!

Senato…",en,Huntington Ingalls Industries
Fri Dec 06 13:44:48 +0000 2019,RT @USNavy: Check out America's #BlueGreenteam in action as #Marine F-35B Lightning II aircraft conduct flight operations aboard the amphib…,en,Huntington Ingalls Industries
Fri Dec 06 13:30:55 +0000 2019,"TOMORROW! Join us for a hiring event from 9 a.m. to 12 p.m. at The San Diego Shipyard.

We have an immediate need for:
•Production Welders
•Pipe Welders
•Shipfitters
•Pipefitters
...and more! #TSDisHiring

For more details, visit: https://t.co/FPV6GgtjEr. https://t.co/DOGdVdi3J1",en,Huntington Ingalls Industries
Fri Dec 06 13:30:45 +0000 2019,"#TSDisHiring a Master Tradesperson 4 to work in Virginia Beach, Virginia.  The candidate must have at least a DoD interim secret security clearance to start.  For more details or to apply, visit: https://t.co/NCFoREK6nt. https://t.co/yknCtm0UW5",en,Huntington Ingalls Industries
Fri Dec 06 12:57:21 +0000 2019,"RT @MissJalisaLogan: Not only did @HIIndustries mentors attend school today, but they stayed after, too. It doesn’t stop there, the mentors…",en,Huntington Ingalls Industries
Thu Dec 05 15:37:27 +0000 2019,"RT @wardcarroll: Quick sidebar at ⁦@NavalInstitute⁩’s #DefenseForumWashington between former Dep. SECDEF Bob Work (USNI BoD Chair), ⁦@USNav…",en,Huntington Ingalls Industries
Thu Dec 05 14:17:39 +0000 2019,RT @RTDOpinions: Editorial: New submarines help maintain American undersea superiority | Editorial | https://t.co/QD0wQVNMwf ⁦@USNavy⁩ ⁦@Ro…,ro,Huntington Ingalls Industries
Thu Dec 05 14:15:17 +0000 2019,Today is our last day of presentations at #IITSEC. Join us in booth #1612 as we kick off the day off with #augmentedreality Training Aid for Naval Sea Systems Command at 10A. https://t.co/an0UvSUaQM,en,Huntington Ingalls Industries
Thu Dec 05 14:14:55 +0000 2019,"RT @aircraftcarrier: Practicing exercises in the Indo-Pacific region, Strike Fighter Squadron (VGA 115) flies in formation over @gipper_76.…",en,Huntington Ingalls Industries
Wed Dec 04 22:14:24 +0000 2019,An evolution of #cyber discussion must start from the beginning and HII’s Ron Foder is setting the stage. Join us now at booth #1612 to hear more. #IITSEC https://t.co/d7GwWeTFvV,en,Huntington Ingalls Industries
Wed Dec 04 21:48:40 +0000 2019,"Proteus, is an undersea vehicle that can complete both #unmanned and #manned missions, holding up to six special operators. Read more about Proteus, here: https://t.co/Ndvhany92O. #IITSEC https://t.co/haNuRIrJep",en,Huntington Ingalls Industries
Wed Dec 04 21:40:29 +0000 2019,Brian McKeon is currently discussing Seabed Warfare in Denied Waters along with large diameter UUVs. Head to booth #1612 now! #IITSEC https://t.co/6ZVQBkXmBN,en,Huntington Ingalls Industries
Wed Dec 04 21:07:27 +0000 2019,Dave Kolas is discussing AI-Enabled #cyber defense and how specific data is used to protect users. #iitsec https://t.co/Y0EwMLt0wz,en,Huntington Ingalls Industries
Wed Dec 04 20:54:23 +0000 2019,"#HappeningNow at #IITSEC - networking reception with refreshments, presentations and networking with our experts. Come on over to booth #1612! https://t.co/RdVRQ6LTg6",en,Huntington Ingalls Industries
Wed Dec 04 20:10:12 +0000 2019,"At #IITSEC? Join us in our booth #1612 for refreshments, presentations and networking with our experts starting TODAY at 4PM. https://t.co/XleWCwb0JL",en,Huntington Ingalls Industries
Wed Dec 04 19:31:34 +0000 2019,Today was the sea cadets’ first opportunity tour and learn about Carriers. One of their favorite views was from the flight deck! #iitsec,en,Huntington Ingalls Industries
Wed Dec 04 19:19:50 +0000 2019,HII Multimedia Solutions Manager Miriam shows #augmentedreality and #virtualreality to @USNavy sea cadets who are very excited to learn about Carrier Spaces and Activited at #IITSEC. https://t.co/8U5JtBFILz,en,Huntington Ingalls Industries
Wed Dec 04 17:22:54 +0000 2019,"RT @virginianpilot: The aircraft carrier John F. Kennedy will be christened this Saturday at Newport News Shipbuilding.

Senior shipbuilder…",en,Huntington Ingalls Industries
Wed Dec 04 17:21:58 +0000 2019,"RT @UR_RobinsSchool: Don Godwin, CFO at @HIIndustries discusses his experience as a third generation shipbuilder with @R_Coughlan as part o…",en,Huntington Ingalls Industries
Wed Dec 04 17:15:12 +0000 2019,#security #interoperability and #readiness. Come hear about our capabilities and the Power of VR Training starting at 12:30P in booth #1612. #iitsec,en,Huntington Ingalls Industries
Wed Dec 04 15:45:14 +0000 2019,Our technology powers prototyping and testing for the @USArmy‘s AH-64 Apache. #IITSEC Visit booth #1612 to learn how. https://t.co/iz9YoQWRV1,en,Huntington Ingalls Industries
Wed Dec 04 15:04:48 +0000 2019,Happening now! MUMT presentation at #IITSEC booth #1612. https://t.co/9Bw15FVxjP,en,Huntington Ingalls Industries
Wed Dec 04 13:37:18 +0000 2019,"RT @NavalInstitute: Navy Awards $22B Contract to Electric Boat, Newport News Shipbuilding for 9 Block V Virginia Subs - USNI News
https://t…",en,Huntington Ingalls Industries
Wed Dec 04 13:33:28 +0000 2019,"RT @mikemullin4VA: So excited to see that @HIIndustries will be building five new submarines for the U.S. Navy! 26,000 people employed on t…",en,Huntington Ingalls Industries
Wed Dec 04 13:11:05 +0000 2019,We're getting an early start today at #IITSEC! Stop by booth #1612 to hear about our MUMT Emulator then at 12:30PM our SMEs will talk about the Power of Tetherless #VirtualReality #Training.  Full schedule is attached. https://t.co/oxs9ci0JpK,en,Huntington Ingalls Industries
Wed Dec 04 13:02:23 +0000 2019,"REMINDER! #TSDisHiring #technology, #engineering and #cybersecurity profesionals! Come chat with recruiters, TOMORROW at the Washington D.C./Chantilly, VA Technology, Engineering &amp; Security Clearance #CareerFair.

For more details and to register, visit: 
https://t.co/mkjo5ALE1y. https://t.co/8yfoGLg0th",en,Huntington Ingalls Industries
Tue Dec 03 21:35:09 +0000 2019,Attending #IITSEC? We'll be discussing AI-enabled cyber defense and the evolution of #cyber starting at 5P.  Be sure to stop by before tonight's reception!,en,Huntington Ingalls Industries
Tue Dec 03 19:27:56 +0000 2019,RT @SeapowerMag: The General Dynamics Electric Boat and HII contract allows approximately $455 million for the long-lead purchase of materi…,en,Huntington Ingalls Industries
Tue Dec 03 18:23:11 +0000 2019,"Jovon discusses our #augmentedreality Training Aid, Governor 2.0 at #IITSEC. Catch this demo again, Dec. 5 at 10A in booth #1612. https://t.co/6WVNrmcbX5",en,Huntington Ingalls Industries
Tue Dec 03 18:04:23 +0000 2019,"Mike Petters joined @SquawkAlley to discuss the new $20 billion contract to build new Virginia class submarines, and the christening of the newest aircraft carrier, John F. Kennedy (#CVN79) https://t.co/nUxrNiGDBt",en,Huntington Ingalls Industries
Tue Dec 03 17:46:25 +0000 2019,"RT @USNavy: ""[This] announcement affirms our commitment to the future strength of our nation, undersea and around the world."" -- acting @SE…",en,Huntington Ingalls Industries
Tue Dec 03 17:40:27 +0000 2019,#IITSEC coming up at 1PM in booth #1612 we’ll be talking about AR training aid for Naval Sea Systems Command. https://t.co/AMeBSW637U,en,Huntington Ingalls Industries
Tue Dec 03 16:30:17 +0000 2019,Get your copy of today's @IITSECshowdaily to check out our #seriousgaming ad and stop by booth #1612 to learn more about our training systems. Live demos and presentations start at 12PM!  #IITSEC https://t.co/pURlTNxR2I,en,Huntington Ingalls Industries
Tue Dec 03 14:03:05 +0000 2019,Today at #IITSEC we're showcasing how maintaining forward readiness and lethality is at the core of our MS&amp;T capabilities. Presentations kick off at 12PM with #Manned and #Unmanned Teaming Emulator (MUMT). Full schedule is attached. https://t.co/CXaCECuPxd,en,Huntington Ingalls Industries
Tue Dec 03 14:01:32 +0000 2019,"RT @USNINews: Navy Awards $22B Contract to Electric Boat, Newport News Shipbuilding for 9 Block V Virginia Subs - USNI News
https://t.co/T0…",en,Huntington Ingalls Industries
Tue Dec 03 14:01:06 +0000 2019,"RT @generaldynamics: General Dynamics was awarded the largest shipbuilding contract in Navy history. Together with partner builder 
@HIIndu…",en,Huntington Ingalls Industries
Mon Dec 02 21:40:08 +0000 2019,Virginia Congressman @BobbyScott stopped by and chatted with us about our #Unmanned undersea capabilities at #IITSEC. You should to! Visit us in booth #1612. https://t.co/MJVl0dKsdy,en,Huntington Ingalls Industries
Mon Dec 02 20:54:03 +0000 2019,#DYK a simultaneous location and measurement or SLAM uses a #laser to measure distances for #reconnaissance and other uses? Learn more in booth #1612 at #IITSEC! https://t.co/LQj60iMIiD,en,Huntington Ingalls Industries
Mon Dec 02 19:11:29 +0000 2019,Many thanks to @RepJackBergman for stopping by our #IITSEC booth! He explored our #virtualreality solutions and more with our BD team. https://t.co/J6gT3OWAjj,en,Huntington Ingalls Industries
Mon Dec 02 17:26:42 +0000 2019,We’re here at #IITSEC! Be sure to stop by our booth #1612 after 2PM ET to hear about our #security #interoperability and #readiness capabilities. https://t.co/DlIie7jycW,en,Huntington Ingalls Industries
