created_at,full_text,lang,user_name
Thu Dec 19 16:49:06 +0000 2019,"Halliburton employees and their families recently volunteered their time to give back to the community this holiday season, spending time with @buckner_intl, @BeAnAngelFund, @KidsMealsInc, and the @HoustonFoodBank! #HalliburtonHelps https://t.co/MAoLMRiSmi",en,Halliburton
Thu Dec 12 22:30:04 +0000 2019,"At Halliburton, enhancing the economic and social well-being of the communities in which we operate is among our most enduring principles. We are proud to be recognized in @Newsweek  and @StatistaCharts 2020 list of America’s Most Responsible Companies. https://t.co/RstXn0joKk",en,Halliburton
Wed Dec 11 19:47:25 +0000 2019,"RT @BeAnAngelFund: What a wonderful group!!
Halliburton came out to help Be an Angel unload 2 trailers with 5000 gifts for our special ange…",en,Halliburton
Thu Nov 21 14:15:46 +0000 2019,[PRODUCT ANNOUNCEMENT] Major operator will employ new Xtreme Single-Trip Multizone (XSTMZ) system to improve stimulation and gravel packing of long pay zones in Gulf of Mexico’s Lower Tertiary. Read more about this latest product launch &gt;&gt; https://t.co/lviTIDZYNd https://t.co/Xf0WMAssMN,en,Halliburton
Tue Nov 19 21:21:01 +0000 2019,"Just announced! HAL wins Best CEO and Best CFO for oil services &amp; equipment in the Institutional Investor Research 2020 All-America Executive Team! See the other categories we ranked on page 36: https://t.co/VUUVdTvATZ

@iimag  #aaet2020 #institutionalinvestor #investorrelations https://t.co/AISSHmehwf",en,Halliburton
Wed Nov 13 15:45:08 +0000 2019,"Halliburton Executive Vice President &amp; Chief Financial Officer, Lance Loeffler, receives 2019 Rising Star Award from The University of Texas at Austin – Red McCombs School of Business. Congratulations Lance! https://t.co/9lEPWnGVhi @UTMcCombsAlumni  @UTexasMcCombs @TexasLonghorns https://t.co/hH20eSi4I8",en,Halliburton
Mon Nov 11 14:08:14 +0000 2019,[PRODUCT ANNOUNCEMENT] Halliburton Releases New Imaging Technology to Identify Fracture Networks. Read the full announcement &gt;&gt; https://t.co/ufOp2FSpNF https://t.co/bddI2pkpTH,en,Halliburton
Thu Nov 07 12:00:12 +0000 2019,"[PRESS RELEASE] Halliburton Charity Golf Tournament raises $4.5 million for nonprofit organizations across the United States, the highest annual amount since the tournament first teed-off. Read full announcement &gt;&gt; https://t.co/ofX0dnMuBe https://t.co/oRwPwbYoYB",en,Halliburton
Wed Nov 06 21:14:41 +0000 2019,"Help us congratulate Jill Sharp, Halliburton vice president of finance, Western Hemisphere, on her recent induction into the @okstate Spears School of Business Hall of Fame. Congratulations, Jill! https://t.co/Sf7GpCRxcj",en,Halliburton
Mon Nov 04 15:52:58 +0000 2019,"[PRESS RELEASE] Halliburton becomes anchor member of the Advanced Remanufacturing and Technology Center, helping to drive technology innovation and collaboration across industries. Read the full announcement &gt;&gt; https://t.co/6i52X0lrLC https://t.co/TkUCfGTrSX",en,Halliburton
Wed Oct 30 15:36:06 +0000 2019,"In honor of #BreastCancerAwarenessMonth, Halliburton employees from around the world celebrated “Wear it Pink Day,” sharing photos and stories of their support in the fight against breast cancer. Share your photos and stories below! https://t.co/3lDudTPdgk",en,Halliburton
Tue Oct 29 18:04:18 +0000 2019,@TheOilCouncil Halliburton is proud to be a Gold Sponsor at the #MSGBC Basin Summit &amp; Exhibition!,en,Halliburton
Tue Oct 29 12:32:49 +0000 2019,Halliburton is proud to be a Gold Sponsor at the 15th Annual Women’s Global Leadership Conference – the largest women’s event in the energy industry. @WGLNetwork #WGLC2019 https://t.co/pvUmGH3zMU,en,Halliburton
Mon Oct 28 13:42:40 +0000 2019,"Halliburton and @Repsol  sign cloud data management agreement for exploration and production.  Read the full announcement &gt;&gt;
https://t.co/KjmDv8HlK9 https://t.co/XsJsIqyDfm",en,Halliburton
Fri Oct 18 20:50:48 +0000 2019,"Halliburton received four major awards at the @WorldOil  Awards 2019. Congratulations to the teams for winning awards for Best Drilling Technology, Best Exploration Technology, Best Well Intervention Technology, &amp; Best HSE/Sustainable Development – Onshore!https://t.co/aRLsj8RF0K https://t.co/1yKYqW3PTs",en,Halliburton
Tue Oct 08 13:34:01 +0000 2019,[PRESS RELEASE] Halliburton awarded license for gravel pack completions developed and licensed by @ExxonMobil Upstream Research Company. Read more &gt;&gt; https://t.co/YKf6P4FGA7 https://t.co/5LgwBPQqte,en,Halliburton
Mon Oct 07 16:32:36 +0000 2019,Halliburton is proud to have four women nominated as outstanding leaders in energy for the @HOUBizJournal 2019 Women Who Mean Business Awards. #HBJWWMB https://t.co/basggNaR6V https://t.co/DVUO6T96Ck,en,Halliburton
Tue Oct 01 10:12:05 +0000 2019,[PRESS RELEASE] PTTEP Selects Halliburton for Digital Transformation Contract. Read full announcement &gt;&gt; https://t.co/rmnZacZ4H4 https://t.co/QbibDGjowa,en,Halliburton
Mon Sep 30 13:17:41 +0000 2019,[PRODUCT ANNOUNCEMENT] Halliburton introduces automated telemetry service with quick and reliable data transmission enabling faster well delivery &gt;&gt; https://t.co/G0oMxm6nfj https://t.co/WPUdRb3E1i,en,Halliburton
Mon Sep 23 17:57:43 +0000 2019,"With a record number of nominations at this year’s Middle East #EnergyAwards, Halliburton was proud to take home awards for both Oilfield Services Company of the Year and Talent Development Initiative of the Year! https://t.co/xV5WB1UbEb https://t.co/edjB5Nw0zL",en,Halliburton
Mon Sep 23 17:57:16 +0000 2019,RT @OilandGas_ME: Congratulations to Halliburton and its Talent Development for MENA Programme for being highly commended in the Talent Dev…,en,Halliburton
Mon Sep 23 14:05:03 +0000 2019,[PRODUCT ANNOUNCEMENT] Halliburton Introduces New Electro-Mechanical Downhole Cutting Technology &gt;&gt; https://t.co/dq19LL6waS https://t.co/uL3f0D5VwC,en,Halliburton
Thu Sep 05 17:15:06 +0000 2019,"@Rigzone 2019 Ideal Employer Survey reveals Halliburton as world’s top oilfield service company. Read what Lawrence Pope, Halliburton’s chief HR officer, had to say about the achievement &gt;&gt;https://t.co/5U6UHGIN9D https://t.co/Qp2S4kcR9o",en,Halliburton
