created_at,full_text,lang,user_name
Thu Dec 19 21:42:53 +0000 2019,@ActuallyNPH Have a fun day! ❄️,en,Hasbro
Thu Dec 19 19:51:00 +0000 2019,"@labradorpup2001 Hi there, thanks for reaching out! Sadly this game is no longer in production and our inventory has been depleted. Have a fun day!",en,Hasbro
Thu Dec 19 19:22:41 +0000 2019,"@RuelGaviola ""The force is strong with this one"" - happy gaming!",en,Hasbro
Thu Dec 19 19:15:28 +0000 2019,"@serenitysky98 LOVE the pic! You can check for  updates here 👉 https://t.co/ng5BNVPd5g. ""May the Force Be With You""!",en,Hasbro
Thu Dec 19 18:52:04 +0000 2019,@scornthwaite83 We value your feedback and have shared this with our internal team. Have a fun day!,en,Hasbro
Thu Dec 19 18:00:00 +0000 2019,@jbcooler21 Thanks for the feedback! We've shared this with our internal team. Have a fun day!,en,Hasbro
Thu Dec 19 15:00:03 +0000 2019,"From all of us at Hasbro, Happy Holidays! May 2020 be filled with health and happiness for all! https://t.co/g8ldH5oA7i",en,Hasbro
Thu Dec 19 14:43:00 +0000 2019,"@BubbaBlue71 Hi CJ, we appreciate your son's interest! Feel free to check out our showcase of Rise of Skywalker and Mandalorian toys 👉 https://t.co/zLb44OG1Dm and 👉 https://t.co/tycPhTOxRk. May the Force Be With You!",en,Hasbro
Thu Dec 19 13:19:04 +0000 2019,@itweetdavie Happy gaming!,en,Hasbro
Thu Dec 19 13:18:00 +0000 2019,@toypixx LOVE the humor in this one! 😂,en,Hasbro
Wed Dec 18 20:51:14 +0000 2019,"RT @TSM: Who’s got the better aim, @TSM_Hamlinz or @TSM_Daequan?

Thanks to @Hasbro and the #Nerf Ultra One Blaster, we’re about to find ou…",en,Hasbro
Wed Dec 18 19:37:00 +0000 2019,@sandalsfdn Have a fun day!,en,Hasbro
Wed Dec 18 19:15:56 +0000 2019,"@CompeanConn Hi Julia, we'd love to settle this for you! Kindly send us a DM with the 12-digit UPC code from the box. This will help identify the exact edition you are playing. Happy gaming!",en,Hasbro
Wed Dec 18 16:57:32 +0000 2019,"@punkeymonkey529 Hi Alexandra, we appreciate your interest in the game! Please check for updates 👉 https://t.co/PSruGxBn4f. Have a fun day!",en,Hasbro
Wed Dec 18 16:51:51 +0000 2019,"@MrSlfDstruct So sorry to see this, Brandon! We'd love to help. Please send us a DM at your earliest convenience. Have a fun day!",en,Hasbro
Wed Dec 18 16:27:58 +0000 2019,"@JoeyPoint24 Hi Joey, thanks for reaching out! We'd love to help. Please send us a DM with the 12-digit UPC code from the box so that we can identify the exact game you're playing. Happy gaming!",en,Hasbro
Wed Dec 18 15:36:02 +0000 2019,"@DRob_24 @TheRealDFronz @yak_face @sandcrawlercast Hi Dante, we're happy to look into this! Please send us a DM with your order number as well as the email address on your order. Thanks!",en,Hasbro
Wed Dec 18 15:11:51 +0000 2019,"@ChrisAyala03 Hi Chris, your feedback has been noted and shared with our internal team. Have a fun day!",en,Hasbro
Wed Dec 18 14:52:31 +0000 2019,"#PlayDoh Slime Variety 6-Pack, Disney’s #Frozen2 Bop It - Olaf Edition, &amp; #Nerf Fortnite Sp-L Elite Dart Blaster were included on @RetailMeNot's ""15 Stocking Stuffers Under $15 for Kids"". View the full list here: https://t.co/Rdx8P7LjOP",en,Hasbro
Wed Dec 18 13:21:30 +0000 2019,@kewert420 May the Force Be With You!,en,Hasbro
Tue Dec 17 20:56:56 +0000 2019,@MedlockHeather Happy gaming!,en,Hasbro
Tue Dec 17 20:50:31 +0000 2019,@Sky17054801 This is great feedback! We have shared this with our internal team. Have a morphinominal day!,en,Hasbro
Tue Dec 17 20:48:23 +0000 2019,@toypixx LOVE it!,en,Hasbro
Tue Dec 17 20:33:32 +0000 2019,"@bknagel Yes, it's shipped to Canada! You can view it 👉 https://t.co/QnInEdS2pg. Have a fun day!",en,Hasbro
Tue Dec 17 20:29:00 +0000 2019,"@hansoloisbi Hi there, thanks for reaching out! We're happy to look into this. Please send us a DM with your order number as well as the email address on the account. Thanks for your patience!",en,Hasbro
Tue Dec 17 20:24:57 +0000 2019,"@ImThePoopDealer Oh no, Robbo! Which Monopoly game are you playing and on what platform?",en,Hasbro
Tue Dec 17 20:03:28 +0000 2019,@MannyCalavera12 Thanks for reaching out again! Kindly send us a DM with your order number as well as the email address on the order.,en,Hasbro
Tue Dec 17 19:20:53 +0000 2019,@MtyMrphinJustin This is morphinominal!,en,Hasbro
