created_at,full_text,lang,user_name
Thu Dec 19 21:30:06 +0000 2019,"To reduce patient out-of-pocket costs for pharmaceuticals, our nation must prioritize the evolution of benefit design. Learn more from our Chairman, President and CEO, Steve Collis: https://t.co/OPhkleMvYV",en,AmerisourceBergen
Thu Dec 19 15:35:05 +0000 2019,"Going beyond working with animals, @NationalFFA, @searchdogfdn and @k9p4p all are committed to improving both human and animal health. Congratulations to all on receiving an Animal Health grant from the AmerisourceBergen Foundation. https://t.co/Fd5fb2JQXd https://t.co/ZwvTprw4ef",en,AmerisourceBergen
Thu Dec 19 00:20:21 +0000 2019,RT @familyreach: Thank you to @TheDoctors for having us and @Healthcare_ABC for making this incredible opportunity possible! Find out how w…,en,AmerisourceBergen
Wed Dec 18 16:01:25 +0000 2019,AmerisourceBergen’s Rick Lozano tells @OnBiosimilars why 2019 was a historic year for the #biosimilar channel and how 2020 will bring in a new era of competition and access for the market. Read the full article here: https://t.co/AYZW9Lipt7 https://t.co/0cVICoQcYE,en,AmerisourceBergen
Tue Dec 17 19:35:04 +0000 2019,"1 out of 3 families dealing with pediatric cancer will experience a major financial hardship. In an episode of @TheDoctors, a family discusses the financial burden and how grant they received from The AmerisourceBergen Foundation helped alleviate expenses. https://t.co/xpudyFFYXd",en,AmerisourceBergen
Tue Dec 17 17:15:09 +0000 2019,"A new year means new benefits, and navigating the benefits coverage landscape as a patient can be difficult. @lashgroup VP of Strategic Projects and Shared Services, Barbara Whitten provides insight on the annual reverification process. https://t.co/wzkxxOM9HK https://t.co/UZMZ9Ds6sh",en,AmerisourceBergen
Mon Dec 16 17:05:05 +0000 2019,"Leslie Donato, Chief Strategy Officer at AmerisourceBergen, discusses with @FiercePharma her vision for the future and how we are utilizing a breadth of innovative solutions to bring value to our customers every day. https://t.co/28rqBpbCLj",en,AmerisourceBergen
Fri Dec 13 20:20:09 +0000 2019,The FormularyDecisions platform from @Xcenda was recognized as one of 2019’s most innovative services helping to push healthcare forward. Read more from @PM360online. https://t.co/bq2LNXjwhP,en,AmerisourceBergen
Fri Dec 13 16:20:06 +0000 2019,"Our associates volunteered their time at @AmericanCancer AstraZeneca Hope Lodge, where they cleaned common areas and organized the kitchen space. Thank you to all who volunteered their time to help the community. https://t.co/jZJWBt61gw",en,AmerisourceBergen
Thu Dec 12 20:20:07 +0000 2019,"At AmerisourceBergen, we work to get medications from manufacturers to patients in the most efficient way possible. Learn about the many hats a distributor wears &amp; the critical role we play in maintaining the integrity of today's closed-loop supply chain. https://t.co/Ob1o6c4LHq https://t.co/R8pbEjf0GQ",en,AmerisourceBergen
Thu Dec 12 19:52:50 +0000 2019,"RT @Xcenda: We're very honored to be recognized as ""Audience Favorite"" in Part II of the 1st Annual HE Innovation Webinar Series! Thank you…",en,AmerisourceBergen
Thu Dec 12 16:50:06 +0000 2019,"Our business may often seem on the go, but our commitment to transportation efficiency never stops. Learn some of the ways we work with businesses to reduce fuel costs and greenhouse emissions. #HealthierFutures https://t.co/S0UYzTzGqk https://t.co/FWVKk0y9Pi",en,AmerisourceBergen
