created_at,full_text,lang,user_name
Thu Dec 12 16:55:02 +0000 2019,"#HardworkingAndProud for almost 100 years, and we're just getting started. #HP100Years https://t.co/O9tVAB3xeJ",en,Helmerich & Payne
Mon Dec 09 16:47:04 +0000 2019,Good morning from Rig 516! Thank you to William Nicholson for the great sunrise photo. #HPViews https://t.co/bCBeyVNuxw,en,Helmerich & Payne
Thu Dec 05 19:06:02 +0000 2019,📍 Rig 519 in West Virginia #HPViews https://t.co/4cXuqSPzQY,en,Helmerich & Payne
Tue Dec 03 18:22:01 +0000 2019,#WinterIsComing which means it's time for everyone to bundle up and stay aware of cold weather exposures. #ActivelyCARE https://t.co/1bkgIJVKOA,en,Helmerich & Payne
Thu Nov 28 16:12:07 +0000 2019,"Today and every day, we are thankful for our employees who keep H&amp;P turning to the right 24/7. From our family to yours, Happy Thanksgiving! https://t.co/iCZyv1acr4",en,Helmerich & Payne
Mon Nov 25 20:18:39 +0000 2019,"According to AAA, 49.3 million drivers will be on the road this Thanksgiving. Make sure you buckle up, and avoid fatigued and distracted driving. #DriveSafe #ActivelyCARE https://t.co/NrKWe8ipUX",en,Helmerich & Payne
Thu Nov 21 16:00:09 +0000 2019,Did you know that H&amp;P will be celebrating our 100-year anniversary in 2020? Here's a #TBT of the team at Rig 97. #HP100Years https://t.co/FMaE2a9DPp,en,Helmerich & Payne
Thu Nov 14 19:08:03 +0000 2019,"Congrats to Amy Dean, Data Delivery and Analytics Manager, who recently received a Doing Good award from @TulsaPeople. We are proud of the difference you make in the Tulsa community and at H&amp;P! Read more: https://t.co/EXcSeGYtUe https://t.co/xKkuD5vYkX",en,Helmerich & Payne
Tue Nov 12 19:33:19 +0000 2019,Check out our H&amp;P team at @ADIPECOfficial! Make sure to stop by Stand 6210 this week to learn about our experience and offerings for the Middle East. https://t.co/YwSAhcDgcX,en,Helmerich & Payne
Mon Nov 11 18:40:33 +0000 2019,"Thank you to the brave men and women who have served, who are serving and who will serve. #VeteransDay https://t.co/Dx87dmN3OK",en,Helmerich & Payne
Wed Nov 06 19:52:38 +0000 2019,In a Texas state of mind today at Rig 384. #HPviews https://t.co/yiOk13v1Ja,en,Helmerich & Payne
Fri Nov 01 22:55:30 +0000 2019,"A pie-in-the-face for a good cause! We wrapped up our annual @tulsaunitedway  campaign, and we are proud of our employees for Actively Caring for the Tulsa community. https://t.co/mG2HCaxV0X",en,Helmerich & Payne
Thu Oct 31 16:09:06 +0000 2019,Check out this spooky and BOO-tiful picture of Rig 475 in East Texas. Wishing our followers a safe and happy Halloween! https://t.co/1OMjaTAP0n,en,Helmerich & Payne
Thu Oct 24 16:33:15 +0000 2019,📍 Rig 456 in North Dakota https://t.co/F6F8clXqsB,cy,Helmerich & Payne
Fri Oct 11 18:28:04 +0000 2019,"Congratulations to Cara Hair, our VP of Corporate Services, for being named one of the @JournalRecord Fifty Making a Difference! This event spotlights female business and community leaders in Oklahoma, and we are very proud to have Cara’s leadership here at H&amp;P. https://t.co/MaBZX1cDRa",en,Helmerich & Payne
Tue Oct 08 20:58:17 +0000 2019,One of the most critical exposures workers in the oilfield face is the drive to and from the rig. Hear from H&amp;P’s employees about why they choose to #DriveSafe. Full video: https://t.co/ViEt8sJBuB https://t.co/72RM4j0ICH,en,Helmerich & Payne
Fri Oct 04 21:48:02 +0000 2019,Deep in the ❤️ of South Texas. #HPriglife https://t.co/V6E4u0dHRx,en,Helmerich & Payne
Tue Oct 01 17:13:03 +0000 2019,H&amp;P Technologies’ Bill Chmela and Marc Willerth are ready to speak to you today about directional drilling automation at #ATCE2019. Stop by booth 1640 at 1 PM and 1:30 PM to learn more! https://t.co/nmHpBDca9q,en,Helmerich & Payne
Sun Sep 29 23:10:01 +0000 2019,"#ATCE2019 starts tomorrow and our team is excited to present the latest advancements in well placement, directional drilling and more! Check out the schedule below to hear presentations from our own industry experts in booth 1640. https://t.co/1ESpalUHHP",en,Helmerich & Payne
Thu Sep 26 13:30:03 +0000 2019,Headed to @SPEtweets' #ATCE2019 next week? H&amp;P Technologies will be at booth 1640 presenting the latest advancements in the drilling technology industry. https://t.co/rpZnCEEKTU,en,Helmerich & Payne
Wed Sep 25 18:08:58 +0000 2019,"What goes together better than long drives and country music? We are proud to debut H&amp;P’s new #DriveSafe music video, which reminds us how everyone can be aware of the exposures we face while driving. #ActivelyCARE [Full Video: https://t.co/iUH27D6o03] https://t.co/dqFFyVLOV4",en,Helmerich & Payne
Fri Sep 20 20:52:50 +0000 2019,"Yesterday, CEO John Lindsay spoke to the YPE Tulsa group about current industry realities and the future we want to build together. https://t.co/kDackEWfO8",en,Helmerich & Payne
Thu Sep 19 13:49:01 +0000 2019,It's a beautiful day to Actively C.A.R.E. #safetyfirst https://t.co/rzUPLEbV3B,en,Helmerich & Payne
Wed Sep 18 20:51:05 +0000 2019,"Lights… Camera… Action! This summer, our employees participated in a new music video as part of our Safe Driving campaign. Stay tuned for the premiere next week! #DriveSafe #ActivelyCARE https://t.co/n6QJNyfz7h",en,Helmerich & Payne
Fri Sep 13 20:40:26 +0000 2019,Last Friday more than 170 H&amp;P employees participated in the @tulsaunitedway  #TulsaDayofCaring at @ANewLeafInc  and @YMCATulsa!  We're proud to #ActivelyCARE for the Tulsa community. https://t.co/9IGRpdrAkb,en,Helmerich & Payne
Wed Sep 11 18:40:02 +0000 2019,#NeverForget https://t.co/MKRpvyjjWi,und,Helmerich & Payne
Mon Sep 09 18:03:01 +0000 2019,"Our people, our strength 💪 #HardworkingAndProud #WTX #Rig551 https://t.co/Qgrixl1StM",en,Helmerich & Payne
Mon Sep 02 18:45:02 +0000 2019,"Happy Labor Day! At H&amp;P, we celebrate the hard work and dedication of our people today and every day. #LaborDay #HardworkingAndProud https://t.co/8tWJ7i6mNL",en,Helmerich & Payne
Thu Aug 29 16:27:09 +0000 2019,Beautiful day in South Texas on H&amp;P Rig 384 #HPriglife https://t.co/Inwf3fj7Nw,en,Helmerich & Payne
Wed Aug 21 20:34:35 +0000 2019,"Today, H&amp;P announced its H&amp;P Technologies group has acquired DrillScan, a leading provider of proprietary drilling engineering software, well engineering services and training to its suite of technology solutions. https://t.co/uvkZRE0vTi",en,Helmerich & Payne
Mon Aug 12 17:40:03 +0000 2019,"Our people are the foundation of our company. We are committed to ensuring H&amp;P careers are rewarding, both personally and professionally. Join our team today! #HardworkingAndProud https://t.co/fKv7sg4h5x",en,Helmerich & Payne
Mon Aug 05 12:10:01 +0000 2019,Good morning from our Houston Rig Up Yard. Photo courtesy: Craigan Wild https://t.co/6RPURVJXjp,en,Helmerich & Payne
Mon Aug 05 03:47:13 +0000 2019,@ArmyAngel79 @mikevolpe @TomPorterDC @Servicewomen @ProtectRDfnders @EpicWomenVets @iava We appreciate you bringing this to our attention. Jon is not an H&amp;P employee but we take these matters very seriously. H&amp;P is committed to a work environment in which all individuals are treated with respect and dignity; his behavior does not reflect our core values. -hj,en,Helmerich & Payne
Thu Aug 01 15:55:02 +0000 2019,Happy #ColoradoDay to our hard-working employees in the Centennial State! #HardworkingAndProud https://t.co/vv55EbXrvM,en,Helmerich & Payne
Thu Jul 25 18:32:40 +0000 2019,Happy #NationalInternDay! We're proud to have such hardworking interns both in the field and in the office. #HardworkingAndProud #TheHPWay https://t.co/BpTVlNTZyc,en,Helmerich & Payne
Thu Jul 25 00:20:01 +0000 2019,Another beautiful sunset from Rig 382 in West Texas. 📸 : Carl Cacsio #HPViews #HPRigLife https://t.co/qP6sBPZf1L,en,Helmerich & Payne
Thu Jul 18 20:46:03 +0000 2019,"Check out that rainbow over Rig 230 in Argentina!  #HPViews #HPRigLife
📸: Carlos Palermo https://t.co/yEmOgF8OIk",en,Helmerich & Payne
Wed Jul 17 15:02:47 +0000 2019,"Happy #WorldEmojiDay! At H&amp;P, we have been turning to the ➡️ for almost 💯 years. Our 👨 👩, our 💪. #HardworkingAndProud https://t.co/iyTJMCSngy",en,Helmerich & Payne
Thu Jul 11 13:09:01 +0000 2019,"Driving safe at work, on the road and at home. #HPriglife #safetyfirst #safedriving https://t.co/9ZseYKLLJd",en,Helmerich & Payne
Sun Jul 07 23:16:01 +0000 2019,We're #HardworkingAndProud every day of the week. #weekendwarriors https://t.co/MzK43WpNXW,en,Helmerich & Payne
Thu Jul 04 11:42:01 +0000 2019,"A big thank you to our team members who are working today, we are grateful for you! Happy 4th of July. #Freedom #IndependenceDay #HardworkingAndProud https://t.co/h9ghvMf0h6",en,Helmerich & Payne
