created_at,full_text,lang,user_name
Thu Dec 19 14:00:00 +0000 2019,"Our head of grocery, Marlene Creighton explains the ins and outs of shopper insights that can help retailers increase trips and build baskets. https://t.co/bBEYpZBeXb",en,The Hershey Company
Wed Dec 18 16:07:34 +0000 2019,"We have a strong, talented and proven leadership team in place to hit the ground running and are confident in our 2020 plans. - Michele Buck, Chairman, President and CEO, The Hershey Company https://t.co/sLBWTFu7aq https://t.co/SdlH7p8dnN",en,The Hershey Company
Wed Dec 18 14:49:45 +0000 2019,"For the sixth consecutive year, Hershey led @Kantar's Top 10 Under $10B. Retailers viewed Hershey as a thought leader, not only for the manufacturer’s own diverse portfolio, but for the entire retail space. https://t.co/3OW1HrjEfh",en,The Hershey Company
Wed Dec 18 07:58:54 +0000 2019,@Lady_Kizzmia Yikes! Please send us a DM with the UPC and manufacturing code on the wrapper.,en,The Hershey Company
Tue Dec 17 20:59:52 +0000 2019,"Thanks to our 400+ #HWPActionGrant applicants! One of our winners from Winter Park High School, FL plans to host a Cultural Heritage Festival to celebrate #diversity. We are proud to support teens nationwide who are taking action to create connection &amp; inclusion. #stand4good https://t.co/LBVoo1q0CS",en,The Hershey Company
Tue Dec 17 20:06:13 +0000 2019,"Mentors are coaches, truth-tellers and cheerleaders. Hear from Kristen Riggs, a leader in Hershey's U.S. business unit, about how her mentors have left their imprint on her. #HERshey https://t.co/HPOEDxRRVo",en,The Hershey Company
Mon Dec 16 13:51:43 +0000 2019,How do you adjust your media mix to reach audiences disconnected from traditional TV? Our @vinny_rinaldi3 shares in this article from @ThinkwithGoogle. https://t.co/n5pDRM0yB7,en,The Hershey Company
Fri Dec 13 13:57:42 +0000 2019,Our Charlie Chappell joins @AlexRagir to talk all things media on The Rough Cut. https://t.co/0Yv8iv6TbN,en,The Hershey Company
Thu Dec 12 19:49:15 +0000 2019,We’re honored to be recognized by @pgrocer for having “vision that extends beyond traditional aisles” when it comes to category management. https://t.co/NoUjpoAuww,en,The Hershey Company
Tue Dec 10 13:43:00 +0000 2019,Honoring @UN #HumanRightsDay today and every day. We’re committed to an ethical value chain in our communities and yours. https://t.co/DfTxonWJa0 https://t.co/MGdsAaDiQV,en,The Hershey Company
Tue Dec 10 08:43:47 +0000 2019,"@scquid Hi Pete! We're sorry to say this product is no longer available, but we'll certainly add your vote to bring it back!",en,The Hershey Company
Mon Dec 09 16:18:33 +0000 2019,@bgladden Hey Brett! DM us with your zip code and we will try to track them down for you.,en,The Hershey Company
Fri Dec 06 14:01:52 +0000 2019,"We learned a lot, working closely with @VeriteNews; read more to learn about the approach we took to further understand human rights risks in our value chain.
(Link to https://t.co/NRx74aeuV1) https://t.co/nsdV6j7mv9",en,The Hershey Company
Wed Dec 04 03:41:36 +0000 2019,"@ThomeneG They are hitting store shelves as we speak, so do keep an eye out!",en,The Hershey Company
Mon Nov 25 01:00:49 +0000 2019,"@_tif_ While they aren't available at this time, we will add your vote for their return!",en,The Hershey Company
Tue Nov 19 03:17:00 +0000 2019,"@br0ther06 Hey, we're glad you remember our PAYDAY Chocolatey AVALANCHE Bar! We'll certainly add your vote to bring it back!",en,The Hershey Company
Tue Nov 12 15:40:00 +0000 2019,So proud to have @Forbes name us as a Just 100 company! We’re honored to be recognized among other leading companies for our commitment to our employees and the environment. https://t.co/wmmdY8MkPk,en,The Hershey Company
Tue Nov 12 04:04:39 +0000 2019,@e_backstrom Hi Erik! We want our flavors to stay consistent throughout the shelf life of the product and therefore special barriers are required which might impact the recyclability. But we are always looking for better ways to package. Thanks for your feedback!,en,The Hershey Company
Mon Nov 11 21:10:23 +0000 2019,"@ocon_man We are sorry to see this. If possible, please send us a DM with the UPC and manufacturing code, as well as your contact information.",en,The Hershey Company
Thu Oct 31 20:50:54 +0000 2019,"We’re so thankful that you allow us to be part of your moments of goodness, and hope that you all have a safe and happy #Halloween! https://t.co/KutFRwisuV",en,The Hershey Company
Wed Oct 30 15:47:56 +0000 2019,"See how #geotargeting brings together teams in retail, marketing, sales and media to align, collaborate and ultimately, deliver business results. https://t.co/uqfsd2fDvz https://t.co/sAo2Xikirb",en,The Hershey Company
Wed Oct 30 03:41:10 +0000 2019,@mensaghic Hi Chris! Ingredients and recipe may vary depending on where the product was manufactured. We'll certainly share your feedback with our team!,en,The Hershey Company
Wed Oct 30 03:36:55 +0000 2019,"@DocChills Thanks, Paul! Could you please send us a DM with your full name and mailing address?",en,The Hershey Company
