created_at,full_text,lang,user_name
Thu Dec 19 21:36:44 +0000 2019,RT @Applegate: Live Bacon Yule Log https://t.co/vDWQ4T88PB,en,Hormel Foods
Thu Dec 19 20:53:21 +0000 2019,RT @RavensCommunity: The season of giving is in full effect! The @Ravens joined forces with @Safeway and @HormelFoods this morning to donat…,en,Hormel Foods
Thu Dec 19 19:54:36 +0000 2019,"RT @Skippy: Give the gift that everyone will love, SKIPPY® PB Bites! https://t.co/b5M0U2Ly94 https://t.co/UxqKszBJRJ",en,Hormel Foods
Thu Dec 19 01:31:39 +0000 2019,Thank you to everyone who helped to distribute HORMEL®️ CURE 81®️Hams to fight hunger in our communities tonight! #HamsForHunger https://t.co/D0Bj5RH4BH,en,Hormel Foods
Wed Dec 18 22:01:28 +0000 2019,Crack open a hearty meal made for the outdoors - DINTY MOORE® stew: https://t.co/4ad5mfGmSN https://t.co/K7qwcjdGGh,en,Hormel Foods
Wed Dec 18 17:21:54 +0000 2019,Our team members in Austin collected hundreds of toys to donate to the The Salvation Army this year to help children in our hometown have a joyous holiday celebration: https://t.co/61J5vXLRDm https://t.co/QW2GYY799n,en,Hormel Foods
Tue Dec 17 22:59:21 +0000 2019,"We partnered with Albertsons &amp; Safeway to donate more than 1,000 HORMEL® CURE 81® Hams and 12,000 jars of @Skippy Peanut Butter to the Society of St. Vincent de Paul in Phoenix: https://t.co/eFCVFMVpOh https://t.co/4enh6QnWef",en,Hormel Foods
Tue Dec 17 16:06:55 +0000 2019,"@gatorwood Thank you for the feedback, I'll pass your comment over to our bacon brand managers. I'd also like to find out a little more. Please send a message. https://t.co/vjn1PhMEYt",en,Hormel Foods
Tue Dec 17 15:32:50 +0000 2019,"@FrugalLivingBC I'm sorry about that chili Jackie. Sounds like it may have been filled incorrectly. Please send a message, I'd like to report this to our QC team and help make up for this. https://t.co/vjn1PhMEYt",en,Hormel Foods
Tue Dec 17 14:04:22 +0000 2019,"This year we had our 5th consecutive year of record @SPAMbrand sales, @CNBC digs into why this 82 year old brand continues to gain popularity across geographies &amp; generations: https://t.co/ndovDRoRgx",en,Hormel Foods
Mon Dec 16 23:08:54 +0000 2019,RT @HormelChili: Looking for a last-minute holiday gift for the football fan in your life? Bidding on @athielen19's one-of-a-kind #Thursday…,en,Hormel Foods
Mon Dec 16 20:14:45 +0000 2019,"RT @SPAMbrand: What are three words every taste bud wants to hear? 

Adobo SPAM® Musubi: https://t.co/HW7HEvkNEV #MusubiMonday https://t.co…",en,Hormel Foods
Mon Dec 16 18:18:31 +0000 2019,"Salsa brings a vibrant flavor blast to everything it touches. Insider asked 10 chefs for their favorite store-bought salsas, @CHICHISBrand mild chunky &amp; fiesta-style smoky chipotle salsas and @HerdezBrand salsa verde came highly recommended: https://t.co/AWrFvXN9KH https://t.co/bMF1nO7RlC",en,Hormel Foods
Mon Dec 16 00:30:10 +0000 2019,ICYMI: This week we held a Flip the Switch event to celebrate the completion of a new solar array at Swiss American Sausage Company. The array will supply more than 15 percent of the plant’s annual electricity consumption: https://t.co/vs55W6MKyY https://t.co/2lBpgDJAYd,en,Hormel Foods
Sun Dec 15 18:34:18 +0000 2019,"“Our value-added solutions offer solutions that are convenient and still taste great and give consumers the ability to eliminate all the prep and still bring a delicious meal to the table.""

More from Megan Ward, brand manager in our Deli Solutions group: https://t.co/mkRVNQKLTA https://t.co/IECLQeJis8",en,Hormel Foods
Sat Dec 14 21:49:16 +0000 2019,"@nitrodanielle I'm sorry to see that Dani. Can you send a DM with the  barcode, use by date and production coding? I want to get this reported to our Quality Control team. Please also send your name and mailing address. I’ll get some coupons out in the mail to help make up for this experience.",en,Hormel Foods
Sat Dec 14 21:48:03 +0000 2019,"@briansob @HormelChili @Walmart I'm sorry to see that Brian. Can you send a DM of the barcode, use by date &amp; production coding? I want to get this reported to QC. Please also send your name and mailing address. I’ll get some coupons out in the mail to help make up for this experience.",en,Hormel Foods
Sat Dec 14 18:46:47 +0000 2019,RT @Jennieo: Take the stress out of entertaining this holiday season! A JENNIE-O® OVEN READY™ Whole Turkey or Turkey Breast is ready in no…,en,Hormel Foods
Fri Dec 13 22:38:25 +0000 2019,RT @HormelPepperoni: Get into the spirit of the season the most delicious way possible! https://t.co/Bxk1ZvDVyV https://t.co/AeN6etsvBW,en,Hormel Foods
Fri Dec 13 15:49:15 +0000 2019,"RT @ConvoyofHope: Convoy of Hope is partnering with @HormelFoods and #Cure81 this holiday season to raise $100,000 to feed kids around the…",en,Hormel Foods
Fri Dec 13 00:06:46 +0000 2019,RT @HyVee: Looking for an easy-to-make holiday treat? Pick up SKIPPY® peanut butter at Hy-Vee and create these Peanut Butter Cheesecake Par…,en,Hormel Foods
Thu Dec 12 23:13:06 +0000 2019,"During Colorado Gives Day, @Skippy &amp; @Safeway donated more than 2,900 jars of peanut butter to the @CareandShareFB to help fight hunger: https://t.co/is3gQTOaLD https://t.co/s2fTE6I9Bi",en,Hormel Foods
Wed Dec 11 21:59:24 +0000 2019,RT @SUNSHINE_DIV: We were at the beautifully remodeled @safeway Sunnyside store in Clackamas this morning to receive 731 donated hams from…,en,Hormel Foods
Wed Dec 11 21:58:53 +0000 2019,"@CplMonkeyshines That is not at all what we would expect. Please send a message, I'd like to help make up for that chili.
https://t.co/vjn1PhMEYt",en,Hormel Foods
Wed Dec 11 17:33:31 +0000 2019,@melodytravels That's SPAMtastic!,en,Hormel Foods
Wed Dec 11 17:32:22 +0000 2019,@taznjade @SwayWithSway Thank you so much for joining us today!,en,Hormel Foods
Wed Dec 11 17:31:24 +0000 2019,@SwayWithSway Thank you all so much! Keep those #HamsforHunger tweets coming all month.,en,Hormel Foods
Wed Dec 11 17:30:31 +0000 2019,@McK3lly @SwayWithSway Thanks for joining the party!,en,Hormel Foods
Wed Dec 11 17:29:24 +0000 2019,@mommy3sons @SwayWithSway @ConvoyofHope Thanks for the support Kim! #HamsForHunger,en,Hormel Foods
Wed Dec 11 17:29:16 +0000 2019,@SwayWithSway @taznjade Congratulations Jolene!,en,Hormel Foods
Wed Dec 11 17:28:52 +0000 2019,@SwayWithSway @McK3lly Congratulations Kelly!,en,Hormel Foods
Wed Dec 11 17:28:32 +0000 2019,@CJsMom10 @SwayWithSway You must be too! Thanks for supporting #HamsForHunger,en,Hormel Foods
Wed Dec 11 17:27:30 +0000 2019,@KatelynnPinson @SwayWithSway Thank you for joining us today Katelynn!,en,Hormel Foods
Wed Dec 11 17:26:37 +0000 2019,@rychepet @SwayWithSway Nice!,en,Hormel Foods
Wed Dec 11 17:25:33 +0000 2019,@donnelly_jess @ConvoyofHope @SwayWithSway @taznjade Ha! As soon as we're done that's our plan.,en,Hormel Foods
Wed Dec 11 17:25:28 +0000 2019,"@melodytravels No, unfortunately that's not one of ours. 
We agree😉",en,Hormel Foods
Wed Dec 11 17:24:34 +0000 2019,@rychepet @SwayWithSway @ConvoyofHope Thanks for joining us Toni!,en,Hormel Foods
Wed Dec 11 17:23:05 +0000 2019,@Southern_Mommas Thank you Lauren!,en,Hormel Foods
Wed Dec 11 17:20:58 +0000 2019,@paulabendfeldt Love this!,en,Hormel Foods
Wed Dec 11 17:18:17 +0000 2019,@meowpar85 @SwayWithSway As do you! 🙌,en,Hormel Foods
Wed Dec 11 17:16:59 +0000 2019,@supermomster11 @SwayWithSway 🙌,und,Hormel Foods
Wed Dec 11 17:16:20 +0000 2019,@CJsMom10 @DadHuggs @YesMomCanDoIt @SwayWithSway @ConvoyofHope Perfect time for a ham sandwich!,en,Hormel Foods
Wed Dec 11 17:15:26 +0000 2019,@KatrinaFol35 @JamieJamiemay @gingercasa1 @SwayWithSway @hormel Yum is right! Getting hungry ourselves!,en,Hormel Foods
Wed Dec 11 17:14:14 +0000 2019,@MomSquadToo @SwayWithSway @ConvoyofHope We couldn't do it without your support. Thanks for sharing!,en,Hormel Foods
Wed Dec 11 17:13:12 +0000 2019,@sweetmatcha @SwayWithSway Time for a delicious ham sandwich!?,en,Hormel Foods
Wed Dec 11 17:11:54 +0000 2019,@CassieLamonaca @SwayWithSway @DadHuggs @ConvoyofHope Festive &amp; flavorful! Thanks for being a fan Casandra!,en,Hormel Foods
Wed Dec 11 17:11:09 +0000 2019,@SavvyMomNYC @ConvoyofHope @SwayWithSway That's an awesome tradition @SavvyMomNYC!,en,Hormel Foods
Wed Dec 11 17:10:33 +0000 2019,@CJsMom10 @McK3lly @SwayWithSway @ConvoyofHope We are 128-years young!,en,Hormel Foods
Wed Dec 11 17:10:26 +0000 2019,@Tuckers2ndMom @SwayWithSway @ConvoyofHope Glad to have you join us today!,en,Hormel Foods
Wed Dec 11 17:09:52 +0000 2019,@BethDimauro @SwayWithSway @ConvoyofHope Glad to have you Beth!,en,Hormel Foods
Wed Dec 11 17:07:54 +0000 2019,@iamthemaven @SwayWithSway @DadHuggs @ConvoyofHope Today would be a great day for some stew!,en,Hormel Foods
Wed Dec 11 17:07:36 +0000 2019,@Southern_Mommas @SwayWithSway @ConvoyofHope Thank you!,en,Hormel Foods
Wed Dec 11 17:07:24 +0000 2019,"@Southern_Mommas @SwayWithSway @ConvoyofHope Oh, you're making us blush! Thanks Lauren.",en,Hormel Foods
Wed Dec 11 17:07:20 +0000 2019,@rychepet @ConvoyofHope @SwayWithSway Thanks Toni!,en,Hormel Foods
Wed Dec 11 17:06:30 +0000 2019,@Southern_Mommas @SwayWithSway @DadHuggs @ConvoyofHope We are doing this chat during lunch for a reason:),en,Hormel Foods
Wed Dec 11 17:05:23 +0000 2019,@acesmommia @SwayWithSway @ConvoyofHope Doesn't get much easier! Thanks for sharing!,en,Hormel Foods
Wed Dec 11 17:04:49 +0000 2019,@Southern_Mommas @SwayWithSway @ConvoyofHope Why stop there?!,en,Hormel Foods
Wed Dec 11 17:04:12 +0000 2019,"RT @ConvoyofHope: @HormelFoods is an incredible partner of Convoy of Hope, and this holiday season, they're donating $10 (up to $100k) for…",en,Hormel Foods
Wed Dec 11 17:04:02 +0000 2019,@supermomster11 @SwayWithSway @ConvoyofHope Thanks for joining us!,en,Hormel Foods
Wed Dec 11 17:03:42 +0000 2019,@stephan94848598 @SwayWithSway @ConvoyofHope 🥓💯,und,Hormel Foods
Wed Dec 11 17:03:23 +0000 2019,RT @SwayWithSway: Make the holidays golden this year by helping @HormelFoods donate $10 for every #HamsforHunger Tweet and Retweet (up to $…,en,Hormel Foods
Wed Dec 11 17:03:05 +0000 2019,@melodytravels @CJsMom10 @SwayWithSway @ConvoyofHope We're here!,en,Hormel Foods
Wed Dec 11 17:02:59 +0000 2019,@iamthemaven @Southern_Mommas @SwayWithSway @ConvoyofHope 🤷‍♂️,und,Hormel Foods
Wed Dec 11 17:02:23 +0000 2019,@chs93dlj @SwayWithSway @ConvoyofHope Hello!,en,Hormel Foods
Wed Dec 11 17:02:09 +0000 2019,@lilyandlucasj Welcome back!,en,Hormel Foods
Wed Dec 11 17:01:23 +0000 2019,@DadHuggs @SwayWithSway @ConvoyofHope What's your favorite product Stevie?,en,Hormel Foods
Wed Dec 11 16:57:47 +0000 2019,@ruralmoms @SavvyMomNYC @ConvoyofHope Three minutes to go!,en,Hormel Foods
Wed Dec 11 16:46:37 +0000 2019,@MomLuvsSPORTZ @SwayWithSway @ConvoyofHope Let's make it happen!,en,Hormel Foods
Wed Dec 11 16:41:48 +0000 2019,@goblinkinglbOG @paulabendfeldt @ConvoyofHope We are too!,en,Hormel Foods
Wed Dec 11 16:38:42 +0000 2019,@donnelly_jess @SwayWithSway @ConvoyofHope That's a great idea Jessica!,en,Hormel Foods
Wed Dec 11 15:55:02 +0000 2019,@TH0R1N1 Usually when we discontinue a product it is due to sales. I'll let our brand teams know you were disappointed by the news.,en,Hormel Foods
Wed Dec 11 15:52:35 +0000 2019,@raylene056 We can help with that too! If you send a DM with your zip code I'll see what stores in your area are ordering the pepperoni sticks.,en,Hormel Foods
Wed Dec 11 15:30:15 +0000 2019,"We celebrated the completion of a new solar array at our Swiss American Sausage Company facility in Lathrop, Calif., yesterday with a Flip the Switch event: https://t.co/0xu9kn8Oc8 https://t.co/ttHTKcCXvz",en,Hormel Foods
Wed Dec 11 00:00:13 +0000 2019,"Did you know almonds are not self-pollinating? They require cross-pollination between different varieties, which require pollinators to become the almonds we love. 

Learn more about this critical element of our food supply &amp; what you can do to help: https://t.co/2giJAAyBb7 https://t.co/zi6ideQafm",en,Hormel Foods
Tue Dec 10 19:44:58 +0000 2019,"RT @SPAMbrand: From coast to coast, SPAM® classic is being incorporated into more and more restaurant menus. See how @noreetuh in NYC is br…",en,Hormel Foods
Tue Dec 10 01:52:25 +0000 2019,"@raylene056 No, they are shelf-stable.",en,Hormel Foods
Tue Dec 10 01:50:19 +0000 2019,"@raylene056 We have a variety of stix &amp; bites products in pepperoni, salami &amp; turkey pepperoni that you may enjoy: https://t.co/y7V8P1reRZ",en,Hormel Foods
Tue Dec 10 01:44:05 +0000 2019,"@raylene056 Hi Rayray, 
Is there a particular product you're interested in? We have single serve options for many of our brands.",en,Hormel Foods
Tue Dec 10 01:42:19 +0000 2019,"@Rykimj Hi, could you send us a DM with more info? I'd like to see the package barcode, production coding &amp; expiration date so I can get your experience reported to QC.",en,Hormel Foods
Mon Dec 09 23:07:00 +0000 2019,RT @Jennieo: Let the pressure cooker take the pressure off with this easy Moroccan Spiced Turkey recipe that's ready in under an hour: http…,en,Hormel Foods
Mon Dec 09 23:06:54 +0000 2019,"RT @HormelChili: Kick off game night right with this combination of crispy tortillas, hearty brisket, Oaxaca cheese and HORMEL® no bean chi…",en,Hormel Foods
