created_at,full_text,lang,user_name
Thu Dec 19 16:40:55 +0000 2019,RT @CN_publishing: New trial to evaluate the role of Impella in preventing heart failure in STEMI patients https://t.co/KwiyB5CG5P #Newtria…,en,Abiomed
Thu Dec 19 15:23:34 +0000 2019,"RT @IntMedatIowa: In August, Sidakpal Panaich, MBBS, alongside a team of specialists and guided by @RajTayalMD, conducted the first surgery…",en,Abiomed
Thu Dec 19 14:37:04 +0000 2019,"Abiomed's US Talent Acquisition team regularly partners with the Danvers People to People Food Bank to ensure local families have all the necessities year-round, but especially during the holidays! Thank you People to People for being such an amazing community partner! https://t.co/7BC3VB1Vse",en,Abiomed
Wed Dec 18 14:37:02 +0000 2019,"Christmas arrived early at Abiomed's Aachen office! Santa Claus surprised employees there, handing out hundreds of chocolate Santa Clauses. Happy holidays to all of our Abiomed employees! https://t.co/QR3oywjkD0",en,Abiomed
Wed Dec 18 00:46:00 +0000 2019,"Learn how physicians at @SpectrumHealth are using #Impella to promote heart recovery, and treat patients like Dawn Dipzinski and Jim Hoag. https://t.co/HcYZNO2Rqq",en,Abiomed
Wed Dec 18 00:40:00 +0000 2019,Prolonged or chronic stress can negatively impact your heart. Learn what you can do to help manage and reduce stress. https://t.co/Nplf4N1JMJ,en,Abiomed
Tue Dec 17 16:47:03 +0000 2019,"RT @DrSethdb: 4th Annual Acute Cardiac Unloading &amp; REcovery (A-CURE) meeting, held August 2019 in Paris. A-CURE Working Group is comprised…",en,Abiomed
Tue Dec 17 14:37:01 +0000 2019,Watch this video learn how physicians participating in the National Cardiogenic Shock Initiative (#NCSI) are using #Impella to improve patient outcomes. https://t.co/OHTnWvOENC,en,Abiomed
Tue Dec 17 11:30:52 +0000 2019,RT @DrAmirKaki: Congrats @wohnsmd and team. Great step forward for the science of heart failure patients post AMI. https://t.co/mgsNsh2DvK,en,Abiomed
Tue Dec 17 00:40:02 +0000 2019,Abiomed employees recently signed holiday cards that will be delivered to more than 150 #Impella patients around the world. These personalized messages represent just one of the ways that we put #PatientsFirst. https://t.co/2h8HG6vo9A,en,Abiomed
