created_at,full_text,lang,user_name
Thu Dec 19 20:02:00 +0000 2019,RT @whydontwemusic: had the opportunity to bring a little piece of the #JingleBall tour to the inspiring kids @childrensatl ❤️ huge thanks…,en,Aflac
Thu Dec 19 15:09:35 +0000 2019,"Don't let medical costs mess up your holiday gift-giving. Aflac pays cash for covered illnesses and injuries that can be used to help provide better financial protection during the holidays, and throughout the year. Learn more here: https://t.co/AxYM644hmZ https://t.co/sxHjMhxZdW",en,Aflac
Wed Dec 18 15:15:03 +0000 2019,Life can be bumpy. That’s why we’re here— when reality doesn’t look quite like you expected... https://t.co/OdOioGLNW3,en,Aflac
Tue Dec 17 15:00:45 +0000 2019,We’re working with Jingle Ball to spread joy through music while giving back to fight childhood cancer. Aflac is committed to working with organizations that help bring hope and holiday cheer to children on their journey to health. https://t.co/8T3lZX1ewu,en,Aflac
Mon Dec 16 15:04:01 +0000 2019,"It’s time for our holiday plush ducks! Purchase a festive stuffed duck from our online shop, and 100% of proceeds go to The Aflac Foundation to help support children with cancer: https://t.co/2LguivO6WT https://t.co/vH2P48YNMf",en,Aflac
Fri Dec 13 15:00:03 +0000 2019,"Making the world a better place to live and work? That’s our top priority at Aflac, and we know that matters to our consumers too. Learn more in the full 2019 Corporate Social Responsibility (CSR) Survey: https://t.co/oefy2fRW6O https://t.co/HYjMm3ausB",en,Aflac
Thu Dec 12 16:53:43 +0000 2019,"@saplavin Hi, Shellee- We are currently experiencing increased claims volume and have engaged additional resources to reduce our inventory. We apologize for any inconvenience and thank you for your patience and understanding.",en,Aflac
Wed Dec 11 15:00:08 +0000 2019,You know what’s not as complicated as putting up holiday lights? Applying for Aflac. https://t.co/vpwbLhwd0C,en,Aflac
Sat Dec 07 19:33:18 +0000 2019,RT @mspears96: Snagged me a 📸 with the Aflac Duck! Thanks for having me @aflac - and THANK YOU FANS for showing out‼️ #AflacSEC #ad https:/…,en,Aflac
Sat Dec 07 19:33:15 +0000 2019,RT @LauraRutledge: Should this be my 🎄 card? Had so much fun with the best fans and @aflac - thanks so much for having me! #AflacSEC #ad ht…,en,Aflac
Sat Dec 07 19:33:02 +0000 2019,RT @davidpollack47: Putting this bad boy on the fridge! 📸 What a fun afternoon with fans and the @Aflac Duck - thanks for having me out! #A…,en,Aflac
Sat Dec 07 17:52:45 +0000 2019,RT @LauraRutledge: Guys. I just met the @aflac duck. https://t.co/zezqRaroOX,en,Aflac
Thu Dec 05 15:00:38 +0000 2019,Out-of-pocket expenses can be more ridiculous than yelling over a bad call. That’s why supplemental insurance from Aflac can help with expenses health insurance doesn’t cover. https://t.co/7j7UvjTtYp,en,Aflac
Tue Dec 03 15:21:06 +0000 2019,"@jhaynes428 That doesn't sound good. Please send us a private message or have you tried our live chat? Visit here, click the live chat option, and follow the on screen prompts: https://t.co/WaqlOpDq9T. Or if you’d like to check the status of any claims, check out the MyAflac App. https://t.co/iK5utZyJ3c",en,Aflac
Sat Nov 30 15:07:00 +0000 2019,@PamelasRageLove Talk about perfect timing 👏,en,Aflac
Sat Nov 30 15:06:11 +0000 2019,@HuntikFan1017 Thanks for capturing the moment 👀,en,Aflac
Sat Nov 30 15:05:00 +0000 2019,@roysamuelgeorge Thanks for celebrating with us 🙌,en,Aflac
Sat Nov 30 15:03:36 +0000 2019,@stannemerowski Thanks for celebrating with us!,en,Aflac
Sat Nov 30 14:43:30 +0000 2019,@VMurdockTV Thanks for celebrating with us!,en,Aflac
Thu Nov 28 15:30:00 +0000 2019,"Happy Thanksgiving from Aflac! 🦃Before you sit down to feast with friends and family, tune in to NBC at 11:25 a.m. EST to see your favorite #AflacDuck in the #MacysParade.",en,Aflac
Thu Nov 28 15:00:03 +0000 2019,"We serve up product offerings as good as Grandma’s side dishes at Thanksgiving. Well, almost. Nothing beats homemade pumpkin pie... https://t.co/RsDw1bnqB4",en,Aflac
Wed Nov 27 15:39:49 +0000 2019,@ryanjpayne35 🙌 We'll see you tomorrow!,en,Aflac
Wed Nov 27 15:00:04 +0000 2019,"We’re thankful to be celebrating our 9th year of participation in Macy’s Thanksgiving Day Parade. Tune in tomorrow at 11:25 a.m. EST on NBC to watch; or if you’re in NYC, come see us! #MacysParade https://t.co/GCAhRxTmfH",en,Aflac
Tue Nov 26 15:00:02 +0000 2019,"Happy holidays from our limited-edition Aflac Holiday Duck! When you purchase a holiday plush duck, 100% of proceeds go to The Aflac Foundation to help support children at participating cancer centers. You can get a plush duck here: https://t.co/oWRP9BvkuM https://t.co/leusL2iHbE",en,Aflac
Fri Nov 22 16:31:50 +0000 2019,"@AceHoffman When you know, you know.",en,Aflac
Fri Nov 22 15:00:02 +0000 2019,The 2019 Aflac Corporate Social Responsibility (CSR) Survey reveals that more Americans (49%) value a company’s dedication to improving the world over increasing profits for stakeholders (37%). You can find the whole survey here: https://t.co/chN7Dy5WRS https://t.co/4bPIenSmX7,en,Aflac
Thu Nov 21 15:55:45 +0000 2019,Ready to level up with Aflac? We can help you pay expenses health insurance doesn’t cover. #GameOn https://t.co/JtqZkaVvtM,en,Aflac
Wed Nov 20 18:28:31 +0000 2019,@hopkinskimmel 💛,und,Aflac
Mon Nov 18 16:31:01 +0000 2019,"Undersized and underestimated, @BrandonBoykin2 knows a good comeback story. If the unexpected hits, Aflac can help tackle out-of-pocket expenses to be there for your comeback. https://t.co/2jOq2UK3tF",en,Aflac
Mon Nov 18 15:14:32 +0000 2019,@rmundt Thanks for sharing! 💙,en,Aflac
