created_at,full_text,lang,user_name
Thu Dec 19 19:08:00 +0000 2019,"@shelterOW We love Christmas too! Thanks for sharing your joy. We're #deliveringsmiles this holiday season, and we think you deserve a few. Leave your details here: https://t.co/4Zo5K9sP34.",en,Amazon.com
Thu Dec 19 19:07:28 +0000 2019,"@Coffee_Is_love We agree, Kara! 🎄 You definitely deserve something special for all your hard work #DeliveringSmiles. 🎅 Send us your details here: https://t.co/ePNneuqD4S, and we'll deliver a festive treat. 🎁",en,Amazon.com
Thu Dec 19 19:07:28 +0000 2019,"@brittneywadee We'd love to help, Britt! 🎄 Send us your details here: https://t.co/jb7tKVrIDo, and we'll deliver something festive! #DeliveringSmiles 🌟🎅",en,Amazon.com
Thu Dec 19 19:07:28 +0000 2019,"@MsMyattNHE What a lovely Christmas tree, Olivia! 🎄 Since you're #DeliveringSmiles to us, we'd love to return the favor! 🌟 Send us your details here: https://t.co/xtcqBJ2zc5, and we'll deliver a festive surprise! 🎅🎁",en,Amazon.com
Thu Dec 19 19:07:00 +0000 2019,"@maresa_bailey Wow, Maresa! 🎅🎄 Since you're #DeliveringSmiles to us with your beautiful holiday decor, we'd love to return the favor! 🌟 Send us your details here: https://t.co/7iz793WKv1, and we'll deliver some holiday cheer! 🎁 🎁",en,Amazon.com
Thu Dec 19 16:49:00 +0000 2019,"@AnnieRye19 It sounds like you're hard at work #DeliveringSmiles to your loved ones, Cheyenne! 🎅 We'd love to return the favor. 🎄 Send us your details here: https://t.co/6TDRBImZ3a, and we'll deliver a festive surprise. 🌟🎁",en,Amazon.com
Thu Dec 19 16:48:28 +0000 2019,"@lxxmxmxxl Great job improvising, Lindsay! 🎄🎅 It sounds like you're busy #DeliveringSmiles to your loved ones, so we'd like to return the favor. 🌟 Send us your details here: https://t.co/b0lp1ZKBKJ, and we'll deliver a jolly surprise. 🎁",en,Amazon.com
Thu Dec 19 16:48:28 +0000 2019,"@Cynn_x0 We see no problem with this, Cynthia! We're #DeliveringSmiles this holiday season, and would love to send you some gifts! 🎁  ☃️  Send us some information: https://t.co/0QDXTxMMDr.",en,Amazon.com
Thu Dec 19 16:48:01 +0000 2019,"@sammchrissyy_94 There's still a few days left until Christmas, Sam! 🎅 We're #DeliveringSmiles this holiday season, and we'd love to send you something festive. 🎄 Send us your details here: https://t.co/k9ofOYdBXu. 🎁",en,Amazon.com
Thu Dec 19 15:29:32 +0000 2019,"@KianaGallant It's the thought that counts, Kia! 🎅 We love that you're working so hard #DeliveringSmiles to your loved ones, so we want to return the favor. 🎄 Send us your details here: https://t.co/qovdO70vBX, and we'll deliver something special. 🌟🎁",en,Amazon.com
