created_at,full_text,lang,user_name
Thu Dec 19 15:01:24 +0000 2019,"More than 4,000 Amcor people took part in this year’s International Coastal Cleanup. Find out how this global initiative is helping better protect the world's oceans. https://t.co/NX8SUQZO7p https://t.co/vz5pRehyql",en,Amcor
Wed Dec 18 13:01:22 +0000 2019,Find out how ISTA testing for #packaging can help you prepare for the rapid growth of #ecommerce. https://t.co/uwmuwyIQs8 https://t.co/ORWYxmcyAi,en,Amcor
Wed Dec 18 10:00:52 +0000 2019,Amcor’s P-Plus packaging innovation offers a solution to the fresh produce challenge of respiration rates. Find out more in our infographic: https://t.co/jm6zTBTUjn https://t.co/2R1jYcslHD,en,Amcor
Tue Dec 17 13:01:28 +0000 2019,"After input from Amcor and other members to inform CEFLEX's draft guidelines on designing for a circular economy, these are now open to consultation and feedback from the wider industry until 17 January 2020. More here with @PackagingEurope: https://t.co/pIJ69K65Va https://t.co/pJJnkPnKNp",en,Amcor
Tue Dec 17 10:00:46 +0000 2019,Find out what leaders from @MarsGlobal @circulareconomy and @Return_It had to say at this year's @CGF_The_Forum's Global Summit about how collaboration can create better solutions for people and planet. https://t.co/huknNR2HG4 https://t.co/18CGAqq2sI,en,Amcor
Mon Dec 16 10:00:52 +0000 2019,"Transparency, innovation and sustainability are key trends for APAC consumers. Find out more about what these mean for brands: https://t.co/3J8ofDJ3UI https://t.co/f95oU7DYYv",en,Amcor
Thu Dec 12 11:00:58 +0000 2019,Find out what are the 4 biggest #petcare trends and what they mean for brands. https://t.co/L7xq6GpiXd https://t.co/8uc253eTTq,en,Amcor
Thu Dec 12 10:21:47 +0000 2019,Proud of our team in the Fox Valley - and our team is proud to serve their local communities. #beingamcor https://t.co/OntUzhzJqL,en,Amcor
Wed Dec 11 10:00:45 +0000 2019,"Packaging is a vital enabler of daily life, protecting food, medicine and other products all over the world. Read more about the benefits of responsible packaging and how it addresses environmental waste in a blog from equity specialists @MartinCurrieIM https://t.co/zInIwH90UU https://t.co/U4w4fPVgBE",en,Amcor
Mon Dec 09 10:01:00 +0000 2019,How satisfied are your customers with your current packaging? Find out how consumer behavior is changing and how you can adapt to meet increasing expectations: https://t.co/69ggaoF9bx https://t.co/boTfunaeSh,en,Amcor
Fri Dec 06 16:01:23 +0000 2019,Why are retailers so important to making the circular economy a reality? Discover what was discussed at the most recent @CGF_The_Forum Sustainable Retail Summit: https://t.co/S7XmZNwfEU https://t.co/KaqLBGCs7v,en,Amcor
Fri Dec 06 13:01:28 +0000 2019,"Retail is changing, with pureplay ecommerce retailers set to rule the sector by 2024. Ecommerce-ready packaging will play a key role in this evolving arena: https://t.co/LcZdYJvNcQ https://t.co/t75KJmkhvo",en,Amcor
Fri Dec 06 10:00:47 +0000 2019,Our bio-based packaging featured in @PackagingEurope this month: Find out more about how our customers are making this easy switch. https://t.co/2TrldzoWZv https://t.co/WNmEaE3eOR,en,Amcor
Thu Dec 05 13:01:12 +0000 2019,"Aim high. Think big. Go far. Our Accelerated Career Development Program is back! See our site for details. #AmcorACDP
https://t.co/Pws6RRGPj6 https://t.co/JW2pxghMoj",en,Amcor
Thu Dec 05 09:50:03 +0000 2019,How is packaging helping businesses scale and succeed sustainably in an increasingly #ecommerce world? https://t.co/GVHcGsfWLI https://t.co/bc3g3aaV9G,en,Amcor
Wed Dec 04 11:45:07 +0000 2019,"Find out how recyclable P-Plus packaging helped Leo de Kock on their sustainability journey, reducing food and packaging waste: https://t.co/FjFJenKhtN https://t.co/3PZtsIDxQM",en,Amcor
