created_at,full_text,lang,user_name
Thu Dec 19 20:58:14 +0000 2019,RT @Truthfromthetap: .@NAWC_RFP’s latest piece in the @Trentonian explains how #Trenton #NewJersey should work with a water company to fix…,en,American Water
Thu Dec 19 19:22:22 +0000 2019,"This Week’s Spotlight - Phillip Owens. “I value working for a company that fosters creativity as well as a strong culture that embraces community engagement. This isn’t a typical company, but one that inspires their workers as well as the community &amp; I’m proud to be a part of it” https://t.co/Ku34x9UDHr",en,American Water
Thu Dec 19 16:19:42 +0000 2019,"Today, American Water &amp; our Contract Services Group donated more than 90 coats to Cooper’s Poynt School &amp; Early Childhood Development Center! Special thanks to our partners at Pioneer Pipe and Root 24 Inc. https://t.co/zGMcqVv5Nc",en,American Water
Wed Dec 18 17:35:21 +0000 2019,"#HappyHolidays from our American Water ""elves,"" and the AWesome kids of our employees! https://t.co/2ztH2JcYEB",en,American Water
Wed Dec 18 14:21:46 +0000 2019,"It’s that time of year! Time to get ready to take on whatever #OldManWinter throws our way. Even the most prepared household can fall victim to a particularly harsh storm. By taking a few steps now, you can help to ensure a safe #winter for your home.  https://t.co/vzGz5yMcgB https://t.co/cw0kOcNQyu",en,American Water
Tue Dec 17 18:18:55 +0000 2019,That's @My_Recipes,en,American Water
Tue Dec 17 18:17:08 +0000 2019,"Last week, we announced an increase in our regulated infrastructure investment by $800 million for the 2020 to 2024 capital plan.  We now plan on investing between $20 to $22 billion over the next 10 years to keep our customers lives flowing. https://t.co/9J3N0v9Afn",en,American Water
Tue Dec 17 17:05:21 +0000 2019,RT @Truthfromthetap: A 2018 @PNASNews study examined #SDWA compliance rates and found that #watercompanies are less likely than government-…,en,American Water
Tue Dec 17 13:59:12 +0000 2019,"On #MapleSyrupDay let’s remember that before we get great maple syrup, the tree sap from the maple tree is mainly water. Thanks @my_reciples for 70+ unexpected ways to use maple syrup. Who said it has to be reserved for just breakfast?! https://t.co/hAjElrFGGF https://t.co/Pb42w5o73A",en,American Water
Mon Dec 16 19:46:42 +0000 2019,"Keeping life flowing means we are in a continual pursuit of innovative solutions to meet customers’ needs, conserve resources, reduce energy and emissions, and protect public health. Our role as a responsible business has never been clearer. https://t.co/GMHlX5rQW0",en,American Water
Mon Dec 16 18:43:32 +0000 2019,"RT @fairygodboss: A top-down approach to leadership may have less of a place in the businesses of our future, research suggests. That’s why…",en,American Water
Mon Dec 16 15:19:26 +0000 2019,The use of salt to de-ice roads and sidewalks is also a water enemy in #winter. Chemicals in the salt enter water runoff and can corrode pipes. Look into organic de-icers. https://t.co/OSjMwgcS7V,en,American Water
Fri Dec 13 18:20:54 +0000 2019,We were honored to be recognized today w/ the 2019 One Water Award for our partnership with @CityofCamdenGov at the @JerseyWaterWrks Conference.  Our collaboration has led to improvement in the City’s water service &amp; investment in the community https://t.co/zKLpCxGcaW #njwater19 https://t.co/Wt3EKPmR0D,en,American Water
Fri Dec 13 13:45:05 +0000 2019,"It's #UniversalHumanRightsMonth. We are people-powered at American Water. Simply said, we believe a company is its people. At American Water, each person is trained &amp; developed to his or her fullest potential, &amp; everyone is included, respected &amp; valued. https://t.co/IcXlK1fuGf https://t.co/lhtSNZW7BZ",en,American Water
Thu Dec 12 19:58:14 +0000 2019,Have you strengthened your defenses for #winterprep and #wintersafety? Check out some tips on how to prepare your pipes as the cold weather really starts to set in. https://t.co/IroHHmjQCw,en,American Water
Thu Dec 12 16:31:11 +0000 2019,RT @mdamwater: Take a look as we explore the world of the brewing process and the beer tasting experience at Bel Air's @IndependentBCO. Bro…,en,American Water
Thu Dec 12 16:22:28 +0000 2019,"Yesterday, we were able to donate more than 15 laptops to our great friends at @LUCY_Outreach to support educational development and increase access to technology. This partnership exemplifies our philosophy of supporting the communities that we serve. https://t.co/l4E7q3poiU https://t.co/mtjiinN3tE",en,American Water
Thu Dec 12 15:07:45 +0000 2019,RT @DEANEWJERSEYDiv: @DEANEWJERSEYDiv participating in a live podcast series for American Water ( @amwater ) employees this morning in Camd…,en,American Water
Wed Dec 11 18:57:22 +0000 2019,"#Water doesn’t just keep you alive. It cools you off and charges you up. At American Water, we’re constantly modernizing our infrastructure, keeping your water safe. All you have to do? #gowiththeflow https://t.co/93pQdJQahg",en,American Water
Wed Dec 11 17:25:14 +0000 2019,RT @MovinH2OForward: NAWC President and CEO Robert F. Powelson issued the following statement in response to the announcement of @amwater C…,en,American Water
Wed Dec 11 14:13:14 +0000 2019,"Here it is, American Water’s gift to you this #holiday season: 30 gift-giving ideas for the water-responsible giver &amp; receiver, neatly assorted for the various type of personalities on your list. https://t.co/btGlo4J7aN     #happyholidays #merrychristmas #happyhanukkah #giftguide https://t.co/AiPzJgOQjF",en,American Water
Wed Dec 11 12:51:51 +0000 2019,"@Katchinoff Any approach taken to enhance awareness that water is a basic human necessity is a good approach. We support the UN declaration of access to clean water and sanitation as a human right &amp; supported Water For People, donating more than $2.1 million to its life-changing work.",en,American Water
Tue Dec 10 23:38:00 +0000 2019,"American Water announced today its 10-year capital spending plan, set long term growth targets and announced our 2020 earnings per share guidance. We will host our 2019 Investor Day on Dec. 11 beginning at 8:30 AM, learn more: https://t.co/YC3WEJOL5v https://t.co/vp1PdXaOxS",en,American Water
Tue Dec 10 21:07:46 +0000 2019,"She will be succeeded by Walter Lynch, currently Chief Operating Officer. He has been a critical part of American Water’s success, starting his career with the company in 2001.  He has served as COO since 2008 with responsibility for a large part of the company.",en,American Water
Tue Dec 10 21:07:45 +0000 2019,"Story, ""We know that what we do, delivering the critical health need of clean &amp; safe water &amp; water services, is truly a noble calling, &amp; not just a job. Most importantly, I get the privilege and honor of working with incredibly talented &amp; dedicated coworkers—my heroes—every day.""",en,American Water
Tue Dec 10 21:07:45 +0000 2019,"American Water would like offer our heartfelt thanks to CEO Susan Story as she announces that she will retire on April 1. “Being CEO of this great company has been a dream come true for me this past six years,” Story said.  https://t.co/bA9CCXwMuY https://t.co/wMWb5MWUF1",en,American Water
Tue Dec 10 16:26:04 +0000 2019,"No Water🥤, No Pizza🍕. Not to mention: no water to drink🥤, no water to make coffee☕️ with, no water to shower🚿, flush the toilet🚽, or do laundry🧺.  #ValueWater https://t.co/CbQ17Mngzv",en,American Water
Tue Dec 10 13:21:36 +0000 2019,"We are proud to support @p4parity. Our inclusion &amp; diversity efforts are directed at fully developing each employee to their fullest potential, eliminating unconscious bias in the workplace, respecting differences &amp; basing career progress on experience, results &amp; performance. https://t.co/tmEML8psFR",en,American Water
Mon Dec 09 18:54:12 +0000 2019,"@remembersonly Thanks for contacting American Water.  We are sorry for the inconvenience.  Can you DM us a few additional details, so we can address the issue? Name, account number, address.  Thanks.",en,American Water
Mon Dec 09 17:48:17 +0000 2019,"This Thursday, COO Walter Lynch will speak at the Bank of America/Merrill Lynch 2019 Water Conference in NYC. He will deliver a speech on “The State of the Water Industry"" &amp; discuss challenges facing the industry including infrastructure &amp; water quality. https://t.co/Taxc5DU5Xt https://t.co/BHEuC1NCbl",en,American Water
Mon Dec 09 15:55:31 +0000 2019,"RT @NYSE: Watch an energy focused #NYSESlice interview with @Amwater CEO Susan Story 

Susan explains that the key to long term sustainable…",en,American Water
Mon Dec 09 14:17:21 +0000 2019,"It might be a little gloomy outside One Water Street today, but inside we are all ready for the #holiday season. #festive https://t.co/4hCOua9S5c",en,American Water
Sat Dec 07 14:36:00 +0000 2019,"Today we honor and remember the service members and civilians who were killed or injured during the Japanese attack on Pearl Harbor on December 7, 1941. #NeverForget #WW2 #PearlHarbor78 #Veterans #Hawaii https://t.co/jRHTKDuRVA",en,American Water
Fri Dec 06 18:54:27 +0000 2019,"Our CEO Susan Story recently sat down with @JaniceEllig for her Leadership Reimagined #podcast. Listen to hear Susan’s advice on how being passionate, purpose-driven, authentic, and how the strength of your culture is key to winning top talent. https://t.co/fqH9MvgU8M",en,American Water
Fri Dec 06 16:17:04 +0000 2019,"American Water announced today that it has declared a quarterly cash dividend payment of 50 cents per share of common stock, payable on March 4, 2020. https://t.co/HACKHANAgX https://t.co/EyqLBeKRTZ",en,American Water
Fri Dec 06 14:33:25 +0000 2019,"Today's Spotlight -Engineering Manager Jian Yang. “We've invested more than $1.5 billion for infrastructure this year. I'm proud to be a part of this group of high-performing professionals, helping to improve aging infrastructure, &amp; contributing to communities for years to come.” https://t.co/Ro3udfqsH6",en,American Water
Thu Dec 05 18:14:50 +0000 2019,"We keep life flowing by helping to find solutions to water and wastewater challenges across the country. Working w/developers, engineers, contractors, suppliers, vendors and municipalities, we’re committed to improving our communities and infrastructure. https://t.co/9oAPuuS2dY",en,American Water
Thu Dec 05 14:18:53 +0000 2019,Colder outside temperatures require hot #water heaters to work harder. This “overtime” can be especially damaging to older heaters and result in leaks or bursts. Check your heater frequently for leaks and odd noises. https://t.co/dwiwsK4cqx,en,American Water
Wed Dec 04 20:10:35 +0000 2019,"We’re proud to be part of the communities we serve, whether it’s through projects that help protect the environment, or simply helping make moments into memories worth sharing. We Are American Water. We Keep Life Flowing. https://t.co/t2I9nkfIdS",en,American Water
Wed Dec 04 15:40:25 +0000 2019,"Exactly why is it that #fish—whether used for food items or not—emerge from the cold of #winter not only unfrozen but also unharmed? The answer has everything to do with our best friend, #water. https://t.co/SxmAmYfT1T  #foodforthought https://t.co/BkeZf1y6RU",en,American Water
