created_at,full_text,lang,user_name
Thu Dec 19 19:01:26 +0000 2019,"If you haven't already, chances are that you'll see Gus the Gopher and Rosie the Skunk at a holiday parade near you this winter! Here are a few highlights from our favorite pair of parade stars! #TBT https://t.co/m4TAvZ2Xwh",en,Atmos Energy
Thu Dec 19 13:36:42 +0000 2019,RT @emhummel1: Feeling grateful this holiday season. Grateful for the @GarlandFire who have been the heart of a 30+ year community toy driv…,en,Atmos Energy
Thu Dec 19 13:36:34 +0000 2019,RT @HailStateBSP: ✍️ @atmosenergy ✔️ #HailState https://t.co/cqkjRMSYWU,und,Atmos Energy
Thu Dec 19 13:36:30 +0000 2019,"RT @HailStateBSP: 𝐁𝐮𝐥𝐥𝐝𝐨𝐠 𝐒𝐩𝐨𝐫𝐭𝐬 𝐏𝐫𝐨𝐩𝐞𝐫𝐭𝐢𝐞𝐬 𝐒𝐢𝐠𝐧𝐢𝐧𝐠 𝐃𝐚𝐲

We are excited to continue our partnerships with @atmosenergy and @farmfamiliesms.…",en,Atmos Energy
Wed Dec 18 22:30:11 +0000 2019,Safety is always our number one priority. Kudos to Joe for ensuring this customer knew she was safe! Do you have a compliment about one of our employees? Send us a direct message! #WayToGoWednesday,en,Atmos Energy
Wed Dec 18 19:30:23 +0000 2019,"There's nothing like donating 1,270 pounds of food to get in the giving mood! Our employees in Waco worked with Food for Families to provide and coordinate donations for the food pantry's clients. https://t.co/nWzN5FH19B",en,Atmos Energy
Wed Dec 18 18:57:27 +0000 2019,"RT @UWwilliamsonCo: Thank you for helping to make our Full Tummies, Warm Hearts food drive a success! #LiveUnited https://t.co/T7IzsN3gFR",en,Atmos Energy
Wed Dec 18 15:02:29 +0000 2019,"Full tummies ✅ Warm hearts ✅

Our employees in Cool Springs, TN pitched in to provide meals to families through @UWwilliamsonCo annual Full Tummies, Warm Hearts program! https://t.co/ELUIVyOxQt",en,Atmos Energy
Wed Dec 18 14:54:31 +0000 2019,"RT @chace_atmos: @atmosenergy employees from the Bryan, TX, service center are the holiday spirit as they ring the bell for @SalArmyBCS. Pi…",en,Atmos Energy
Wed Dec 18 13:36:55 +0000 2019,RT @GarlandRotary: We held our 34th annual Christmas Party for GISD children in need today. Our party would not be possible w/o the generou…,en,Atmos Energy
Wed Dec 18 13:36:45 +0000 2019,RT @JeffBickerstaff: @GarlandRotary held our 34th annual Christmas Party for @gisdnews children in need today. Our party would not be possi…,en,Atmos Energy
Tue Dec 17 22:38:12 +0000 2019,@dablackdolton Can you please send us a direct message with your address and more information so we can assist you further? Thank you. - CD,en,Atmos Energy
Tue Dec 17 21:35:41 +0000 2019,RT @BDat82: Hunt County FISH Ministries will help serve over 1100 meals to those in need this holiday season.   Our @atmosenergy team donat…,en,Atmos Energy
Tue Dec 17 20:00:54 +0000 2019,"From trash to renewable natural gas ""treasure""... Learn more about our teamwork with landfills across our enterprise to convert methane emissions into renewable natural gas that fuels our communities. #TechnologyTuesday #NatGasInnovates

https://t.co/Nn2Hp7vWE3 https://t.co/ILv62TF5Tf",en,Atmos Energy
Tue Dec 17 18:01:37 +0000 2019,"S/O to Ryne, one of our senior engineers from Kentucky! He was a speaker for the Kentucky Association for Economic Development Conference &amp; served on a panel to discuss “the Commonwealth’s Utility Partners: Preparing Infrastructure for Successful Projects,” with other utilities. https://t.co/BYfBTQY8vK",en,Atmos Energy
Tue Dec 17 14:01:59 +0000 2019,Students in South Central Kentucky are ready for takeoﬀ and their futures are bright! ☀️😎 Our employees participated in SCK LAUNCH - a program coordinated by community partners to showcase diﬀerent career options available in South Central Kentucky. https://t.co/OINgpJv8hk,en,Atmos Energy
