created_at,full_text,lang,user_name
Thu Dec 19 12:01:09 +0000 2019,"The Italian Institute for Positive Organizations named Biogen’s HR Lead ""Chief Happiness Officer"" among the top 50 managers in Italy whom have acquired the skills to develop and cultivate positive work environments. #ProudMoments2019 https://t.co/7oMkScaNKv",en,Biogen
Thu Dec 19 10:00:47 +0000 2019,"Finally, artist Inger reveals Stefanie’s artwork based on her #MS experiences as port part of our ongoing #MSBeyondWords series https://t.co/iGVDRz6bbR",en,Biogen
Wed Dec 18 21:28:09 +0000 2019,"We will report our fourth quarter and year-end 2019 financial results Thursday, January 30, 2020, before the financial markets open. Following the release we will host a live webcast starting at 8:00am ET. Learn more: https://t.co/apL8IzW3xs",en,Biogen
Wed Dec 18 12:00:57 +0000 2019,Biogen presented an audio-series on #MS with three episodes inspired by the true stories of the IO NON SCLERO community in Italy who don't let their disease stop them. Listen here: https://t.co/On3UdE8BrF #ProudMoments2019 https://t.co/PpdG2sxBEM,en,Biogen
Wed Dec 18 10:02:05 +0000 2019,It’s Arancha’s turn to see the reveal of the artwork that artist Inger has created for her as part of our ongoing #MSBeyondWords series. #MS https://t.co/suVBqfjsx5,en,Biogen
Tue Dec 17 21:25:28 +0000 2019,"Our Women’s Innovation Network recently attended the @MassWomen Conference for Women. Participants attended a number of sessions focused on career and personal development and leadership, and heard from inspirational keynotes committed to empowering women worldwide. #MassWomen https://t.co/7mQFkEJib8",en,Biogen
Tue Dec 17 13:00:34 +0000 2019,We were proud to publish the Spinal Muscular Atrophy White Paper in Brazil to highlight the main challenges and opportunities for people living with SMA. Education and information are powerful ways to “change the tomorrow” of the #SMA community. #ProudMoments2019 https://t.co/RSysVgPmOO,en,Biogen
Tue Dec 17 10:01:19 +0000 2019,“It’s lovely! I like that a lot.” Malin gets to see her artwork for the first time. Watch her reaction! #MSBeyondWords https://t.co/DHVoYBvBiE,en,Biogen
Mon Dec 16 13:01:03 +0000 2019,"The first Biogen Hackathon in Italy on #SMA included five competing teams, 30 participants, a 24-hour marathon and a cash prize awarded to the winning innovative idea to improve the lives of people with SMA. #BPioneers #ProudMoments2019 https://t.co/uVJKmU6XbA",en,Biogen
Fri Dec 13 16:00:16 +0000 2019,James was diagnosed with choroideremia (CHM) at age 7 and has seen his field of vision decrease significantly every year. Learn more about his story. https://t.co/Ih9MBOlAtW https://t.co/COwLrE8YOB,en,Biogen
Fri Dec 13 14:01:32 +0000 2019,The Brazilian Ministry of Health implemented an inaugural risk sharing agreement with Biogen to ensure broad access to all #SMA patients. #ProudMoments2019 https://t.co/aSdfnqgOuU,en,Biogen
Thu Dec 12 20:56:55 +0000 2019,The Biogen Women's Innovation Network is excited to be attending @MassWomen Conference today! #MassWomen https://t.co/9oTNAACG8T,en,Biogen
Thu Dec 12 14:01:31 +0000 2019,"Cleo/Aby is one of the leading patient support applications providing support to more than 100,000 patients living with #MS worldwide. #ProudMoments2019 https://t.co/Y1NqiEc5BU",en,Biogen
Wed Dec 11 22:15:04 +0000 2019,The Swiss team was honored to receive a Prix Galien award   in the orphan drugs category for outstanding drug innovation in countries around the world. #ProudMoments2019 https://t.co/O6LXQaQr6K,en,Biogen
Wed Dec 11 22:00:41 +0000 2019,"This December, we will be highlighting our proudest moments globally. Join us throughout the month as we share our #ProudMoments2019 https://t.co/8Si78lVCQ3",en,Biogen
Wed Dec 11 19:46:23 +0000 2019,"Congrats to the team of ALS research pioneers, including Toby Ferguson from Biogen, who received the Inaugural Mass General Hospital HEALEY Center International Prize for Innovation for bringing to trial the first (ASO) investigational therapy for #ALS https://t.co/rzGIAsFULx",en,Biogen
