created_at,full_text,lang,user_name
Wed Dec 18 20:28:56 +0000 2019,"@cockneydave We're so glad to hear this, David! Thank you for sharing.",en,Boston Scientific
Wed Dec 18 14:30:14 +0000 2019,Designing products with a sharp eye on safety and sustainability - learn more about the efforts of our Packaging Council: https://t.co/7fuY3fIKGw https://t.co/C2WEBQnlZH,en,Boston Scientific
Tue Dec 17 18:30:11 +0000 2019,"We have FDA clearance on the first and only single-use duodenoscope, EXALT™ Model D. Read why this infection-reducing duodenoscope could transform the field of endoscopy on @modrnhealthcr. https://t.co/CSaQ3Emyr2",en,Boston Scientific
Tue Dec 17 14:30:12 +0000 2019,Read why our annual Everyone Makes and Impact events across the world help build a strong quality culture and connect employees with patients. https://t.co/41QNqA9LtI https://t.co/S9MnY17P3o,en,Boston Scientific
Fri Dec 13 19:12:52 +0000 2019,Our groundbreaking alternative to reusable #duodenoscopes has been cleared by the #FDA! EXALT Model D Duodenoscope is the world’s first single-use duodenoscope and offers a new sterile device for each patient. https://t.co/EvWmSg7O8j https://t.co/87lxLwZZy9,en,Boston Scientific
Thu Dec 12 17:30:23 +0000 2019,We’re proud to be a sponsor of the Massachusetts Conference for Women and all that it stands for. @MassWomen #MassWomen https://t.co/s8blrREhI0,en,Boston Scientific
Thu Dec 12 14:00:22 +0000 2019,"Advice from our leaders: You don’t need to know it all. Take on that new role, project, or career change. The rest will come. #MassWomen @MassWomen https://t.co/uj6XWOSZJe",en,Boston Scientific
Wed Dec 11 21:52:54 +0000 2019,@1in20parkinsons Hi David. We're happy to help. Please feel free to call our patient care team at 833-DBS-INFO.,en,Boston Scientific
Wed Dec 11 14:30:11 +0000 2019,On Sunday @Seahawks guard @DJTheWarrior76 wore custom cleats featuring our Close the Gap health equity initiative. Learn more about DJ’s story and the @NFLs #MyCauseMyCleats campaign. https://t.co/HwAnMpusxX https://t.co/0NVNLVn8T6,en,Boston Scientific
Mon Dec 09 16:53:51 +0000 2019,@MichaelJONeill We're so glad to hear this! Thank you for sharing.,en,Boston Scientific
Fri Dec 06 14:30:12 +0000 2019,"Read Chief Diversity Officer, Camille Chang Gilmore's, takeaways from a recent @FastCompany panel on recruiting talent from all backgrounds and building a more inclusive workplace. https://t.co/ohbWD2teel https://t.co/hNr4O8zduh",en,Boston Scientific
Wed Dec 04 14:30:08 +0000 2019,We’re honored to be named one of America’s Most Responsible Companies by @Newsweek @StatistaCharts https://t.co/XMEsdv8s9n,en,Boston Scientific
Tue Dec 03 20:59:59 +0000 2019,This week @seahawks guard @DJTheWarrior76 is supporting our work to eliminate #healthdisparities through the @NFL’s #MyCauseMyCleats campaign. Thank you DJ! https://t.co/4cnecXWw6U,en,Boston Scientific
Mon Dec 02 14:35:05 +0000 2019,"As a #JUST100 industry leader, we believe profits and purpose go hand in hand. Learn more about joining our growing team: https://t.co/XHHW2c9Ata https://t.co/XlsrU9AftW",en,Boston Scientific
Wed Nov 27 20:14:13 +0000 2019,@AKWongDO we're happy to help - please DM us with your contact information and we can get you connected to the right representative on our team,en,Boston Scientific
Wed Nov 27 16:16:00 +0000 2019,"We’re in the middle of our Season of Giving, and our team around the world is organizing projects to support their local communities. Volunteers in Gurgaon, India provided a healthcare camp for more than 800 children with medical, dental and eye screenings. https://t.co/FJ7PmGAbxS",en,Boston Scientific
Mon Nov 25 14:51:53 +0000 2019,"RT @bsc_endoscopy: Learn more about pancreatic cancer symptoms, treatment options, and resources. https://t.co/XmQqaGwvUT https://t.co/kn2p…",en,Boston Scientific
Thu Nov 21 21:32:12 +0000 2019,Inclusion for Hispanics ➡️ #inclusion for all. Thank you @HACRORG for naming us a 5-Star Company for Employment on the 2019 Corporate Inclusion Index. #HACRresearch https://t.co/ue9s8KjdaH,en,Boston Scientific
Wed Nov 20 18:32:04 +0000 2019,"How would you improve home management of chronic health conditions? There’s still time to submit your ideas to the Connected Patient Challenge. Finalists, selected with @medstro and @Google, could win up to $50k in in-kind services. #CPCathome https://t.co/Z3oe3E6J97 https://t.co/szQLcsHLXn",en,Boston Scientific
Wed Nov 20 14:30:18 +0000 2019,Dr. Siegel has been treating men with prostate cancer for over three decades. Hear how his prostate cancer diagnosis gave new meaning to his advocacy work with @ZEROCancer. https://t.co/8Dj2yYMydq #movember https://t.co/T0KvOeExBK,en,Boston Scientific
Tue Nov 19 17:40:52 +0000 2019,"RT @fairygodboss: This year, @bostonsci was named a Best Company for Multicultural Women by @_workingmother_ 👏

Learn more about how they'r…",en,Boston Scientific
Mon Nov 18 17:30:12 +0000 2019,Wendy Carruthers shares her journey to the C-suite and how we’re addressing the gender confidence gap to hire and promote more women in leadership: https://t.co/GzXx0FWuCV https://t.co/ouquudbr9s,en,Boston Scientific
Mon Nov 18 14:30:12 +0000 2019,Tackling heart health head on: One woman’s journey to coronary artery disease diagnosis and treatment. https://t.co/GAEii2d2ek https://t.co/fuQN7LFgQe,en,Boston Scientific
Fri Nov 15 18:48:20 +0000 2019,RT @USAmbIreland: Great visit today @bostonsci in #Cork  and exciting &amp; informative meeting with Cork busines leaders @AmericanChamber. It’…,en,Boston Scientific
