created_at,full_text,lang,user_name
Fri Dec 20 01:55:53 +0000 2019,@darigitin Hi. Are you getting these speeds while hardwired to your router with an ethernet cord or over Wi-Fi?,en,Comcast
Fri Dec 20 01:54:04 +0000 2019,@antifknsocial Is your router set to an access point or set up as a router?  -Marc,en,Comcast
Fri Dec 20 01:49:40 +0000 2019,@antifknsocial What's going on with your internet? -Marc,en,Comcast
Fri Dec 20 01:14:42 +0000 2019,"@2ChristianWood If you are experiencing persistent issues, you should reach out to @comcastcares for support.  They are available at all times.  DM them by using this link: https://t.co/9VKWSxyX3k -Marc",en,Comcast
Fri Dec 20 01:13:20 +0000 2019,@Hazmaut We can help if you're having issues. Send us a DM: https://t.co/YZQw8Eh8sN &lt;---- CJ,en,Comcast
Thu Dec 19 23:32:45 +0000 2019,@Mike1Machine Please reach out to @comcastcares for assistance.  Use this link: https://t.co/9VKWSxyX3k -Marc,en,Comcast
Thu Dec 19 23:17:13 +0000 2019,@justingkim We hate to see that this happened! We want to know more on what happened. Send our Digital Care Team a DM here: https://t.co/YZQw8Eh8sN &lt;----- CJ,en,Comcast
Thu Dec 19 22:54:19 +0000 2019,@inhuman You can get support at any time by reaching out to @comcastcares.  DM them with this link: https://t.co/9VKWSxyX3k -Marc,en,Comcast
Thu Dec 19 22:31:31 +0000 2019,@AmaniChannel What's going on with your account? - CJ,en,Comcast
Thu Dec 19 20:54:21 +0000 2019,"RT @UniStudios: Join us for the ultimate access weekend on March 28th and 29th, 2020! A two-day fan festival featuring interactive experien…",en,Comcast
Thu Dec 19 19:29:02 +0000 2019,"@HandsOffTV Ask Santa -- we don't throttle. If you're having issues with your internet, shoot us a DM here: https://t.co/YZQw8Eh8sN so we can troubleshoot. -Christine",en,Comcast
Thu Dec 19 19:05:17 +0000 2019,@KDKG Hey! Use this link to DM us: https://t.co/YZQw8Eh8sN -Christine,en,Comcast
Thu Dec 19 17:24:25 +0000 2019,@ehurtley DM us directly @ComcastCares if the link isn't working for you. -Christine,en,Comcast
Thu Dec 19 17:14:25 +0000 2019,@ehurtley Hi Ed. We're always available here to help troubleshoot. Use this link to DM us: https://t.co/YZQw8Eh8sN -Christine,en,Comcast
Thu Dec 19 15:20:34 +0000 2019,"@TonyOTheBoss1 Hey Tony, have you had our Digital Care Team take a look at your account in a while?",en,Comcast
