created_at,full_text,lang,user_name
Tue Dec 03 13:41:43 +0000 2019,"@ChrisSlovacek We're sorry to hear that we let you down, Chris. Feel free to send us a private message with your email address and phone number so that we can follow up with you about your experience.",en,Darden Restaurants
Tue Nov 26 15:51:17 +0000 2019,"@rwhgme Sorry about that, Scott. Please try now. https://t.co/jcBdGoDbBY",en,Darden Restaurants
Tue Nov 26 14:47:50 +0000 2019,"@rwhgme Hi Scott, we're here to help. Please DM us more information so that we can connect.",en,Darden Restaurants
Sun Nov 17 14:01:12 +0000 2019,"@JusteanMorgan We're sorry you had trouble accessing My Total Rewards yesterday. If you're still having trouble, we recommend calling 1-855-201-7638 Monday through Friday, between 8:00 a.m. and 8:00 p.m. ET so they can help.",en,Darden Restaurants
Tue Nov 05 14:05:09 +0000 2019,"@Qrz_indiana Hi Mario, are you a current employee with us?",en,Darden Restaurants
Mon Nov 04 20:41:41 +0000 2019,"@Qrz_indiana Hi Mario, did you have a question or concern we can help with?",en,Darden Restaurants
Mon Nov 04 14:22:41 +0000 2019,"@Savoritz20 Hi J, we would be happy to look into this and help. Did you sign up for one of our restaurants' eClubs?",en,Darden Restaurants
Mon Oct 14 13:32:52 +0000 2019,"@gpatton69 We appreciate the suggestion and will be sure to share it with our team in charge of new locations. Thank you, Ginny!",en,Darden Restaurants
Mon Oct 14 13:31:53 +0000 2019,"@cyndygbutler Hi Cyndy, Red Lobster has not been a part of Darden since 2014. We encourage you to reach out to them directly about your experience.",en,Darden Restaurants
Sat Oct 12 17:29:35 +0000 2019,"@jcbogdanski Hi John, that's correct. You can use any Darden gift card at any of our other restaurants. 👍",en,Darden Restaurants
Wed Sep 25 12:55:56 +0000 2019,"@BarrytheBaptis1 We don’t know where this information came from, but it is incorrect. Our company does not donate to presidential candidates.",en,Darden Restaurants
Wed Sep 25 12:54:59 +0000 2019,"@tjbn1 We don’t know where this information came from, but it is incorrect. Our company does not donate to presidential candidates.",en,Darden Restaurants
Tue Sep 24 14:47:10 +0000 2019,"@bostons_momma Annie, your feedback is important to us and we hope to speak with you further regarding your concerns. Please contact our Employee Relations department at 800-932-2558.",en,Darden Restaurants
Mon Sep 23 17:18:08 +0000 2019,"@tashaprince2019 Tasha, your feedback is important to us and we hope to speak with you further regarding your concerns. Please contact our Employee Relations department at 800-932-2558.",en,Darden Restaurants
Mon Sep 23 17:11:03 +0000 2019,"@janmac120 Hi Jannette, we're sorry to hear that you're having trouble redeeming your gift card. We encourage you to contact our Gift Card Support Team by calling the number on the back of the card so they can help.",en,Darden Restaurants
Mon Sep 23 12:56:03 +0000 2019,"@sueisdone Hi Eleanore, we do! Every day all of our restaurants collect food that isn't served to guests and donate it to local nonprofit partners. The food is then served at food banks, shelters and other charitable organizations.",en,Darden Restaurants
Mon Sep 23 12:51:06 +0000 2019,"@49erJoe4Life Hi Isaias, we're sorry to hear about your experience, however, Red Lobster has not been a part of the Darden family of restaurants since 2014. We encourage you to reach out to them directly for assistance.",en,Darden Restaurants
Mon Sep 09 14:00:11 +0000 2019,@TBoneBBQMA Yes! You can redeem your gift card at any of our restaurants.,en,Darden Restaurants
Tue Sep 03 14:19:04 +0000 2019,@ComputerMakerJB We appreciate you sharing this with us and we'll have our team look into it.,en,Darden Restaurants
Tue Sep 03 13:14:22 +0000 2019,"@ComputerMakerJB Hi Justin, our restaurants now offer straws upon request.",en,Darden Restaurants
Tue Sep 03 13:12:55 +0000 2019,"@sith1066 Hi Cat, we're sorry for any confusion but Red Lobster has not been a part of the Darden family since 2014.",en,Darden Restaurants
Tue Sep 03 13:06:58 +0000 2019,"@crdmike1 We don’t know where this information came from, but it is incorrect. Our company does not donate to presidential candidates.",en,Darden Restaurants
Tue Sep 03 13:06:00 +0000 2019,"@GingaNi59427142 This is incorrect. Our company, Darden, does not donate to presidential candidates. Your feedback is important to us and we hope to speak with you further regarding your concerns when you worked with us. Please contact our Employee Relations department at 800-932-2558.",en,Darden Restaurants
Tue Aug 27 12:47:43 +0000 2019,"@PatOles2 Our company, Darden, does not donate to presidential candidates.",en,Darden Restaurants
Tue Aug 27 12:47:34 +0000 2019,"@KWeinrich Our company, Darden, does not donate to presidential candidates.",en,Darden Restaurants
