created_at,full_text,lang,user_name
Thu Dec 19 19:26:38 +0000 2019,RT @QikIDServices: RT @DataCentreWorld: Stay ahead of the competition by reading five data centre predictions for 2020 from leading industr…,en,Digital Realty
Thu Dec 19 19:25:54 +0000 2019,RT @Tech_Journalism: Learn from @digitalrealty about what makes a colocation provider truly AI-ready. #Colocation #AI #ml https://t.co/sZbF…,en,Digital Realty
Tue Dec 17 15:04:41 +0000 2019,"In the latest @dcfrontier Executive Roundtable moderated by @Tech_Journalism, find out the one trend our EVP of Global Sales &amp; Marketing, Corey Dyer, believes will be the most significant in shaping the data center industry in 2020. https://t.co/ZK6T4I0XXx",en,Digital Realty
Tue Dec 17 00:59:04 +0000 2019,"Come watch the AFC and NFC Championship Games on Sunday, January 19th and kickoff your #PTC20 experience with the Digital Realty team! #SundayFunday 🏈https://t.co/gKqENnF8Mu https://t.co/NKj4GNSfj1",en,Digital Realty
Thu Dec 12 20:35:07 +0000 2019,Artificial intelligence requires a massive amount of processing power ⚡️ https://t.co/fjeW1j1v0c https://t.co/9SI7S9gt6e,en,Digital Realty
Thu Dec 12 19:21:18 +0000 2019,"""Fog computing does not replace the #cloud ☁️ but rather complements it."" https://t.co/KAq7FdnoLH https://t.co/tzGvEIhR0E",en,Digital Realty
Wed Dec 11 20:52:19 +0000 2019,"@AMS_IX is an independent internet exchange that enables businesses to undergo #dx transformations using their robust #connectivity platform. Watch CEO, Peter van Burgel, discuss the cornerstone of their ecosystem and how they're able to optimize, grow and innovate. https://t.co/FLGL6UKgVY",en,Digital Realty
Wed Dec 11 12:59:05 +0000 2019,Meet with the Digital Realty team at #PTC20 and learn more about how you can leverage full interconnection capabilities across global ecosystems. https://t.co/gKqENnF8Mu https://t.co/0iCgQgQbI1,en,Digital Realty
Tue Dec 10 23:02:07 +0000 2019,What is #edgecomputing? Here's what you should know  https://t.co/pyFeDEOF9s,en,Digital Realty
Tue Dec 10 22:02:06 +0000 2019,"Learn more in this white paper on how #hybridcloud can expedite #digitaltransformation while driving down IT costs, achieving greater agility &amp; speed, and more robust #cybersecurity for critical data and applications. https://t.co/y6JgU1h8jG",en,Digital Realty
Tue Dec 10 17:16:24 +0000 2019,“Our long-term goal is to pursue 100% renewable energy for our global portfolio.” - Corey Dyer on #sustainability https://t.co/aBK6fB9e6G,en,Digital Realty
Tue Dec 10 17:13:53 +0000 2019,"Thanks for the opportunity to speak about how #PlatformDIGITAL can help businesses tailor #infrastructure deployments and controls matched to business needs no matter the #datacenter size, scale, location, configuration or ecosystem interconnections https://t.co/3R0cAivQkH",en,Digital Realty
Tue Dec 10 16:54:22 +0000 2019,RT @CommScope: LAST CALL! Don’t miss tomorrow’s @dcdnews webinar “Is your #datacenter ready to meet the demands of #5G?” at 11amET/16:00 GM…,en,Digital Realty
Fri Dec 06 17:03:52 +0000 2019,What does #hybridmulticloud and a meal delivery service have in common? Brandon explains ☁️🍔 🚚 https://t.co/ZLrNaFOs5L,en,Digital Realty
Thu Dec 05 22:02:31 +0000 2019,"With the acceleration of #DX and decentralized IT infrastructures, physical and #cybersecurity can no longer exist in silos. Find out why and best practices for how you can guard your business against future threats, including a helpful checklist. https://t.co/DDbKZ6Bguh",en,Digital Realty
Wed Dec 04 16:03:11 +0000 2019,"Data centers play an important role in #sustainability. Hear from our sustainability lead, Aaron Binkley, on how 🌻 https://t.co/RFmQLQHlzS",en,Digital Realty
Wed Dec 04 01:00:26 +0000 2019,"CEO, Bill Stein, will serve as the 2020 Chair for the National Association of Real Estate Investment Trusts (@Nareit). Bill shares some of his 2020 goals in continuing to advance the role REITs play in economic growth and #sustainability https://t.co/4tHJKLN1Qi",en,Digital Realty
Tue Dec 03 20:54:40 +0000 2019,"RT @CommScope: Is your #datacenter ready to meet the demands of #5G? If the answer is no, then join us, @dcdnews @Equinix and @digitalrealt…",en,Digital Realty
Tue Dec 03 18:58:08 +0000 2019,So how does Spotify build such highly personalized playlists for millions of users? 🎶🎧🎶 https://t.co/t5s7gQoW6f https://t.co/0DchpHKUFV,en,Digital Realty
