created_at,full_text,lang,user_name
Fri Dec 20 01:07:38 +0000 2019,"Us, realizing we have less than a week to bake for the holidays.
 
Get inspiration on @GABakingShow: Holiday Edition tonight at 9/8c on @ABC. https://t.co/5bU4MBmBZi",en,DISH
Thu Dec 19 20:08:54 +0000 2019,"There's less than ONE week left to enter for your chance to win a professional interior design consultation and a $2,000 American Express gift card! Learn more: https://t.co/dHSR2fab1o https://t.co/OVyw2SDnEV",en,DISH
Wed Dec 18 23:07:26 +0000 2019,"Who are you? 🤔
 
Watch the season finale of The Big Interview with @DanRather tonight at 8/7c on @axs and catch up with past episodes, Wednesdays in January. https://t.co/kHjuxrdVj7",en,DISH
Wed Dec 18 17:41:36 +0000 2019,"The holidays can be hectic. Luckily, finding your favorite content doesn't have to be. Learn more https://t.co/68O1osBhph https://t.co/XUPpnqepIC",en,DISH
Mon Dec 16 15:31:58 +0000 2019,"“You know, Lloyd, just when I think you couldn't possibly be any dumber, you go and do something like this...and totally redeem yourself!”

Celebrate 25 years of #DumbAndDumber by watching it On Demand. https://t.co/MrfqjIGziq",en,DISH
Sun Dec 15 23:38:46 +0000 2019,"For more than 40 years, a galaxy far, far away has captivated us all. 🌌

Natalie Morales looks inside the movie with its cast and crew in Star Wars: Behind Closed Doors, tonight at 8PM ET on @ReelzChannel. https://t.co/IHLErRMyzx",en,DISH
Sat Dec 14 23:03:00 +0000 2019,"IT's here. 🎈

Spooky szn doesn't have to end! Cozy up and watch @ITMovieOfficial: Chapter Two with DISH On Demand. https://t.co/nFIlnOL5zo",en,DISH
Sat Dec 14 16:31:05 +0000 2019,"Never miss your favorite show again! With This Month on DISH, you'll always know what's on. Mark your calendar https://t.co/ZaxcyMcjPh https://t.co/GEetmJgJnJ",en,DISH
Sat Dec 14 02:23:56 +0000 2019,"#CMTcrossroads is back! 🎤

Don’t forget to tune in to Gavin DeGraw and Chris Young as they take the stage tonight on @CMT at 10/9c! https://t.co/BTnUcWsPfA",en,DISH
Sat Dec 14 01:53:02 +0000 2019,"Catch new, original movies every Saturday and Sunday night with Hallmark Channel. Watch it in free preview now through December 28th! https://t.co/gBCvIKf7I7 https://t.co/5jpgwJ2GeM",en,DISH
Fri Dec 13 21:36:53 +0000 2019,@NBCBlacklist 🛣👀,und,DISH
Fri Dec 13 19:31:53 +0000 2019,RT @RideTV: A second three-way split occurs at the NFR in Round 8! We are nearing the final round! Catch highlights with Anthony Lucia @Sup…,en,DISH
Fri Dec 13 18:52:06 +0000 2019,What team holds the record for the most ties in FBS history? Reply now with your answer! https://t.co/KZv1MU3QuI,en,DISH
Fri Dec 13 17:28:43 +0000 2019,"RT @kncitom: @DISH just released a GREAT 19 minute documentary on @JonPardi. They came to his hometown of Dixon and interviewed hismom, fri…",en,DISH
Thu Dec 12 20:30:50 +0000 2019,"Us when asked, “are you still watching?” this winter. https://t.co/uk1SDaQSgJ",en,DISH
Thu Dec 12 19:23:55 +0000 2019,Get invited to someone’s house to watch the game this weekend? Don’t be that guy. https://t.co/ecbtrvd9QS,en,DISH
Wed Dec 11 22:52:07 +0000 2019,Don't miss a minute of It's A Wonderful Lifetime with DISH's Hopper. Record up to 500 hours of HD programming and enjoy Lifetime Movies 24/7 this holiday season. https://t.co/zc2kUgTdFq,en,DISH
Mon Dec 09 21:15:39 +0000 2019,@KaylaHo07212299 Toasty. 🔥,en,DISH
Mon Dec 09 20:57:42 +0000 2019,"Introducing DISH Scapes, a channel that turns your TV into a work of art. This month we bring a cozy holiday scene to life on Ch. 199. https://t.co/uB2wj07LkE",en,DISH
Mon Dec 09 17:21:04 +0000 2019,Yeah Buddy! It’s been 10 years since the first episode of Jersey Shore aired on MTV. Celebrate Jerzdays by checking out the very first episode on the MTV App. #10YearsOfJerseyShore https://t.co/xIxArW6Czz,en,DISH
Mon Dec 09 15:37:38 +0000 2019,"✅ November: Watch @Hallmark Christmas movies
December: Watch @Hallmark Christmas movies
January-October: Watch @Hallmark Christmas movies recorded on my DVR",en,DISH
Sat Dec 07 21:20:19 +0000 2019,"@digby_amy Always a good choice, Amy!",en,DISH
Sat Dec 07 21:20:01 +0000 2019,@hckeller Buddy brings the holiday cheer like no other.,en,DISH
Sat Dec 07 21:19:41 +0000 2019,"@RawhydeSuzy We’ll take iconic movie lines for $200 please, Alex.",en,DISH
