created_at,full_text,lang,user_name
Thu Dec 19 23:21:00 +0000 2019,"A little sparkle, a timepiece, that new #StarWars action figure... 🎁💍",en,eBay
Thu Dec 19 19:16:29 +0000 2019,"@jfredy_f Hi there—Congrats! You're the potential winner of the Third Prize in our #ShippingSelfieSweepstakes! Please change your Twitter setting that we can Direct Message you privately, so you can claim your prize. You must respond within 5 calendar days of receiving this message. Thx!",en,eBay
Thu Dec 19 19:15:26 +0000 2019,"@RunningGreg Hi there—Congrats! You're the potential winner of the Second Prize in our #ShippingSelfieSweepstakes! Please change your Twitter setting that we can Direct Message you privately, so you can claim your prize. You must respond within 5 calendar days of receiving this message. Thx!",en,eBay
Thu Dec 19 19:13:33 +0000 2019,"@LouisShort Hi there—Congrats! You're the potential winner of the Second Prize in our #ShippingSelfieSweepstakes! Please change your Twitter setting that we can Direct Message you privately, so you can claim your prize. You must respond within 5 calendar days of receiving this message. Thx!",en,eBay
Thu Dec 19 19:04:16 +0000 2019,"@debbievalenti Hi there—Congrats! You're the potential winner of the First Prize in our #ShippingSelfieSweepstakes! Please change your Twitter setting that we can Direct Message you privately, so you can claim your prize. You must respond within 5 calendar days of receiving this message. Thanks",en,eBay
Thu Dec 19 19:00:07 +0000 2019,"@ChicPlush Hi there, please check your Twitter Direct Message inbox :)",en,eBay
Thu Dec 19 18:29:31 +0000 2019,"RT @screenrant: We’re giving a big bundle of #StarWars goodies from @eBay!

Enter to win: https://t.co/jvHofiqlBn #eBayStarWarsGiveaway",en,eBay
Thu Dec 19 17:05:21 +0000 2019,"We've got more great sneaks to peep from @StadiumGoods. Snag a pair of #YeezyBoost 700 v2 Geode for $215 (under MSRP) for the next 24 hours only.   

We'll see you back here at 9AM PST tomorrow for the last #Yeezy drop.",en,eBay
Wed Dec 18 20:50:53 +0000 2019,RT @Refinery29: Ultra-special eBay gifts they'll never know you got at the last minute (it'll be our little secret): https://t.co/xXQgKVa3g…,en,eBay
Wed Dec 18 18:04:00 +0000 2019,"The perfect gift to elevate their host game? A sleek wedge ice form, of course.  🥃 🎁",en,eBay
Wed Dec 18 17:00:36 +0000 2019,"It's a nice day for another #eBayDrop. Along with @StadiumGoods, we're serving the #YeezyBoost 700 Inertia sneakers for only $215. Get your pair before the deal ends in 24 hrs.

We'll see you back here at 9AM PST tomorrow for the next #Yeezy drop.",en,eBay
Tue Dec 17 21:22:51 +0000 2019,"That's right, zero selling fees on sneakers over $100. Happy listing! 🤑 https://t.co/8KGjpR1wet",en,eBay
Tue Dec 17 21:06:44 +0000 2019,"RT @starwars: Star Wars is generational, the movie equivalent of passing down family heirlooms. As the Skywalker saga comes to an end, Luca…",en,eBay
Tue Dec 17 19:15:00 +0000 2019,Need more #Watchmen in your life? Read the acclaimed graphic novel that was the foundation for the new @HBO series. You’ll never think of superheroes the same way again.,en,eBay
Tue Dec 17 17:00:01 +0000 2019,"Together with @StadiumGoods, we're bringing you #YeezyBoost 700 Analog sneakers NOW for $215 (yes, that's below MSRP). The deal ends in 24 hours.

Check back here at 9AM PST for tomorrow’s #Yeezy drop.",en,eBay
Tue Dec 17 01:24:09 +0000 2019,"RT @screenrant: We're giving away a massive PC Gaming bundle of @HyperX goodies from @eBay (mic, keyboard, headsets, mouse, etc.) and an LG…",en,eBay
Mon Dec 16 21:32:00 +0000 2019,"Ready for this!? Our WEEK OF SNEAKS kicks off tomorrow, 12/17. Each day, get the year’s most sought-after #Yeezys for crazy-amazing prices. The deals last 24 hrs before they expire. Meet back here at 9AM PST to land the first pair. #eBayDrop https://t.co/rlOtuQJi7j",en,eBay
Mon Dec 16 18:57:33 +0000 2019,RT @colbertlateshow: .@StephenAtHome's Holiday Robe is here! Thanks to all of our celebrity designers who helped create this one-of-a-kind…,en,eBay
Sun Dec 15 19:36:00 +0000 2019,"Meet Samsuale, a young seller who helped his mom leave her job to sell on eBay full-time. 🙌 Shop hardworking sellers like him every day. #ebayseller #sellershorts https://t.co/dkZ5yH7VHM",en,eBay
Sun Dec 15 03:00:00 +0000 2019,"That's a wrap! If you watched the stream, thank you. If you didn't, don't worry. You can still bid on @HyperX merch and gaming equipment for a good cause through Dec. 18.",en,eBay
Sat Dec 14 23:00:00 +0000 2019,"Are you watching the live charity stream with @Valkyrae, @Fedmyster, @DisguisedToast, @pokimanelol and @sonii? Bid now on exclusive gear signed by top gamers, plus get 30% off select products in the @HyperX eBay store.",en,eBay
Sat Dec 14 22:00:00 +0000 2019,"The stream is live! We've partnered with @HyperX to raise funds for @GamersOutreach, an organization that provides recreation to children in hospitals. Check out the matchups at https://t.co/6shXj44gg0 and head to #eBay to up-level your battle station for a good cause.",en,eBay
Fri Dec 13 17:05:00 +0000 2019,Feast your eyes on these Ray-Ban Erika sunglasses for $59.99! Look fast because this price won’t last.,en,eBay
Fri Dec 13 16:15:26 +0000 2019,That was fast! The Air Jordan 11 Bred pre-order sold out. But stay tuned... More exclusive sneaker drops are coming next week. Keep checking back for the latest. https://t.co/HlurtAr23V,en,eBay
Fri Dec 13 16:00:00 +0000 2019,"🚨The exclusive pre-order of the Air Jordan 11 Bred is LIVE 🚨 Follow @eBay on Instagram to get your pair before tomorrow’s official drop. $220, only available for eBay Instagram followers. Quantities are super limited.",en,eBay
Thu Dec 12 17:06:00 +0000 2019,Are you prepared to go down in family history as the best #gift giver ever?,en,eBay
Thu Dec 12 00:58:29 +0000 2019,"RT @eBay4CharityUS: 📢 CALLING ALL FIGHT FANS! 📢 Bid on the Ultimate Combat Sports Collection, featuring signed items from @MikeTyson, @Rond…",en,eBay
Thu Dec 12 00:11:00 +0000 2019,More jolly for less jingle.🔔🎁🎄,en,eBay
Wed Dec 11 18:25:53 +0000 2019,"RT @HyperX: Two teams.
Four streamers.
One event ft @eBay where YOU get to be part of the action and help raise money for @GamersOutreach 💖…",en,eBay
Wed Dec 11 01:00:00 +0000 2019,"Honor, protect, and cuddle. 🧸  A family-owned business in North Carolina creates uniformed teddy bears to comfort children with parents serving in the armed forces.",en,eBay
Tue Dec 10 18:51:00 +0000 2019,This Apple Watch charging station revives the OG of the computer world - who wouldn't want to boot up with this combo? 🍎⌚️ #eBayfinds #AppleWatch,en,eBay
Mon Dec 09 19:00:15 +0000 2019,"RT @DenofGeekUS: Looking for the coolest #StarWars gifts for the holiday season? Fan merch, toys, comics, collectibles, and more are all av…",en,eBay
Mon Dec 09 13:30:00 +0000 2019,Stun ‘em with Green Monday savings! There are amazing new deals every hour. And—wait for it—they all ship FREE.,en,eBay
Sun Dec 08 17:46:00 +0000 2019,"Meet Robyn, the people person. 👋 Shop friendly sellers like her every day on eBay. #ebayseller #sellershorts https://t.co/XBiyhbtXNz",en,eBay
Sat Dec 07 22:33:13 +0000 2019,"@Consumer_champd @AskeBay We do offer free return shipping if an item is defective or not as described. For buyers remorse returns, it would be dependent on the seller's specific return policy. If you have a specific example you want us to look at, DM us the details. ~Mikayla",en,eBay
Sat Dec 07 15:55:00 +0000 2019,Toys that playtime dreams are made of.,en,eBay
Fri Dec 06 20:11:42 +0000 2019,"@OnlyDANNiE We're here to help! We're sorry that you haven't had the smoothest experience. Please DM us your full name, email address and registered zip/postal code so we can take a look at what's going on and get you taken care of. ~Mikayla",en,eBay
Fri Dec 06 17:03:46 +0000 2019,It's now or never! We’ve got JBLs priced to move ASAP. Grab these wireless headphones for $24.95!,en,eBay
Thu Dec 05 17:09:00 +0000 2019,"On Dasher, on Dancer, on Prancer and Vixen.
On Comet, on Cupid, on R2-D2 and Blitzen.",en,eBay
Thu Dec 05 16:24:00 +0000 2019,Peep this: Our Sneakerhead Gift Guide is full of rare pairs and dripping with style cred.,en,eBay
Thu Dec 05 00:24:00 +0000 2019,"Some tinsel, a wreath, a hint of sparkle for the holidays.",en,eBay
