created_at,full_text,lang,user_name
Tue Dec 17 15:42:25 +0000 2019,"RT @JillEnergy: Airplane reading for me tonight: @Newsweek’s Top 300 Responsible Companies 2020, featuring @edisonintl on its list of organ…",en,Edison International
Thu Dec 12 16:40:02 +0000 2019,Edison International shares its vision for a #CleanEnergyFuture at #COP25madrid. https://t.co/3BBHBGhDHD #COP25 https://t.co/NtPkNQW7Gc,en,Edison International
Thu Dec 12 01:30:37 +0000 2019,"“The health of the entire planet is at stake and the U.S. must take a leadership role in fighting climate change,"" said @edisonintl's President and CEO Pedro Pizarro who shared the company's vision for a #cleanenergyfuture at the #COP25 global climate conference. #cop25madrid https://t.co/x9FWwlTVoq",en,Edison International
Tue Dec 10 17:09:36 +0000 2019,RT @SCE_CarolineA: @edisonintl shares its vision for a #cleanenergyfuture at global climate conference https://t.co/3gV2MDqyOd @SCE @UNFCCC…,en,Edison International
Tue Dec 10 17:09:28 +0000 2019,"RT @SCE_PublicAff: “One challenge in addressing climate change is creating a sense of urgency,” said Pizarro of @edisonintl, at the “Corpor…",en,Edison International
Tue Dec 10 17:09:04 +0000 2019,"RT @SCE_AjaC: It's great to see the state and its many partners, including  @edisonintl, discuss how together we are actively addressing th…",en,Edison International
Tue Dec 10 17:08:58 +0000 2019,"RT @Edison_Energy: Pedro Pizarro, CEO, @edisonintl on involvement and engagement with #COP25: ""We have a role to play as a company and as a…",en,Edison International
Mon Dec 09 17:22:14 +0000 2019,RT @SCE_JenniferM: @edisonintl @CarolineChoi Edison has been a strong partner in achieving climate goals. #Pathway45 shows how to take use…,en,Edison International
Mon Dec 09 17:22:06 +0000 2019,"RT @TheBrianWolff: Glad to be in attendance at #COP25 to hear firsthand from thought leaders, like Pedro Pizarro of @edisonintl , on a clea…",en,Edison International
Mon Dec 09 17:21:46 +0000 2019,RT @CarolineChoi: @edisonintl and @SCE are active partners of - and collaborators with - @LACIncubator to build a #cleanenergy economy in S…,en,Edison International
Mon Dec 09 17:21:35 +0000 2019,"RT @Edison_Electric: Pedro Pizarro, president of @edisonintl, discusses a cleaner energy future at #COP25. 

""We are deeply committed to cl…",en,Edison International
Mon Dec 09 17:21:21 +0000 2019,"RT @thebteamhq: @SharanBurrow @PaulPolman @ituc @edisonintl ""When we talk to employees, they're energized by the sense of purpose that we h…",en,Edison International
Sun Dec 08 16:24:42 +0000 2019,"Decarbonizing California’s economy is only going to be successful if the transition remains affordable to all Californians, including our most vulnerable residents. – Pedro Pizarro #COP25, #cleanenergy, #CleanAir, #eMobility, #Climate, #Pathway2045 https://t.co/LYtRLXYpnE",en,Edison International
Sun Dec 08 16:18:30 +0000 2019,"California has a vision of its energy and environmental future and has taken a leadership role in reducing GHG emissions in the U.S. Our #Pathway2045 is anchored to meeting those goals. – Pedro Pizarro #COP25, #cleanenergy, #CleanAir, #eMobility, #Climate https://t.co/5Vpnu5XuBf",en,Edison International
Sun Dec 08 15:56:38 +0000 2019,"RT @CarolineChoi: Can California achieve carbon neutrality by 2045? Yes,it’s technologically and economically feasible, according to @ediso…",en,Edison International
Sat Dec 07 17:40:00 +0000 2019,RT @CeresNews: We’re here at #COP25 because we have a role to play. We have a role tp play as a company and as a California company in part…,en,Edison International
Sat Dec 07 17:38:28 +0000 2019,RT @SCE_AjaC: Exciting to watch @edisonintl @SCE connect with the global community to address climate change and promote a #cleanenergyfutu…,en,Edison International
Sat Dec 07 17:37:49 +0000 2019,RT @SCE_JenniferM: Why is @edisonintl here at #COP25? We can’t do this alone. We need connect with the global community to address this glo…,en,Edison International
