created_at,full_text,lang,user_name
Thu Dec 19 17:22:01 +0000 2019,Perhaps one of these #Christmas cities are nearby! 🎅 Where do you like to #travel for the holiday season?,en,Extra Space Storage
Thu Dec 19 01:42:05 +0000 2019,"@harpervn We're sorry to hear you're having trouble accessing your unit, Valerie. Please send us a DM with your account info so we can better assist! https://t.co/2Qrk8cisKl",en,Extra Space Storage
Wed Dec 18 23:00:04 +0000 2019,One week left until #Christmas! 🎄 How are you spreading holiday cheer? 🥰 https://t.co/PIgHcyivm2,en,Extra Space Storage
Tue Dec 17 23:43:02 +0000 2019,"On a scale of 1 to 10, how much do you love decorating for #Christmas? 😍🎄 https://t.co/SbPG51Enhq",en,Extra Space Storage
Tue Dec 17 20:28:29 +0000 2019,"@Lindac421 Thank you for bringing this to our attention, Linda. When you can, please send us a DM with your account info so we can better assist you! https://t.co/2Qrk8cisKl",en,Extra Space Storage
Tue Dec 17 17:23:37 +0000 2019,"@richnathanson Hi Rich, thank you for bringing this to our attention. This is against our policy, can you please provide us with more details so we can further look into this. https://t.co/2Qrk8cisKl",en,Extra Space Storage
Mon Dec 16 17:58:01 +0000 2019,Help support those less fortunate this season. 💚 What #charity do you recommend? https://t.co/pMtwAaKIYI,en,Extra Space Storage
Sat Dec 14 18:35:00 +0000 2019,Prepping for guests this #Christmas? Try these tips to help #declutter your home! 🎄 https://t.co/N25rjnlYRt,en,Extra Space Storage
Fri Dec 13 22:57:01 +0000 2019,"🎄 #CHRISTMAS EVERYWHERE! 🎄
What do you love most about the holiday season? https://t.co/ffYcbiaoXo",en,Extra Space Storage
Thu Dec 12 15:13:01 +0000 2019,"We shared 14 ways yesterday to get involved in your community! This week, try visiting the elderly with a #Christmas carol or a warm meal. 🎄🥰

(📷: IG/tvnutritionprogram) https://t.co/N8zLBf1uwG",en,Extra Space Storage
Thu Dec 12 15:11:46 +0000 2019,"@MeIHill_RAWTALK Rawtalk:Melissa, we appreciate you reaching out to us. We would be happy to look into your friend's account, please have them reach out to us directly at 888-STORAGE.",en,Extra Space Storage
Thu Dec 12 01:44:52 +0000 2019,@SexyPharaoh2018 We're sorry to hear you had a negative experience. We are responding to your DM to learn more and gather some account info.,en,Extra Space Storage
Wed Dec 11 20:57:20 +0000 2019,"Very excited to announce this award as one of @Glassdoor's 2020 Best Places to Work! Congratulations to #TeamExtraSpace on putting our company values to work.

Read the blog post below to see what makes this company so incredible!

https://t.co/s9eZD6qrYq",en,Extra Space Storage
Wed Dec 11 20:35:22 +0000 2019,"@SoloTravelGoals Thank you for giving us the opportunity to look into this, Solo Travel Goals. Please send us a DM with your account info so we can better assist you. https://t.co/2Qrk8cisKl",en,Extra Space Storage
Wed Dec 11 16:19:01 +0000 2019,"'Tis the season to spread holiday cheer! 💚  Do you have a family tradition for serving others?  #GiveBack
https://t.co/voQeLaMX5q",en,Extra Space Storage
Tue Dec 10 23:21:00 +0000 2019,"#Houston is the fourth largest city in the country, but a great place for families! 🏙️ Where would you live?  https://t.co/QhgmV2bpgQ",en,Extra Space Storage
Mon Dec 09 17:34:01 +0000 2019,Use this guide to #donate household items that could be put to better use! 🎄 #GiveBack https://t.co/yPPVIOv73S,en,Extra Space Storage
Sat Dec 07 18:39:06 +0000 2019,Baskets are both useful and attractive for #HomeOrganization! How many baskets do you have in your home? 😍 https://t.co/idIR3JO1ae,en,Extra Space Storage
Fri Dec 06 14:28:01 +0000 2019,#Christmas is coming! Our store managers sure are enthusiastic about new units 😂 https://t.co/sVSD4eGRWv,en,Extra Space Storage
Thu Dec 05 18:19:20 +0000 2019,"@cherimiller We're happy to help, Cheri! Don't hesitate to reach out if you need any future assistance!",en,Extra Space Storage
Thu Dec 05 17:27:01 +0000 2019,"If you could have more space in one room in your home, which would it be? 🤔 https://t.co/787PVbWBia",en,Extra Space Storage
Thu Dec 05 15:17:59 +0000 2019,"@DinoBowman We consider security our top priority and are very sorry to hear about your experience. Feedback like yours is important to our goal of customer satisfaction. We'd like to talk with you more about your experience, please give us a call at 888-STORAGE when you get a chance.",en,Extra Space Storage
Wed Dec 04 16:02:01 +0000 2019,"#NewOrleans live music and Mardi Gras celebrations are just the start! They might just have warmer weather than you too 😉 
https://t.co/ykDwtBpduJ",en,Extra Space Storage
Tue Dec 03 16:54:42 +0000 2019,How do you like to serve others during the holiday season? 🥰 #GivingTuesday,en,Extra Space Storage
Tue Dec 03 00:08:00 +0000 2019,#SmallSpaceLiving requires creativity to maximize space! Which of these tricks have you found most helpful? 👍 https://t.co/i5N0gVpBZY,en,Extra Space Storage
Mon Dec 02 21:42:03 +0000 2019,"@claudia_speaks Hi Claudia, we're sorry to hear you had a negative experience with us. Please send us a DM with your account and we would be happy to look into this further. For immediate assistance, give us a call at 888-786-7243. https://t.co/2Qrk8cisKl",en,Extra Space Storage
Mon Dec 02 15:16:47 +0000 2019,"@AmandaAnalog Hi Amandarella, please send us a direct message with your account info and we would be happy to let your site manager know you need an extension on your move out. For immediate assistance, please give us a call at 888-786-7243. https://t.co/2Qrk8cisKl",en,Extra Space Storage
Sun Dec 01 23:12:32 +0000 2019,"@CeciliaMeisner Hi, Cecilia, please press ""2"" to speak with someone.",en,Extra Space Storage
Sun Dec 01 23:08:41 +0000 2019,"@CeciliaMeisner We're sorry to hear about your experience with your unit, Cecilia. Please give us a call at 888-STORAGE to further assist you.",en,Extra Space Storage
Sun Dec 01 01:14:10 +0000 2019,"@gypsy18 We are sorry to hear about your friend's experience, Kathie. We take great pride in protecting belongings. If you or your friend would like to speak with us about this in more detail, we are here to help and can be reached at 888-STORAGE.",en,Extra Space Storage
Sat Nov 30 18:35:00 +0000 2019,"Happy #SmallBusinessSaturday! 💼  For all you entrepreneurs out there, we'd like to provide some helpful insights into expanding your office. https://t.co/zhuOmvPALB",en,Extra Space Storage
Sat Nov 30 17:42:00 +0000 2019,"@cherimiller Thank you for bringing this to our attention, Cheri. Please send us a DM with your account information so we can look into this further. https://t.co/2Qrk8cisKl",en,Extra Space Storage
Sat Nov 30 15:04:47 +0000 2019,"@AnunnakiKungfu We're sorry to hear about your experience, Lezlee. Can you please give us a call at 888-STORAGE to further look into this for you?",en,Extra Space Storage
Fri Nov 29 14:34:02 +0000 2019,Happy #BlackFriday shopping! Where's your #Christmas present hiding place? 😂 https://t.co/rpO3vqSdPc,en,Extra Space Storage
Thu Nov 28 17:42:01 +0000 2019,"""Took the championship for the #TurkeyBowl in '94. Some call those the glory days."" 😆

Happy #Thanksgiving everyone! https://t.co/KZJrxoFDtj",en,Extra Space Storage
Wed Nov 27 16:17:03 +0000 2019,"If you had a #TinyHome, what would it look like? Where would it go? 🌎 

(📷: IG/californiatinyhouse) https://t.co/nySYDF8nbd",en,Extra Space Storage
Tue Nov 26 23:20:03 +0000 2019,"The cold is here and it's time to protect your cars while they're in storage! ❄️

Read the rest of the tips here: https://t.co/PBF5BIY5Dm https://t.co/tJSzfOC0pr",en,Extra Space Storage
Tue Nov 26 19:05:37 +0000 2019,"@NScottClayton Thank you for bringing this to our attention, Nick! Our team will look into this asap.",en,Extra Space Storage
Mon Nov 25 17:56:01 +0000 2019,Where would you build a #TinyHome? 🏡 https://t.co/bw5JedDeTD,en,Extra Space Storage
Sun Nov 24 14:20:54 +0000 2019,"@QuietBiju Hi Biju, we're sorry to hear your experience with us has been negative. Please send us a DM with your account info and we would be happy to look into your concerns further. For immediate assistance, please give us a call at 888-786-7243. https://t.co/2Qrk8cisKl",en,Extra Space Storage
Sat Nov 23 18:45:01 +0000 2019,#TinyHome living requires innovative #storage. Everyone can use these tips to maximize space! https://t.co/o9AiznDrBS,en,Extra Space Storage
Fri Nov 22 22:32:36 +0000 2019,"@BriarBeeBrie We are disappointed to hear that you are not satisfied with your experience, Bee. Please send us DM with your account info so we can better assist you. https://t.co/2Qrk8cisKl",en,Extra Space Storage
Fri Nov 22 18:11:03 +0000 2019,Have you already decorated for #Christmas? 😂 https://t.co/r1B0FKYTrT,en,Extra Space Storage
Fri Nov 22 15:12:43 +0000 2019,"@schachin Hi Kristine, feedback like yours is important to our goal of customer satisfaction. We'd like the opportunity to talk with you more about our experience. Please call us at 888-STORAGE.",en,Extra Space Storage
Thu Nov 21 15:14:01 +0000 2019,"#Portland’s cost of living is 23% higher than the national average, but that doesn’t mean finding a budget-friendly home is impossible! 🏡 https://t.co/HU20cbO5tj",en,Extra Space Storage
Wed Nov 20 22:14:16 +0000 2019,"@jaylateofthepnw We're sorry to hear you are unsatisfied with your rental rate, Jay. We have sent you a direct message.",en,Extra Space Storage
Wed Nov 20 16:22:02 +0000 2019,"Could you live with less space? 🤔 What do you think of this #TinyHome?

(📷: IG/girlinatinyhouse) https://t.co/aJFWpzCkcz",en,Extra Space Storage
Tue Nov 19 23:43:00 +0000 2019,These #TinyHome photos are gorgeous! 😍 Which is your favorite? https://t.co/kl5OD9ga4M,en,Extra Space Storage
Mon Nov 18 15:58:34 +0000 2019,Would you live in a #TinyHome? 🤔,en,Extra Space Storage
Mon Nov 18 15:58:33 +0000 2019,"Do you prefer living small or living big? 🤔 Vote below!

(Tiny Home: IG/nicolettenotes)
(Bedroom: IG/kathykuohome) https://t.co/ri48mHvAM8",en,Extra Space Storage
Sat Nov 16 23:21:00 +0000 2019,"@simpattyco Hi Simpattyco, we really appreciate you taking the time to leave a review. We are sorry to hear about your experience and want you to know that your feedback will be reviewed internally.",en,Extra Space Storage
Sat Nov 16 23:20:18 +0000 2019,"@simpattyco Simpattyco, we appreciate you taking the time to leave feedback. We aim to provide top-notch customer service and are sorry to hear your experience did not reflect that. We value your comments and will use them to make improvements.",en,Extra Space Storage
Sat Nov 16 23:19:17 +0000 2019,"@simpattyco We’re sorry to hear about your experience, Simpattyco. It’s very important to us that your belongings are kept safe from any harm. We have sent you a direct message.",en,Extra Space Storage
Sat Nov 16 18:45:02 +0000 2019,Would you live in a #TinyHome? 🏠  Read this guide to learn the basics! https://t.co/XBGsit655f,en,Extra Space Storage
Sat Nov 16 02:50:14 +0000 2019,"@jasonwoerner Hi Jason, we're sorry to hear you're unsatisfied with your rental rate. We would hate to see you go. Please send us a private message with your account info, or give us a call at 888-786-7243 and we would be happy to see how we can help.",en,Extra Space Storage
Fri Nov 15 22:34:24 +0000 2019,"@PatriciaTrujii1 Hi Patricia, we have sent you a direct message.",en,Extra Space Storage
Fri Nov 15 14:12:02 +0000 2019,🤣 What's the hardest part of #moving? https://t.co/Hj0LMRYUpL,en,Extra Space Storage
Thu Nov 14 17:46:01 +0000 2019,Make sure you check off these 5 important tips for your #WineStorage! 🍷 https://t.co/eIysQnDW7U,en,Extra Space Storage
Wed Nov 13 18:18:14 +0000 2019,"@B_Tab Thank you for the kind words, B_Tab. We really appreciate you taking the time to share your experience with us. Don't hesitate to reach out if you need anything!",en,Extra Space Storage
Wed Nov 13 15:58:01 +0000 2019,"Happy #WorldKindnessDay! 😊 Here's ""14 Ways to Welcome New Neighbors"" to help you pass along some kindness.

What kind things will you do today? 💚 
https://t.co/oZ133489kl",en,Extra Space Storage
Tue Nov 12 18:48:33 +0000 2019,"@PatriciaTrujii1 Patricia, if you send us a DM using the provided link below, we can look into this further with you. https://t.co/2Qrk8cisKl",en,Extra Space Storage
Tue Nov 12 17:37:02 +0000 2019,Start your life in #Philadelphia! 🏙️ Would you live in one of these neighborhoods? https://t.co/rAoYTq4CVM https://t.co/QONoOwP78c,en,Extra Space Storage
Tue Nov 12 01:44:51 +0000 2019,"@TheJoyWriterx2 Thank you for letting us know about your recent visit to Extra Space Storage, Joy.  We will forward your message and investigate this internally.",en,Extra Space Storage
Mon Nov 11 14:41:03 +0000 2019,"🇺🇸 #VeteransDay Sales Event!

Veterans and Active Military can enjoy 5% off each month's rent on storage units across the United States. Reserve your unit today: https://t.co/X86WzoDxck https://t.co/Y8UNtDCGjl",en,Extra Space Storage
Sun Nov 10 15:40:01 +0000 2019,"@trujillopatri11 Please send us a DM with your account info so that we can further assist, Patricia.",en,Extra Space Storage
Sat Nov 09 18:36:01 +0000 2019,Start a small #business with low startup costs to experiment with what works for you. 💼 Get ideas and advice here: https://t.co/jqSxVn9iTS https://t.co/HGCWuCNXAb,en,Extra Space Storage
Sat Nov 09 17:09:41 +0000 2019,"@trujillopatri11 Patricia, please send us a DM with your account info so that we can further assist. https://t.co/2Qrk8cisKl",en,Extra Space Storage
Sat Nov 09 17:03:17 +0000 2019,"@trujillopatri11 Patricia, our team is here to assist you with any concerns and would be happy to look into this with you. Please send us a direct message with your account info.",en,Extra Space Storage
Fri Nov 08 21:59:58 +0000 2019,"@PatriciaTrujii1 Patricia, for your security, please remove this information from a public forum, and contact us privately via DM. You can use the link we've included. https://t.co/2Qrk8cisKl",en,Extra Space Storage
Fri Nov 08 21:37:45 +0000 2019,"@PatriciaTrujii1 We can investigate this further with you, Patricia. Please send us a DM with your account information so we can explore further. https://t.co/2Qrk8cisKl",en,Extra Space Storage
Fri Nov 08 21:36:45 +0000 2019,"@PatriciaTrujii1 Patricia, our team is here to assist you with any concerns and would be happy to look into this with you. Please send us a DM with your account info. https://t.co/2Qrk8cisKl",en,Extra Space Storage
