created_at,full_text,lang,user_name
Thu Dec 19 20:06:03 +0000 2019,"RT @Met_Ed: We recently presented a $1,000 @firstenergycorp Foundation check to @BBBSYorkAdams to support its youth mentoring program, whic…",en,FirstEnergy Corp.
Thu Dec 19 19:16:03 +0000 2019,"More than a dozen of our employees + their families placed holiday wreaths at the burial sites of approximately 17,500 northeast Ohio veterans on behalf of our Veterans + Allies Employee Business Resource Group in Ohio. Thank you for your service! 🇺🇸 https://t.co/vNqsXP91ZC",en,FirstEnergy Corp.
Thu Dec 19 18:51:07 +0000 2019,"🎄 Our Foundation is proud to sponsor @Trees4Troops in support of our Veterans + Allies Employee Business Resource Group. Employees assisted with tree distribution at the @NWSEarleNJ + Youngstown Air Reserve Station, where they collectively donated 300 trees to military families. https://t.co/LOeiFmpOOl",en,FirstEnergy Corp.
Tue Dec 17 17:14:54 +0000 2019,RT @MonPowerWV: We spoke with @WVNews247 to offer tips for safe holiday decorating. Check out these important safety reminders to keep your…,en,FirstEnergy Corp.
Mon Dec 16 20:14:00 +0000 2019,@89civicsedanefr Thank you for this info! We have submitted a notification. A trouble crew will assess the area shortly. Thanks!,en,FirstEnergy Corp.
Mon Dec 16 15:17:55 +0000 2019,"@89civicsedanefr Hi there, please reply with more information so the appropriate team members are dispatched. Is there a tree limb on the wire or is there something else wrong? Thanks!",en,FirstEnergy Corp.
Thu Dec 12 20:04:26 +0000 2019,"@JAG3419 Hi John,
Unfortunately the app was discontinued due to low user adoption, but you can access all of the same features and more by visiting our new and improved mobile site https://t.co/NeZvzwkf3T on your device. Feel free to reach out with any questions! Thanks!",en,FirstEnergy Corp.
Thu Dec 12 19:52:27 +0000 2019,"ICYMI: Our new Corporate Responsibility Report, ""Energy for a Brighter Future,"" aligns with the five pillars of FirstEnergy's mission statement and includes extensive detail on our ESG-related efforts to achieve sustainable performance. Check it out at https://t.co/8Q9i7MXYw6. https://t.co/pBEQt6z5xA",en,FirstEnergy Corp.
Thu Dec 12 15:35:28 +0000 2019,"@Andy_CTOWN Hi Andy,
Sorry we missed you. Has your service been restored?",en,FirstEnergy Corp.
Thu Dec 12 15:32:33 +0000 2019,"@Storman23271 Happy to review this issue for you. Please DM us your account number, address and phone number.",en,FirstEnergy Corp.
Thu Dec 12 15:28:00 +0000 2019,Congratulations! 💡 💡 💡 https://t.co/Ce7WuOU1bJ,en,FirstEnergy Corp.
Wed Dec 11 20:40:04 +0000 2019,"RT @MonPowerWV: 📸 Mon Power employees Sherry Johnson and Stephanie Mezzapelle present a ""Thank You"" banner to the Clarksburg VA Hospital. F…",en,FirstEnergy Corp.
Wed Dec 11 20:18:00 +0000 2019,RT @SharonHeraldPa: Penn Power is near completion on an system upgrade that utility officials hope will decrease the impact of power outage…,en,FirstEnergy Corp.
Wed Dec 11 13:02:31 +0000 2019,RT @NEOPatriotism: Special thanks to our friends at  @firstenergycorp for their very generous support of the NEOPAT Adopt-A-Military Family…,en,FirstEnergy Corp.
Wed Dec 11 13:01:00 +0000 2019,@Storman23271 Hi - Is there something we can assist you with?,en,FirstEnergy Corp.
Tue Dec 10 18:48:34 +0000 2019,"🎄🎄🎄 Customers are invited to show off their best and brightest outdoor light displays by entering their utility company's annual ""Merry &amp; Bright"" Holiday Lights Contest for a chance to win a weekly prize. Learn more + get safe decorating tips here ➡️ https://t.co/Etdu5VxdNb https://t.co/ez1qCMevvd",en,FirstEnergy Corp.
Tue Dec 10 14:33:00 +0000 2019,RT @penn_power: Check out this @WKBN story about the work we've done to strengthen and enhance our power system in preparation for severe w…,en,FirstEnergy Corp.
