created_at,full_text,lang,user_name
Thu Dec 19 23:09:01 +0000 2019,Airport police in China used the #FLIR identiFINDER R400 to find that this gold disc-shaped pendent was laced with radioactive thorium-232 and uranium-232. Read the story: https://t.co/8800euDpcL,en,FLIR
Thu Dec 19 23:08:07 +0000 2019,"Want to join #FLIR? We’re always looking for creative, passionate people to add to our growing team - check out our available opportunities: https://t.co/eLFcOqoMEF https://t.co/q6Z4fvryxR",en,FLIR
Thu Dec 19 20:38:01 +0000 2019,Available now! The #FLIR TG275 has a range up to 1022°F (550ºF) - perfect for high temperature automotive diagnostics. Learn more at: https://t.co/uBIeqRGinv #mechanics #mechanicsofinstagram #automotive https://t.co/gW8VdQULmw,en,FLIR
Thu Dec 19 17:19:02 +0000 2019,19 days till #FLIRCES! What are you most excited to see? Sign up for daily updates at https://t.co/Tuv0zlUkHq #CES2020 https://t.co/mBH2KDhagJ,en,FLIR
Thu Dec 19 14:36:02 +0000 2019,"#FLIR Announces Multiple Cameras for Critical Infrastructure and Safe City Security - read more: https://t.co/cThxjozniE

#SafeCities #SmartCities https://t.co/Fgtj8xOspu",en,FLIR
Thu Dec 19 12:01:03 +0000 2019,The finalists for the #FLIR Global App Challenge have been chosen! Check out which projects made the cut: https://t.co/I4TI4IOtCa https://t.co/TplDnFUE5f,en,FLIR
Thu Dec 19 00:24:26 +0000 2019,@robertheron That would certainly be handy!,en,FLIR
Wed Dec 18 23:59:32 +0000 2019,"@ygini Hi Yoann, I'm afraid we don't, but if you want to DM us with your contact info I'd be happy to put you in touch with our regional sales team! https://t.co/Mqwbu6k6VG",en,FLIR
Wed Dec 18 22:51:01 +0000 2019,"The feature-rich FLIR #BlackflyS #machinevision camera is designed with biomedical applications and #metrology applications in mind. The result is a healthy balance of resolution, sensitivity, and saturation capacity over a GigE interface. Check it out! https://t.co/a0Kd53fZG4 https://t.co/N25i6QtmHE",en,FLIR
Wed Dec 18 22:24:39 +0000 2019,"@ygini Hi Yoann, our Arlington location is one of our corporate headquarters and unfortunately does not stock our products. Electronics distributors in that area may have FLIR ONEs available.",en,FLIR
Wed Dec 18 20:13:05 +0000 2019,"The #FLIR identiFINDER R425 is the next generation of the most deployed radionuclide identification device (RID), offering 360-degree coverage so you can locate and measure gamma and neutron radioactive sources with confidence. Watch the video: https://t.co/FYGBZHQsE8 https://t.co/FwGv6n7mLB",en,FLIR
Wed Dec 18 17:04:01 +0000 2019,"Arlington Police Set To Deploy New, Improved #FLIR SkyWatch Towers To Help Protect Crowds https://t.co/hj25r0GO2U",en,FLIR
Wed Dec 18 14:25:02 +0000 2019,5 Additional Ways You Should Be Using Your #FLIR K1 for #Firefighting https://t.co/UI6JNmRrAJ https://t.co/dd84If6vWD,en,FLIR
Tue Dec 17 23:00:10 +0000 2019,Pin vs. Pinless Moisture Measurement: Which Meter is Right For You? Read more: https://t.co/MWn3QbpNAq https://t.co/IpOaam63PK,en,FLIR
Tue Dec 17 21:39:05 +0000 2019,"@jakerawr The camera used to film was a FLIR A8300SC filtered for CO2, and the imagery processed in FLIR ResearchIR using the High Sensitivity Mode filter. Learn more: https://t.co/xdD2lqTYw2",en,FLIR
Tue Dec 17 19:56:00 +0000 2019,Could you explode from eating something like in the film #JUMANJI? @jakerawr finds out in the latest episode of COULD YOU SURVIVE THE MOVIES! Watch on #YouTube: https://t.co/UjrldIm6y1 #CYSTM #FLIR https://t.co/5oFZlk6zBd,en,FLIR
Tue Dec 17 17:00:21 +0000 2019,Who's ready for @CES? 🙋 🙋‍♂️ We are! - be sure to sign up for daily updates at https://t.co/Tuv0zlUkHq! #CES2020 #FLIRCES https://t.co/PPp9mihTtN,en,FLIR
Tue Dec 17 14:14:02 +0000 2019,Learn how the use of #FLIR radiometric thermal cameras with temperature analysis software from Embedded Logix help prevent asset failure at critical infrastructure sites. https://t.co/JcMPKLqsxG,en,FLIR
Tue Dec 17 13:47:01 +0000 2019,"FLIR Awarded $92.9 Million Contract for Logistics Support to U.S. Army Product Manager Force Protection Systems https://t.co/Y1XqVBHXWB

#USArmy #FLIR #ForceProtection https://t.co/UYkzNVnlDY",en,FLIR
Mon Dec 16 23:00:09 +0000 2019,.@GunsAndAmmoMag reviews the #FLIR ThermoSight Pro PTS233 - check out their thoughts: https://t.co/DBQHsnbADE https://t.co/d41cRWmHea,en,FLIR
Mon Dec 16 20:00:41 +0000 2019,"Thinking of using your thermal drone to inspect large commercial roofs? Here are four things you need to consider before you take to the sky. 

Watch the video: https://t.co/PB5RAMl4RL

#Drones #RoofInspection #FLIR https://t.co/akuGJK6KVp",en,FLIR
Mon Dec 16 16:56:03 +0000 2019,ICYMI: Black Hornet Wins 2019 @PopSci ‘Best of What’s New’ Award https://t.co/xUGDiISC57 https://t.co/9S5J5duWTv,en,FLIR
Mon Dec 16 15:31:42 +0000 2019,RT @TheUAVExperts: Army Selects @flir For Heavyweight Robot Contract Worth Up to $109M | UAV Expert News https://t.co/uf0P7GypJO https://t.…,en,FLIR
Mon Dec 16 13:39:55 +0000 2019,"@RobK Thanks for your message - for technical support assistance with your FLIR ONE, please head to https://t.co/UUBOSnNyAE",en,FLIR
Sat Dec 14 20:03:00 +0000 2019,The @nytimes used a spectrally filtered #FLIR thermal camera to track down potential methane emissions in this recent story. Take a look: https://t.co/rs8KAjx3O6,en,FLIR
Sat Dec 14 17:05:02 +0000 2019,#FLIR wins 2020 ACES Award from Autonomous Vehicle Technology https://t.co/s9LSfGXzum #ADAS #AutonomousVehicle https://t.co/BsvJMilgmM,en,FLIR
Sat Dec 14 15:35:00 +0000 2019,"With its advanced thermal, daylight and zoom cameras, #FLIR SkyWatch is helping police in Alabama protect large crowds, guard parking lots, and monitor for criminal behavior. Read the story: https://t.co/1zEFuGt8B5",en,FLIR
Fri Dec 13 23:09:01 +0000 2019,"The compact and energy-efficient FLIR #FireflyS #machinevision camera is specifically ideal for automated inspection, as well as eye tracking and 3D scanning - now with the high performance Sony #Pregius IMX297 sensor over USB3 interface. Check it out! https://t.co/pVSIdsS6ZT https://t.co/8ZMKYgds2v",en,FLIR
Fri Dec 13 20:00:20 +0000 2019,Who's ready for @CES? 🙋 🙋‍♂️ We are! - be sure to sign up for daily updates at https://t.co/Tuv0zlUkHq! #CES2020 #FLIRCES https://t.co/sWu1QS8YEm,en,FLIR
