created_at,full_text,lang,user_name
Fri Dec 20 01:43:11 +0000 2019,#holidayshopping crunch time! Good news -- free same-day delivery is coming soon. See how: https://t.co/NnniO6UdX6 https://t.co/TTerrn5L8M,en,Honeywell
Thu Dec 19 14:09:41 +0000 2019,@officialmrscos Hi @officialmrscos! That doesn't seem right. Could you please DM us the Honeywell fan model number this is in reference to? Thank you - Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Thu Dec 19 14:07:58 +0000 2019,@Deggsietwit Hi @Deggsietwit! That doesn't seem right! Could you please DM us the Honeywell model number this is in reference to? Thank you - Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Wed Dec 18 15:27:36 +0000 2019,@SW_ON_TRAFFIC Hi @SW_ON_TRAFFIC! Thank you for the information. - Steve.,en,Honeywell
Wed Dec 18 15:06:05 +0000 2019,@SW_ON_TRAFFIC Hi @SW_ON_TRAFFIC! That doesn't seem right. Could you please DM us the Honeywell model number this is in reference to? Thank you - Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Wed Dec 18 14:45:07 +0000 2019,"@amynoelle21 Hi Amy! thank you for reaching out to us. Could you please DM us more information, from where did you buy this Honeywell safe? Thank you - Steve. https://t.co/mHUx2l6sNi",en,Honeywell
Tue Dec 17 22:14:30 +0000 2019,"@t0astybagel Hi Nick, We take all reports of this nature seriously and it is in the CIRT’s workflow system to be addressed.  A member of that team will reach out to you directly. Thank you for your report!",en,Honeywell
Tue Dec 17 19:32:19 +0000 2019,@MSaifuli_si Hi Saiful! Thank you for reaching out to us. Could you please DM us your contact details along with the country name? - Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Tue Dec 17 16:01:05 +0000 2019,It's lab time! We are excited to partner with @discoveryplace to bring students closer to #STEM: https://t.co/6EhJVUKCUj https://t.co/cWm3Epxtk1,en,Honeywell
Tue Dec 17 15:36:38 +0000 2019,@OneBigBadBull Hi @OneBigBadBull! That doesn't seem right. Could you please DM us more information along with your contact details? Thank you - Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Mon Dec 16 21:27:03 +0000 2019,"RT @danielnewmanUV: Quantum is exploding. @awscloud and @Azure with recent announcements, major players like @honeywell deep in the Quantum…",en,Honeywell
Mon Dec 16 16:38:51 +0000 2019,@FabianoBrennand Hi @FabianoBrennand! Thank you for reaching out to us. Could you please DM us the Honeywell Heater model number along with your contact details?. Thank you - Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Thu Dec 12 22:11:31 +0000 2019,@sheboo_007 Hi @sheboo_007! We highly recommend you check out careers here: https://t.co/gVUMynGNeb and apply to the job you are interested in. Wishing you all the best in your search! - Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Tue Dec 10 19:14:04 +0000 2019,"From #WSJCEOCouncil: ""We are newsmakers and futureshapers,"" said Que Dallara, President and CEO of Honeywell Connected Enterprise. #futureshaper https://t.co/haqlEb7foN",en,Honeywell
Tue Dec 10 18:22:13 +0000 2019,"@jay84h Hi Jason! That doesn’t seem right. Let’s figure this out. Please share details on the product, along with your contact info in DM. Thanks. -Matthew https://t.co/mHUx2l6sNi",en,Honeywell
Tue Dec 10 14:33:02 +0000 2019,@Monheit16 Hi Monheit! We have responded to you via DM. Kindly check. Thanks. -Matthew https://t.co/mHUx2l6sNi,en,Honeywell
Mon Dec 09 20:05:59 +0000 2019,"RT @clt_alliance: The Charlotte Region’s top CEOs discussing #economic #growth opportunities for the region.

Panelist: Darius Adamczyk, @h…",en,Honeywell
Mon Dec 09 17:36:24 +0000 2019,"@iphonedestoyer You're welcome, Martyn! Please feel free to send us a DM in case you require assistance with any of our products. Have a wonderful Day! - Steve. https://t.co/mHUx2l6sNi",en,Honeywell
Mon Dec 09 16:52:49 +0000 2019,"@TheSlammySammy Hi @TheSlammySammy! Thank you for your feedback, our customer's experience is essential for us and give us the opportunity to improve. Please feel free to send us a DM in case you require assistance with any of our products. Have a wonderful Day! - Steve. https://t.co/mHUx2l6sNi",en,Honeywell
Mon Dec 09 16:45:46 +0000 2019,"@TheSlammySammy You're welcome, @TheSlammySammy! - Steve.",en,Honeywell
Mon Dec 09 14:30:44 +0000 2019,"@iphonedestoyer Hi Martyn! Thank you for reaching out to us. You may try to contact ""MK electric"" to check the part information about ""sockets with twin earth terminals"". You can get MK electric's UK customer support contact on this link https://t.co/CDfTQEKkmj. Thank you - Steve. https://t.co/mHUx2l6sNi",en,Honeywell
Sat Dec 07 20:30:21 +0000 2019,What is a #digitaltwin? Find out here: https://t.co/BBhf3yjIYp https://t.co/Mqh6SfgsTE,en,Honeywell
Sat Dec 07 18:57:38 +0000 2019,@ismailhassani Hi Ismail! We can understand how frustrating this can be. Let's figure this out. Please share URL of the portal and your concern in Direct Message. We will look into it.- Matthew https://t.co/mHUx2l6sNi,en,Honeywell
Thu Dec 05 22:19:39 +0000 2019,@adamnorthphoto Hi Adam! How can we help with the Honeywell P2 face mask? Thank you - Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Thu Dec 05 15:16:54 +0000 2019,@ammarrabbani97 Hi @ammarrabbani97! Thank you for reaching out to us. Could you please DM us the Honeywell air cooler model number? Thank you - Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Thu Dec 05 14:54:01 +0000 2019,@D_Mangalorkar Hi Divyashree! We have responded to your message. Kindly check. Thank you - Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Thu Dec 05 14:51:24 +0000 2019,@D_Mangalorkar Hi Divyashree! That doesn't seem right. Could you please DM us your contact details along with the Honeywell portable AC model number? Thank you - Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Wed Dec 04 14:06:17 +0000 2019,@theashleyjanell Hi ashleyjanelle! That doesn't seem right. Could you please DM us the Humidifier model number along with your contact details. Thank you - Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Tue Dec 03 19:47:17 +0000 2019,"@Kev_Iles Hi Kevin. You have reached the support team for U.S and Canada. As the product lines are different, we recommend to contact our UK support team on the following webform. https://t.co/bd9S6KooNc. They will have the resources to assist you. Thank you. - Laura",en,Honeywell
Tue Dec 03 19:30:05 +0000 2019,Congratulations to #futureshaper Phoebe for being honored by @Forbes! #ForbesUnder30 https://t.co/OuiXIVWGP9 https://t.co/NDdtMp5sL3,en,Honeywell
Tue Dec 03 16:41:47 +0000 2019,"@vegandaemon Hi @vegandaemon! We have received the model information ""Natural Cool Moisture Humidifier, HCM-525 series"". Please DM us your contact details. We will have someone from the customer support team to contact you shortly. Thank you - Steve. https://t.co/mHUx2l6sNi",en,Honeywell
Tue Dec 03 16:37:26 +0000 2019,@vegandaemon Hi @vegandaemon! Thank you for reaching out to us. Could you please DM us the Humidifier model number along with your contact details? Thank you - Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Mon Dec 02 17:34:16 +0000 2019,"@macnchuk Thank you, we do recommend following Google instructions then. As long as you are able to control the device using the Honeywell Home app we can say that it is working on our side. - Maria",en,Honeywell
Mon Dec 02 16:59:53 +0000 2019,"@macnchuk Hi Chuck. Are you able to control your thermostat using the Honeywell Home or TCC app (depending on the model number) ?. In case that you are not, please send us a DM with the model and MAC ID numbers of your thermostat, we will be happy to check this for you. - Maria",en,Honeywell
Mon Dec 02 15:24:28 +0000 2019,@twittextra Hi @twittextra! We have responded via private message. Kindly check. Thank you - Steve.,en,Honeywell
Sun Dec 01 16:14:45 +0000 2019,@CM_DV Hi Carla! Thank you for sharing the model information. Could you please DM us your contact details? Thank you- Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Fri Nov 29 14:00:05 +0000 2019,"In a world of online shopping, retailers want to lure you into stores. Here's how: https://t.co/gBOrwBOmv7 #BlackFriday2019 https://t.co/iqxswjMuii",en,Honeywell
Wed Nov 27 14:35:00 +0000 2019,@MixdYou Hi @MixdYou! That doesn't seem right. Could you please DM us the Honeywell gas control valve model number? Thank you - Steve. https://t.co/mHUx2l6sNi,en,Honeywell
Tue Nov 26 18:21:12 +0000 2019,Thanksgiving is about pie (yum!) and #travel headaches (#snowstorm). Here’s how flights stay on track: https://t.co/0FWbYmPFo2 https://t.co/QJwaRQyQcA,en,Honeywell
Sun Nov 24 22:50:55 +0000 2019,Grab your earbuds! Discover the secrets behind the tech of tomorrow with The #Future Is... #podcast! https://t.co/yW8xSD1ERS https://t.co/RMwYLcyjVo,en,Honeywell
Sun Nov 24 22:40:49 +0000 2019,RT @CiscoIoT: .@Honeywell announces development of OneWireless IoT Module for Cisco industrial access points. Read more: https://t.co/1gTVH…,en,Honeywell
Sat Nov 23 15:49:07 +0000 2019,"@jasonoxendine Hi Jason! That doesn’t seem right. Let’s figure this out. Please share details on the issue, along with your contact info in DM. Thanks. -Matthew https://t.co/mHUx2l6sNi",en,Honeywell
